"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01003","0","10","70","0","2019","1","","Baldwin County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6407,72941,74128,75921,691393204,364075944,3946560,716,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",204,3.3,3581,5.2,3528,5.0,2839,3.9,59713825,9.5,25977476,7.7,162484,4.3,32,4.7
"01003","0","10","70","0","2019","2","","Baldwin County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6495,76740,78089,79262,727381948,130132516,1521949,717,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",246,3.9,2548,3.4,2404,3.2,1685,2.2,47638919,7.0,-108550,-0.1,-73789,-4.6,27,3.9
"01003","1","10","71","0","2019","1","","Baldwin County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",35,349,354,351,4833478,0,0,1058,"",0.93,0.25,0.25,0.24,0.28,0.00,0.00,1.15,"",4,12.9,-6,-1.7,7,2.0,11,3.2,-162117,-3.2,0,0.0,0,0.0,-48,-4.3
"01003","1","10","71","0","2019","2","","Baldwin County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",35,356,364,358,5281252,0,0,1131,"",0.92,0.24,0.25,0.24,0.26,0.00,0.00,1.06,"",2,6.1,13,3.8,15,4.3,8,2.3,122244,2.4,0,0.0,0,0.0,-12,-1.0
"01003","1","102","72","0","2019","1","","Baldwin County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",35,349,354,351,4833478,0,0,1058,"",0.93,0.25,0.25,0.25,0.29,0.00,0.00,1.14,"",4,12.9,-6,-1.7,7,2.0,11,3.2,-162117,-3.2,0,0.0,0,0.0,-48,-4.3
"01003","1","102","72","0","2019","2","","Baldwin County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",35,356,364,358,5281252,0,0,1131,"",0.93,0.25,0.25,0.24,0.26,0.00,0.00,1.06,"",2,6.1,13,3.8,15,4.3,8,2.3,122244,2.4,0,0.0,0,0.0,-12,-1.0
"01003","1","1021","73","0","2019","1","","Baldwin County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,246,250,249,2965512,0,0,919,"",1.05,0.73,0.73,0.71,0.97,0.00,0.00,1.34,"",2,11.1,2,0.8,13,5.5,15,6.4,13903,0.5,0,0.0,0,0.0,-34,-3.6
"01003","1","1021","73","0","2019","2","","Baldwin County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,247,262,254,3518105,0,0,1064,"",1.05,0.71,0.74,0.71,0.93,0.00,0.00,1.29,"",0,0.0,8,3.3,19,7.8,15,6.3,39708,1.1,0,0.0,0,0.0,-49,-4.4
"01003","1","1023","73","0","2019","1","","Baldwin County, Alabama","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,8,8,115043,0,0,1106,"",2.01,1.32,1.31,1.28,1.11,0.00,0.00,0.85,"",0,0.0,0,0.0,0,0.0,1,14.3,-36048,-23.9,0,0.0,0,0.0,-410,-27.0
"01003","1","1023","73","0","2019","2","","Baldwin County, Alabama","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,8,7,114965,0,0,1206,"",2.02,1.11,1.27,1.08,0.97,0.00,0.00,0.84,"",0,0.0,0,0.0,1,14.3,0,0.0,6903,6.4,0,0.0,0,0.0,19,1.6
