"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01027","0","10","70","0","2019","1","","Clay County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",213,4284,4258,4271,36203135,21003479,199623,652,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.5,71,1.7,10,0.2,29,0.7,-34270,-0.1,373726,1.8,16392,8.9,-6,-0.9
"01027","0","10","70","0","2019","2","","Clay County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",217,4279,4275,4268,37985175,5874501,65693,684,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.9,-17,-0.4,0,0.0,-10,-0.2,1751086,4.8,-134525,-2.2,6466,10.9,33,5.1
"01027","1","10","71","0","2019","1","","Clay County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,50,51,50,661710,0,0,1011,"",4.78,0.61,0.63,0.61,0.74,0.00,0.00,1.20,"",0,0.0,-5,-9.1,-4,-7.3,-5,-9.1,-95828,-12.6,0,0.0,0,0.0,-48,-4.5
"01027","1","10","71","0","2019","2","","Clay County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,49,50,49,703108,0,0,1096,"",4.74,0.60,0.62,0.61,0.65,0.00,0.00,1.07,"",0,0.0,-4,-7.5,-2,-3.8,-5,-9.3,-3287,-0.5,0,0.0,0,0.0,71,6.9
"01027","1","102","72","0","2019","1","","Clay County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,50,51,50,661710,0,0,1011,"",4.79,0.62,0.64,0.63,0.75,0.00,0.00,1.20,"",0,0.0,-5,-9.1,-4,-7.3,-5,-9.1,-95828,-12.6,0,0.0,0,0.0,-48,-4.5
"01027","1","102","72","0","2019","2","","Clay County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,49,50,49,703108,0,0,1096,"",4.75,0.61,0.63,0.62,0.67,0.00,0.00,1.08,"",0,0.0,-4,-7.5,-2,-3.8,-5,-9.3,-3287,-0.5,0,0.0,0,0.0,71,6.9
"01027","1","1021","73","0","2019","1","","Clay County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,27,27,27,286834,0,0,817,"",6.33,1.36,1.37,1.37,1.80,0.00,0.00,1.31,"",0,0.0,1,3.8,1,3.8,1,3.8,23191,8.8,0,0.0,0,0.0,37,4.7
"01027","1","1021","73","0","2019","2","","Clay County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,26,27,27,332396,0,0,959,"",6.26,1.33,1.39,1.40,1.68,0.00,0.00,1.22,"",0,0.0,0,0.0,1,3.8,0,0.0,12759,4.0,0,0.0,0,0.0,25,2.7
"01027","1","1028","73","0","2019","1","","Clay County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,23,24,23,374876,0,0,1236,"",3.95,0.52,0.54,0.52,0.69,0.00,0.00,1.31,"",0,0.0,-6,-20.7,-5,-17.2,-6,-20.7,-119019,-24.1,0,0.0,0,0.0,-74,-5.6
"01027","1","1028","73","0","2019","2","","Clay County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,23,23,22,370712,0,0,1258,"",3.92,0.52,0.52,0.50,0.58,0.00,0.00,1.12,"",0,0.0,-4,-14.8,-3,-11.5,-5,-18.5,-16046,-4.1,0,0.0,0,0.0,142,12.7
"01027","1","48-49","74","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,27,27,27,286834,0,0,817,"",6.51,1.49,1.50,1.50,1.93,0.00,0.00,1.29,"",0,0.0,1,3.8,1,3.8,1,3.8,23191,8.8,0,0.0,0,0.0,37,4.7
"01027","1","48-49","74","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,26,27,27,332396,0,0,959,"",6.44,1.45,1.51,1.52,1.80,0.00,0.00,1.20,"",0,0.0,0,0.0,1,3.8,0,0.0,12759,4.0,0,0.0,0,0.0,25,2.7
"01027","1","491","75","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,27,27,27,286834,0,0,817,"",6.55,1.52,1.53,1.53,2.03,0.00,0.00,1.33,"",0,0.0,1,3.8,1,3.8,1,3.8,23191,8.8,0,0.0,0,0.0,37,4.7
"01027","1","491","75","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,26,27,27,332396,0,0,959,"",6.48,1.48,1.55,1.56,1.87,0.00,0.00,1.22,"",0,0.0,0,0.0,1,3.8,0,0.0,12759,4.0,0,0.0,0,0.0,25,2.7
"01027","1","4911","76","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,27,27,27,286834,0,0,817,"",6.55,1.52,1.53,1.53,2.03,0.00,0.00,1.33,"",0,0.0,1,3.8,1,3.8,1,3.8,23191,8.8,0,0.0,0,0.0,37,4.7
"01027","1","4911","76","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,26,27,27,332396,0,0,959,"",6.48,1.48,1.55,1.56,1.87,0.00,0.00,1.22,"",0,0.0,0,0.0,1,3.8,0,0.0,12759,4.0,0,0.0,0,0.0,25,2.7
"01027","1","49111","77","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,27,27,27,286834,0,0,817,"",6.55,1.52,1.53,1.53,2.03,0.00,0.00,1.33,"",0,0.0,1,3.8,1,3.8,1,3.8,23191,8.8,0,0.0,0,0.0,37,4.7
"01027","1","49111","77","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,26,27,27,332396,0,0,959,"",6.48,1.48,1.55,1.56,1.87,0.00,0.00,1.22,"",0,0.0,0,0.0,1,3.8,0,0.0,12759,4.0,0,0.0,0,0.0,25,2.7
"01027","1","491110","78","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,27,27,27,286834,0,0,817,"",6.55,1.52,1.53,1.53,2.03,0.00,0.00,1.33,"",0,0.0,1,3.8,1,3.8,1,3.8,23191,8.8,0,0.0,0,0.0,37,4.7
"01027","1","491110","78","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,26,27,27,332396,0,0,959,"",6.48,1.48,1.55,1.56,1.87,0.00,0.00,1.22,"",0,0.0,0,0.0,1,3.8,0,0.0,12759,4.0,0,0.0,0,0.0,25,2.7
"01027","1","92","74","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,23,24,23,374876,0,0,1236,"",3.95,0.52,0.54,0.52,0.69,0.00,0.00,1.31,"",0,0.0,-6,-20.7,-5,-17.2,-6,-20.7,-119019,-24.1,0,0.0,0,0.0,-74,-5.6
"01027","1","92","74","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,23,23,22,370712,0,0,1258,"",3.92,0.52,0.52,0.50,0.58,0.00,0.00,1.12,"",0,0.0,-4,-14.8,-3,-11.5,-5,-18.5,-16046,-4.1,0,0.0,0,0.0,142,12.7
"01027","1","926","75","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,23,24,23,369798,0,0,1219,"",5.73,3.32,3.47,3.36,4.18,0.00,0.00,1.24,"",0,0.0,-4,-14.8,-3,-11.1,-4,-14.8,-97279,-20.8,0,0.0,0,0.0,-112,-8.4
"01027","1","926","75","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,23,23,22,370712,0,0,1258,"",5.58,3.29,3.38,3.21,3.91,0.00,0.00,1.19,"",0,0.0,-2,-8.0,-2,-8.0,-3,-12.0,8499,2.3,0,0.0,0,0.0,143,12.8
"01027","1","9261","76","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,23,24,23,369798,0,0,1219,"",5.73,3.32,3.47,3.36,4.18,0.00,0.00,1.24,"",0,0.0,-4,-14.8,-3,-11.1,-4,-14.8,-97279,-20.8,0,0.0,0,0.0,-112,-8.4
"01027","1","9261","76","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,23,23,22,370712,0,0,1258,"",5.58,3.29,3.38,3.21,3.91,0.00,0.00,1.19,"",0,0.0,-2,-8.0,-2,-8.0,-3,-12.0,8499,2.3,0,0.0,0,0.0,143,12.8
"01027","1","92614","77","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,23,24,23,369798,0,0,1219,"",14.66,18.57,18.42,18.34,27.84,0.00,0.00,1.51,"",0,0.0,-4,-14.8,-3,-11.1,-4,-14.8,-97279,-20.8,0,0.0,0,0.0,-112,-8.4
"01027","1","92614","77","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,23,23,22,370712,0,0,1258,"",14.59,17.36,18.54,17.37,24.48,0.00,0.00,1.38,"",0,0.0,-2,-8.0,-2,-8.0,-3,-12.0,8499,2.3,0,0.0,0,0.0,143,12.8
"01027","1","926140","78","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,23,24,23,369798,0,0,1219,"",14.66,18.57,18.42,18.34,27.84,0.00,0.00,1.51,"",0,0.0,-4,-14.8,-3,-11.1,-4,-14.8,-97279,-20.8,0,0.0,0,0.0,-112,-8.4
"01027","1","926140","78","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,23,23,22,370712,0,0,1258,"",14.59,17.36,18.54,17.37,24.48,0.00,0.00,1.38,"",0,0.0,-2,-8.0,-2,-8.0,-3,-12.0,8499,2.3,0,0.0,0,0.0,143,12.8
"01027","1","928","75","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,5078,0,0,0,"",21.02,0.00,0.00,0.00,0.03,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-2,-100.0,-2,-100.0,-21740,-81.1,0,0.0,0,0.0,-1031,-100.0
"01027","1","928","75","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",20.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-1,-100.0,-2,-100.0,-24545,-100.0,0,0.0,0,0.0,-1133,-100.0
"01027","1","9281","76","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,5078,0,0,0,"",21.02,0.00,0.00,0.00,0.03,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-2,-100.0,-2,-100.0,-21740,-81.1,0,0.0,0,0.0,-1031,-100.0
"01027","1","9281","76","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",20.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-1,-100.0,-2,-100.0,-24545,-100.0,0,0.0,0,0.0,-1133,-100.0
"01027","1","92811","77","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 92811 National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,5078,0,0,0,"",24.84,0.00,0.00,0.00,0.03,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-2,-100.0,-2,-100.0,-21740,-81.1,0,0.0,0,0.0,-1031,-100.0
"01027","1","92811","77","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 92811 National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",24.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-1,-100.0,-2,-100.0,-24545,-100.0,0,0.0,0,0.0,-1133,-100.0
"01027","1","928110","78","0","2019","1","","Clay County, Alabama","Federal Government","NAICS 928110 National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,5078,0,0,0,"",24.84,0.00,0.00,0.00,0.03,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-2,-100.0,-2,-100.0,-21740,-81.1,0,0.0,0,0.0,-1031,-100.0
"01027","1","928110","78","0","2019","2","","Clay County, Alabama","Federal Government","NAICS 928110 National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",24.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-2,-100.0,-1,-100.0,-2,-100.0,-24545,-100.0,0,0.0,0,0.0,-1133,-100.0
"01027","2","10","71","0","2019","1","","Clay County, Alabama","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,51,51,51,387200,0,0,584,"",6.83,0.38,0.38,0.37,0.33,0.00,0.00,0.89,"",1,11.1,-1,-1.9,-1,-1.9,1,2.0,-39607,-9.3,0,0.0,0,0.0,-56,-8.8
"01027","2","10","71","0","2019","2","","Clay County, Alabama","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,51,52,52,455710,0,0,678,"",6.76,0.38,0.39,0.39,0.35,0.00,0.00,0.91,"",1,11.1,0,0.0,1,2.0,2,4.0,14369,3.3,0,0.0,0,0.0,8,1.2
"01027","2","102","72","0","2019","1","","Clay County, Alabama","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,51,51,51,387200,0,0,584,"",7.02,0.39,0.38,0.38,0.34,0.00,0.00,0.89,"",1,11.1,-1,-1.9,-1,-1.9,1,2.0,-39607,-9.3,0,0.0,0,0.0,-56,-8.8
"01027","2","102","72","0","2019","2","","Clay County, Alabama","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,51,52,52,455710,0,0,678,"",6.95,0.38,0.39,0.40,0.36,0.00,0.00,0.91,"",1,11.1,0,0.0,1,2.0,2,4.0,14369,3.3,0,0.0,0,0.0,8,1.2
"01027","2","1021","73","0","2019","1","N","Clay County, Alabama","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",48.70,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","1021","73","0","2019","2","N","Clay County, Alabama","State Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",48.26,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","1025","73","0","2019","1","N","Clay County, Alabama","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","1025","73","0","2019","2","N","Clay County, Alabama","State Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",3.22,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","1028","73","0","2019","1","","Clay County, Alabama","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,46,46,46,333711,0,0,558,"",7.66,0.87,0.88,0.88,0.76,0.00,0.00,0.86,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","1028","73","0","2019","2","","Clay County, Alabama","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,46,47,47,398155,0,0,656,"",7.59,0.88,0.90,0.90,0.80,0.00,0.00,0.89,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","44-45","74","0","2019","1","N","Clay County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",109.10,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","44-45","74","0","2019","2","N","Clay County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",108.11,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","445","75","0","2019","1","N","Clay County, Alabama","State Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",110.87,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","445","75","0","2019","2","N","Clay County, Alabama","State Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",109.87,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","4453","76","0","2019","1","N","Clay County, Alabama","State Government","NAICS 4453 Beer, wine, and liquor stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",110.87,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","4453","76","0","2019","2","N","Clay County, Alabama","State Government","NAICS 4453 Beer, wine, and liquor stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",109.87,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","44531","77","0","2019","1","N","Clay County, Alabama","State Government","NAICS 44531 Beer, wine, and liquor stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",110.87,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","44531","77","0","2019","2","N","Clay County, Alabama","State Government","NAICS 44531 Beer, wine, and liquor stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",109.87,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","445310","78","0","2019","1","N","Clay County, Alabama","State Government","NAICS 445310 Beer, wine, and liquor stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",110.87,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","445310","78","0","2019","2","N","Clay County, Alabama","State Government","NAICS 445310 Beer, wine, and liquor stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",109.87,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","61","74","0","2019","1","N","Clay County, Alabama","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","61","74","0","2019","2","N","Clay County, Alabama","State Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.99,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","611","75","0","2019","1","N","Clay County, Alabama","State Government","NAICS 611 Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",6.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","611","75","0","2019","2","N","Clay County, Alabama","State Government","NAICS 611 Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",5.99,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","6113","76","0","2019","1","N","Clay County, Alabama","State Government","NAICS 6113 Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","6113","76","0","2019","2","N","Clay County, Alabama","State Government","NAICS 6113 Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","61131","77","0","2019","1","N","Clay County, Alabama","State Government","NAICS 61131 Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","61131","77","0","2019","2","N","Clay County, Alabama","State Government","NAICS 61131 Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","611310","78","0","2019","1","N","Clay County, Alabama","State Government","NAICS 611310 Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","611310","78","0","2019","2","N","Clay County, Alabama","State Government","NAICS 611310 Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",8.08,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","92","74","0","2019","1","","Clay County, Alabama","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,46,46,46,333711,0,0,558,"",7.66,0.87,0.88,0.88,0.76,0.00,0.00,0.86,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","92","74","0","2019","2","","Clay County, Alabama","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,46,47,47,398155,0,0,656,"",7.59,0.88,0.90,0.90,0.80,0.00,0.00,0.89,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","922","75","0","2019","1","N","Clay County, Alabama","State Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",9.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","922","75","0","2019","2","N","Clay County, Alabama","State Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",9.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","9221","76","0","2019","1","N","Clay County, Alabama","State Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",9.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","9221","76","0","2019","2","N","Clay County, Alabama","State Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",9.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","92211","77","0","2019","1","N","Clay County, Alabama","State Government","NAICS 92211 Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","92211","77","0","2019","2","N","Clay County, Alabama","State Government","NAICS 92211 Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","922110","78","0","2019","1","N","Clay County, Alabama","State Government","NAICS 922110 Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",12.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","2","922110","78","0","2019","2","N","Clay County, Alabama","State Government","NAICS 922110 Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",11.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
