"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01029","0","10","70","0","2019","1","","Cleburne County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",229,2101,2081,2043,20385208,9363618,153850,756,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.7,-44,-2.1,33,1.6,-53,-2.5,-2526811,-11.0,-444526,-4.5,-30966,-16.8,-85,-10.1
"01029","0","10","70","0","2019","2","","Cleburne County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",233,2053,2062,2068,21547654,2448905,32989,804,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,5.9,-58,-2.7,-75,-3.5,-68,-3.2,-2127857,-9.0,-452433,-15.6,-9263,-21.9,-52,-6.1
"01029","1","10","71","0","2019","1","","Cleburne County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,49,52,52,588053,0,0,887,"",5.19,1.22,1.30,1.33,1.17,0.00,0.00,0.91,"",0,0.0,6,14.0,5,10.6,4,8.3,-32098,-5.2,0,0.0,0,0.0,-150,-14.5
"01029","1","10","71","0","2019","2","","Cleburne County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,52,49,51,656782,0,0,997,"",5.15,1.33,1.25,1.30,1.08,0.00,0.00,0.83,"",0,0.0,2,4.0,-1,-2.0,2,4.1,-9352,-1.4,0,0.0,0,0.0,-35,-3.4
"01029","1","102","72","0","2019","1","","Cleburne County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,49,52,52,588053,0,0,887,"",5.20,1.24,1.33,1.36,1.19,0.00,0.00,0.91,"",0,0.0,6,14.0,5,10.6,4,8.3,-32098,-5.2,0,0.0,0,0.0,-150,-14.5
"01029","1","102","72","0","2019","2","","Cleburne County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,52,49,51,656782,0,0,997,"",5.16,1.36,1.28,1.33,1.10,0.00,0.00,0.83,"",0,0.0,2,4.0,-1,-2.0,2,4.1,-9352,-1.4,0,0.0,0,0.0,-35,-3.4
"01029","1","1021","73","0","2019","1","","Cleburne County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,26,29,28,272963,0,0,759,"",7.36,2.68,3.02,2.98,3.04,0.00,0.00,1.05,"",0,0.0,2,8.3,3,11.5,1,3.7,14574,5.6,0,0.0,0,0.0,-15,-1.9
"01029","1","1021","73","0","2019","2","","Cleburne County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,29,26,28,313352,0,0,871,"",7.29,3.10,2.77,2.99,2.79,0.00,0.00,0.95,"",0,0.0,2,7.4,0,0.0,3,12.0,4488,1.5,0,0.0,0,0.0,-43,-4.7
"01029","1","1023","73","0","2019","1","","Cleburne County, Alabama","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,21907,0,0,1685,"",56.13,5.71,5.83,5.95,7.15,0.00,0.00,1.23,"",0,0.0,0,0.0,0,0.0,0,0.0,576,2.7,0,0.0,0,0.0,44,2.7
"01029","1","1023","73","0","2019","2","","Cleburne County, Alabama","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,25558,0,0,1966,"",56.19,5.95,6.00,5.93,7.30,0.00,0.00,1.23,"",0,0.0,0,0.0,0,0.0,0,0.0,-78,-0.3,0,0.0,0,0.0,-6,-0.3
"01029","1","1028","73","0","2019","1","","Cleburne County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,23,293183,0,0,1010,"",1.84,1.01,1.02,1.09,0.96,0.00,0.00,0.92,"",0,0.0,4,22.2,2,10.0,3,15.0,-47248,-13.9,0,0.0,0,0.0,-345,-25.5
"01029","1","1028","73","0","2019","2","","Cleburne County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,22,317872,0,0,1111,"",1.82,1.04,1.04,1.03,0.87,0.00,0.00,0.84,"",0,0.0,0,0.0,-1,-4.3,-1,-4.3,-13762,-4.1,0,0.0,0,0.0,-14,-1.2
"01029","1","48-49","74","0","2019","1","","Cleburne County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,26,29,28,272963,0,0,759,"",7.56,2.92,3.29,3.25,3.26,0.00,0.00,1.04,"",0,0.0,2,8.3,3,11.5,1,3.7,14574,5.6,0,0.0,0,0.0,-15,-1.9
"01029","1","48-49","74","0","2019","2","","Cleburne County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,29,26,28,313352,0,0,871,"",7.50,3.37,3.02,3.26,2.99,0.00,0.00,0.93,"",0,0.0,2,7.4,0,0.0,3,12.0,4488,1.5,0,0.0,0,0.0,-43,-4.7
"01029","1","491","75","0","2019","1","","Cleburne County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,26,29,28,272963,0,0,759,"",7.61,2.98,3.36,3.32,3.42,0.00,0.00,1.06,"",0,0.0,2,8.3,3,11.5,1,3.7,14574,5.6,0,0.0,0,0.0,-15,-1.9
"01029","1","491","75","0","2019","2","","Cleburne County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,29,26,28,313352,0,0,871,"",7.54,3.45,3.09,3.33,3.11,0.00,0.00,0.95,"",0,0.0,2,7.4,0,0.0,3,12.0,4488,1.5,0,0.0,0,0.0,-43,-4.7
"01029","1","4911","76","0","2019","1","","Cleburne County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,26,29,28,272963,0,0,759,"",7.61,2.98,3.36,3.32,3.42,0.00,0.00,1.06,"",0,0.0,2,8.3,3,11.5,1,3.7,14574,5.6,0,0.0,0,0.0,-15,-1.9
"01029","1","4911","76","0","2019","2","","Cleburne County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,29,26,28,313352,0,0,871,"",7.54,3.45,3.09,3.33,3.11,0.00,0.00,0.95,"",0,0.0,2,7.4,0,0.0,3,12.0,4488,1.5,0,0.0,0,0.0,-43,-4.7
"01029","1","49111","77","0","2019","1","","Cleburne County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,26,29,28,272963,0,0,759,"",7.61,2.98,3.36,3.32,3.42,0.00,0.00,1.06,"",0,0.0,2,8.3,3,11.5,1,3.7,14574,5.6,0,0.0,0,0.0,-15,-1.9
"01029","1","49111","77","0","2019","2","","Cleburne County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,29,26,28,313352,0,0,871,"",7.54,3.45,3.09,3.33,3.11,0.00,0.00,0.95,"",0,0.0,2,7.4,0,0.0,3,12.0,4488,1.5,0,0.0,0,0.0,-43,-4.7
