"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01031","0","10","70","0","2019","1","","Coffee County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1065,16107,16228,16261,138215352,78550601,863282,656,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-0.7,625,4.0,515,3.3,504,3.2,6808734,5.2,3767387,5.0,-25376,-2.9,10,1.5
"01031","0","10","70","0","2019","2","","Coffee County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1067,16368,16503,16674,142649107,25151359,266151,664,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.4,566,3.6,626,3.9,767,4.8,7355526,5.4,930386,3.8,-10104,-3.7,8,1.2
"01031","1","10","71","0","2019","1","","Coffee County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,305,309,304,4917467,0,0,1236,"",2.55,0.99,0.99,0.98,1.44,0.00,0.00,1.46,"",0,0.0,46,17.8,38,14.0,28,10.1,982494,25.0,0,0.0,0,0.0,109,9.7
"01031","1","10","71","0","2019","2","","Coffee County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,311,315,307,4888490,0,0,1209,"",2.57,1.00,1.01,0.97,1.21,0.00,0.00,1.22,"",0,0.0,28,9.9,28,9.8,28,10.0,638598,15.0,0,0.0,0,0.0,54,4.7
"01031","1","102","72","0","2019","1","","Coffee County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,305,309,304,4917467,0,0,1236,"",2.56,1.01,1.01,1.00,1.47,0.00,0.00,1.46,"",0,0.0,46,17.8,38,14.0,28,10.1,982494,25.0,0,0.0,0,0.0,109,9.7
"01031","1","102","72","0","2019","2","","Coffee County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,311,315,307,4888490,0,0,1209,"",2.58,1.02,1.03,0.99,1.24,0.00,0.00,1.22,"",0,0.0,28,9.9,28,9.8,28,10.0,638598,15.0,0,0.0,0,0.0,54,4.7
"01031","1","1021","73","0","2019","1","","Coffee County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,73,76,74,921386,0,0,953,"",1.58,0.98,1.01,0.99,1.51,0.00,0.00,1.52,"",0,0.0,-1,-1.4,2,2.7,0,0.0,26594,3.0,0,0.0,0,0.0,23,2.5
"01031","1","1021","73","0","2019","2","","Coffee County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,78,77,72,1053259,0,0,1071,"",1.59,1.04,1.03,0.95,1.42,0.00,0.00,1.41,"",0,0.0,2,2.6,5,6.9,4,5.9,20384,2.0,0,0.0,0,0.0,-32,-2.9
"01031","1","1025","73","0","2019","1","","Coffee County, Alabama","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,19,19,20,297604,0,0,1184,"",14.01,0.41,0.41,0.43,0.59,0.00,0.00,1.43,"",0,0.0,1,5.6,1,5.6,2,11.1,9105,3.2,0,0.0,0,0.0,-49,-4.0
"01031","1","1025","73","0","2019","2","","Coffee County, Alabama","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,19,20,15,330531,0,0,1413,"",14.12,0.41,0.43,0.32,0.53,0.00,0.00,1.38,"",0,0.0,1,5.6,1,5.3,-1,-6.2,-87,0.0,0,0.0,0,0.0,-27,-1.9
"01031","1","1028","73","0","2019","1","","Coffee County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,213,214,210,3698477,0,0,1340,"",3.56,1.28,1.27,1.25,1.78,0.00,0.00,1.41,"",0,0.0,46,27.5,35,19.6,26,14.1,946795,34.4,0,0.0,0,0.0,142,11.9
"01031","1","1028","73","0","2019","2","","Coffee County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,214,218,220,3504700,0,0,1240,"",3.59,1.27,1.29,1.28,1.45,0.00,0.00,1.14,"",0,0.0,25,13.2,22,11.2,25,12.8,618301,21.4,0,0.0,0,0.0,92,8.0
"01031","1","48-49","74","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,73,76,74,921386,0,0,953,"",1.63,1.07,1.11,1.08,1.62,0.00,0.00,1.50,"",0,0.0,-1,-1.4,2,2.7,0,0.0,26594,3.0,0,0.0,0,0.0,23,2.5
"01031","1","48-49","74","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,78,77,72,1053259,0,0,1071,"",1.64,1.14,1.12,1.04,1.52,0.00,0.00,1.38,"",0,0.0,2,2.6,5,6.9,4,5.9,20384,2.0,0,0.0,0,0.0,-32,-2.9
"01031","1","491","75","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,73,76,74,921386,0,0,953,"",1.64,1.09,1.13,1.10,1.70,0.00,0.00,1.54,"",0,0.0,-1,-1.4,2,2.7,0,0.0,26594,3.0,0,0.0,0,0.0,23,2.5
"01031","1","491","75","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,78,77,72,1053259,0,0,1071,"",1.65,1.16,1.14,1.06,1.58,0.00,0.00,1.41,"",0,0.0,2,2.6,5,6.9,4,5.9,20384,2.0,0,0.0,0,0.0,-32,-2.9
"01031","1","4911","76","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,73,76,74,921386,0,0,953,"",1.64,1.09,1.13,1.10,1.70,0.00,0.00,1.54,"",0,0.0,-1,-1.4,2,2.7,0,0.0,26594,3.0,0,0.0,0,0.0,23,2.5
"01031","1","4911","76","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,78,77,72,1053259,0,0,1071,"",1.65,1.16,1.14,1.06,1.58,0.00,0.00,1.41,"",0,0.0,2,2.6,5,6.9,4,5.9,20384,2.0,0,0.0,0,0.0,-32,-2.9
"01031","1","49111","77","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,73,76,74,921386,0,0,953,"",1.64,1.09,1.13,1.10,1.70,0.00,0.00,1.54,"",0,0.0,-1,-1.4,2,2.7,0,0.0,26594,3.0,0,0.0,0,0.0,23,2.5
"01031","1","49111","77","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,78,77,72,1053259,0,0,1071,"",1.65,1.16,1.14,1.06,1.58,0.00,0.00,1.41,"",0,0.0,2,2.6,5,6.9,4,5.9,20384,2.0,0,0.0,0,0.0,-32,-2.9
"01031","1","491110","78","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,73,76,74,921386,0,0,953,"",1.64,1.09,1.13,1.10,1.70,0.00,0.00,1.54,"",0,0.0,-1,-1.4,2,2.7,0,0.0,26594,3.0,0,0.0,0,0.0,23,2.5
"01031","1","491110","78","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,78,77,72,1053259,0,0,1071,"",1.65,1.16,1.14,1.06,1.58,0.00,0.00,1.41,"",0,0.0,2,2.6,5,6.9,4,5.9,20384,2.0,0,0.0,0,0.0,-32,-2.9
"01031","1","61","74","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,15,16,225222,0,0,1130,"",62.32,11.33,11.23,11.99,16.11,0.00,0.00,1.40,"",0,0.0,2,15.4,2,15.4,3,23.1,13880,6.6,0,0.0,0,0.0,-121,-9.7
"01031","1","61","74","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 61 Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,16,12,269129,0,0,1444,"",63.21,11.33,12.05,9.39,15.60,0.00,0.00,1.43,"",0,0.0,2,15.4,2,14.3,1,9.1,17351,6.9,0,0.0,0,0.0,-85,-5.6
"01031","1","611","75","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 611 Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,15,16,225222,0,0,1130,"",62.32,11.33,11.23,11.99,16.11,0.00,0.00,1.40,"",0,0.0,2,15.4,2,15.4,3,23.1,13880,6.6,0,0.0,0,0.0,-121,-9.7
"01031","1","611","75","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 611 Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,16,12,269129,0,0,1444,"",63.21,11.33,12.05,9.39,15.60,0.00,0.00,1.43,"",0,0.0,2,15.4,2,14.3,1,9.1,17351,6.9,0,0.0,0,0.0,-85,-5.6
"01031","1","6111","76","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 6111 Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,15,16,225222,0,0,1130,"",207.28,27.29,26.93,28.80,46.45,0.00,0.00,1.68,"",0,0.0,2,15.4,2,15.4,3,23.1,13880,6.6,0,0.0,0,0.0,-121,-9.7
"01031","1","6111","76","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 6111 Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,16,12,269129,0,0,1444,"",213.52,27.27,29.03,24.13,43.25,0.00,0.00,1.61,"",0,0.0,2,15.4,2,14.3,1,9.1,17351,6.9,0,0.0,0,0.0,-85,-5.6
"01031","1","61111","77","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 61111 Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,15,16,225222,0,0,1130,"",207.28,27.29,26.93,28.80,46.45,0.00,0.00,1.68,"",0,0.0,2,15.4,2,15.4,3,23.1,13880,6.6,0,0.0,0,0.0,-121,-9.7
"01031","1","61111","77","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 61111 Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,16,12,269129,0,0,1444,"",213.52,27.27,29.03,24.13,43.25,0.00,0.00,1.61,"",0,0.0,2,15.4,2,14.3,1,9.1,17351,6.9,0,0.0,0,0.0,-85,-5.6
"01031","1","611110","78","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 611110 Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,15,16,225222,0,0,1130,"",207.28,27.29,26.93,28.80,46.45,0.00,0.00,1.68,"",0,0.0,2,15.4,2,15.4,3,23.1,13880,6.6,0,0.0,0,0.0,-121,-9.7
"01031","1","611110","78","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 611110 Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,16,12,269129,0,0,1444,"",213.52,27.27,29.03,24.13,43.25,0.00,0.00,1.61,"",0,0.0,2,15.4,2,14.3,1,9.1,17351,6.9,0,0.0,0,0.0,-85,-5.6
"01031","1","62","74","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,4,4,72382,0,0,1392,"",7.89,0.09,0.09,0.09,0.15,0.00,0.00,1.67,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-4775,-6.2,0,0.0,0,0.0,205,17.3
"01031","1","62","74","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,4,3,61402,0,0,1288,"",7.95,0.09,0.09,0.07,0.10,0.00,0.00,1.25,"",0,0.0,-1,-20.0,-1,-20.0,-2,-40.0,-17438,-22.1,0,0.0,0,0.0,75,6.2
"01031","1","622","75","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,72382,0,0,1392,"",25.03,0.10,0.10,0.10,0.17,0.00,0.00,1.64,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-4775,-6.2,0,0.0,0,0.0,205,17.3
"01031","1","622","75","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,3,61402,0,0,1288,"",25.09,0.10,0.10,0.08,0.11,0.00,0.00,1.22,"",0,0.0,-1,-20.0,-1,-20.0,-2,-40.0,-17438,-22.1,0,0.0,0,0.0,75,6.2
"01031","1","6221","76","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 6221 General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,72382,0,0,1392,"",25.49,0.10,0.10,0.10,0.17,0.00,0.00,1.63,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-4775,-6.2,0,0.0,0,0.0,205,17.3
"01031","1","6221","76","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 6221 General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,3,61402,0,0,1288,"",25.55,0.10,0.10,0.08,0.12,0.00,0.00,1.22,"",0,0.0,-1,-20.0,-1,-20.0,-2,-40.0,-17438,-22.1,0,0.0,0,0.0,75,6.2
"01031","1","62211","77","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 62211 General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,72382,0,0,1392,"",25.49,0.10,0.10,0.10,0.17,0.00,0.00,1.63,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-4775,-6.2,0,0.0,0,0.0,205,17.3
"01031","1","62211","77","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 62211 General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,3,61402,0,0,1288,"",25.55,0.10,0.10,0.08,0.12,0.00,0.00,1.22,"",0,0.0,-1,-20.0,-1,-20.0,-2,-40.0,-17438,-22.1,0,0.0,0,0.0,75,6.2
"01031","1","622110","78","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,72382,0,0,1392,"",25.49,0.10,0.10,0.10,0.17,0.00,0.00,1.63,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-4775,-6.2,0,0.0,0,0.0,205,17.3
"01031","1","622110","78","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,3,61402,0,0,1288,"",25.55,0.10,0.10,0.08,0.12,0.00,0.00,1.22,"",0,0.0,-1,-20.0,-1,-20.0,-2,-40.0,-17438,-22.1,0,0.0,0,0.0,75,6.2
"01031","1","92","74","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,213,214,210,3698477,0,0,1340,"",3.56,1.28,1.27,1.25,1.78,0.00,0.00,1.41,"",0,0.0,46,27.5,35,19.6,26,14.1,946795,34.4,0,0.0,0,0.0,142,11.9
"01031","1","92","74","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,214,218,220,3504700,0,0,1240,"",3.59,1.27,1.29,1.28,1.45,0.00,0.00,1.14,"",0,0.0,25,13.2,22,11.2,25,12.8,618301,21.4,0,0.0,0,0.0,92,8.0
"01031","1","921","75","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,14342,0,0,1103,"",4.70,0.06,0.06,0.06,0.08,0.00,0.00,1.26,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-20142,-58.4,0,0.0,0,0.0,-223,-16.8
"01031","1","921","75","0","2019","2","","Coffee County, Alabama","Federal Government","NAICS 921 Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,16922,0,0,1302,"",5.06,0.06,0.06,0.06,0.08,0.00,0.00,1.32,"",0,0.0,-1,-50.0,-1,-50.0,0,0.0,-16975,-50.1,0,0.0,0,0.0,-262,-16.8
"01031","1","9211","76","0","2019","1","","Coffee County, Alabama","Federal Government","NAICS 9211 Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,14342,0,0,1103,"",4.70,0.06,0.06,0.06,0.08,0.00,0.00,1.26,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-20142,-58.4,0,0.0,0,0.0,-223,-16.8
