"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01051","0","10","70","0","2019","1","","Elmore County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1406,19607,19759,19894,184361593,90892689,925072,718,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",36,2.6,-84,-0.4,27,0.1,30,0.2,11293795,6.5,2767016,3.1,41462,4.7,44,6.5
"01051","0","10","70","0","2019","2","","Elmore County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1419,19885,20116,20000,177167377,27554151,279627,681,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",35,2.5,44,0.2,101,0.5,-148,-0.7,5614590,3.3,-709595,-2.5,-10760,-3.7,21,3.2
"01051","1","10","71","0","2019","1","","Elmore County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,168,171,171,1878336,0,0,850,"",1.81,0.45,0.45,0.45,0.41,0.00,0.00,0.92,"",0,0.0,-1,-0.6,3,1.8,3,1.8,-12597,-0.7,0,0.0,0,0.0,-14,-1.6
"01051","1","10","71","0","2019","2","","Elmore County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,165,161,162,2112000,0,0,999,"",1.69,0.44,0.42,0.43,0.42,0.00,0.00,0.98,"",-1,-6.7,3,1.9,0,0.0,-4,-2.4,-11868,-0.6,0,0.0,0,0.0,-3,-0.3
"01051","1","102","72","0","2019","1","","Elmore County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,168,171,171,1878336,0,0,850,"",1.82,0.46,0.46,0.46,0.42,0.00,0.00,0.92,"",0,0.0,-1,-0.6,3,1.8,3,1.8,-12597,-0.7,0,0.0,0,0.0,-14,-1.6
"01051","1","102","72","0","2019","2","","Elmore County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,165,161,162,2112000,0,0,999,"",1.69,0.45,0.43,0.44,0.43,0.00,0.00,0.98,"",-1,-6.7,3,1.9,0,0.0,-4,-2.4,-11868,-0.6,0,0.0,0,0.0,-3,-0.3
"01051","1","1021","73","0","2019","1","","Elmore County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,134,136,143,1470415,0,0,822,"",1.92,1.48,1.49,1.56,1.81,0.00,0.00,1.20,"",0,0.0,-4,-2.9,2,1.5,10,7.5,30700,2.1,0,0.0,0,0.0,2,0.2
"01051","1","1021","73","0","2019","2","","Elmore County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,132,135,137,1733456,0,0,990,"",1.92,1.45,1.48,1.51,1.88,0.00,0.00,1.27,"",0,0.0,-2,-1.5,3,2.3,-3,-2.1,8440,0.5,0,0.0,0,0.0,10,1.0
"01051","1","1028","73","0","2019","1","","Elmore County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,34,35,28,407921,0,0,970,"",2.10,0.17,0.17,0.14,0.15,0.00,0.00,0.93,"",0,0.0,3,9.7,1,2.9,-7,-20.0,-43297,-9.6,0,0.0,0,0.0,-71,-6.8
"01051","1","1028","73","0","2019","2","","Elmore County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,33,26,25,378544,0,0,1040,"",1.80,0.16,0.13,0.12,0.13,0.00,0.00,0.93,"",-1,-14.3,5,17.9,-3,-10.3,-1,-3.8,-20308,-5.1,0,0.0,0,0.0,-69,-6.2
"01051","1","48-49","74","0","2019","1","","Elmore County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,134,136,143,1470415,0,0,822,"",1.97,1.61,1.63,1.70,1.94,0.00,0.00,1.18,"",0,0.0,-4,-2.9,2,1.5,10,7.5,30700,2.1,0,0.0,0,0.0,2,0.2
"01051","1","48-49","74","0","2019","2","","Elmore County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,132,135,137,1733456,0,0,990,"",1.97,1.59,1.61,1.65,2.01,0.00,0.00,1.25,"",0,0.0,-2,-1.5,3,2.3,-3,-2.1,8440,0.5,0,0.0,0,0.0,10,1.0
