"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01073","0","10","70","0","2019","1","","Jefferson County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",18966,348936,350588,351330,5278120907,1842472047,21572381,1159,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",310,1.7,4389,1.3,4762,1.4,4020,1.2,156866622,3.1,53864203,3.0,-1241269,-5.4,20,1.8
"01073","0","10","70","0","2019","2","","Jefferson County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",19171,352358,353027,354617,4880281451,425422897,5011471,1062,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",382,2.0,3965,1.1,3671,1.1,3242,0.9,180484080,3.8,7892557,1.9,-327766,-6.1,28,2.7
"01073","1","10","71","0","2019","1","","Jefferson County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",94,8037,8058,8020,143678897,0,0,1375,"",0.84,1.20,1.20,1.20,1.10,0.00,0.00,0.92,"",-1,-1.1,-32,-0.4,41,0.5,25,0.3,-3985906,-2.7,0,0.0,0,0.0,-40,-2.8
"01073","1","10","71","0","2019","2","","Jefferson County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",94,8028,7980,8042,153918647,0,0,1477,"",0.84,1.20,1.19,1.20,1.11,0.00,0.00,0.93,"",-1,-1.1,43,0.5,72,0.9,96,1.2,2635339,1.7,0,0.0,0,0.0,13,0.9
"01073","1","102","72","0","2019","1","","Jefferson County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",94,8037,8058,8020,143678897,0,0,1375,"",0.84,1.23,1.22,1.22,1.12,0.00,0.00,0.92,"",-1,-1.1,-32,-0.4,41,0.5,25,0.3,-3985906,-2.7,0,0.0,0,0.0,-40,-2.8
"01073","1","102","72","0","2019","2","","Jefferson County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",94,8028,7980,8042,153918647,0,0,1477,"",0.84,1.22,1.22,1.22,1.14,0.00,0.00,0.93,"",-1,-1.1,43,0.5,72,0.9,96,1.2,2635339,1.7,0,0.0,0,0.0,13,0.9
"01073","1","1021","73","0","2019","1","","Jefferson County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",46,1852,1862,1853,28968511,0,0,1201,"",0.82,1.15,1.15,1.15,1.25,0.00,0.00,1.09,"",-1,-2.1,-67,-3.5,-38,-2.0,-29,-1.5,-214320,-0.7,0,0.0,0,0.0,20,1.7
"01073","1","1021","73","0","2019","2","","Jefferson County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",47,1867,1871,1882,32719079,0,0,1344,"",0.83,1.16,1.17,1.17,1.29,0.00,0.00,1.10,"",0,0.0,-33,-1.7,16,0.9,28,1.5,-345831,-1.0,0,0.0,0,0.0,-16,-1.2
"01073","1","1023","73","0","2019","1","","Jefferson County, Alabama","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,84453,0,0,1624,"",0.68,0.14,0.14,0.14,0.11,0.00,0.00,0.77,"",0,0.0,0,0.0,0,0.0,0,0.0,-29726,-26.0,0,0.0,0,0.0,-572,-26.0
"01073","1","1023","73","0","2019","2","","Jefferson County, Alabama","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,91853,0,0,1766,"",0.68,0.14,0.14,0.14,0.12,0.00,0.00,0.83,"",0,0.0,0,0.0,0,0.0,0,0.0,-34908,-27.5,0,0.0,0,0.0,-672,-27.6
"01073","1","1024","73","0","2019","1","","Jefferson County, Alabama","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,14,14,295193,0,0,1584,"",0.37,0.09,0.09,0.09,0.08,0.00,0.00,0.93,"",0,0.0,-2,-11.8,-3,-17.6,-3,-17.6,-27372,-8.5,0,0.0,0,0.0,124,8.5
"01073","1","1024","73","0","2019","2","","Jefferson County, Alabama","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,16,19,19,287889,0,0,1230,"",0.37,0.10,0.12,0.12,0.08,0.00,0.00,0.74,"",0,0.0,1,6.7,3,18.8,2,11.8,2999,1.1,0,0.0,0,0.0,-140,-10.2
"01073","1","1025","73","0","2019","1","","Jefferson County, Alabama","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,2486,2497,2484,47485574,0,0,1468,"",0.79,2.47,2.48,2.46,2.47,0.00,0.00,1.00,"",0,0.0,73,3.0,95,4.0,77,3.2,2505999,5.6,0,0.0,0,0.0,31,2.2
"01073","1","1025","73","0","2019","2","","Jefferson County, Alabama","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,2474,2441,2454,51567406,0,0,1615,"",0.79,2.46,2.44,2.45,2.41,0.00,0.00,0.98,"",0,0.0,82,3.4,57,2.4,41,1.7,1470308,2.9,0,0.0,0,0.0,7,0.4
"01073","1","1028","73","0","2019","1","","Jefferson County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",44,3680,3681,3665,66845166,0,0,1399,"",0.98,1.02,1.01,1.01,0.84,0.00,0.00,0.83,"",0,0.0,-36,-1.0,-13,-0.4,-20,-0.5,-6220487,-8.5,0,0.0,0,0.0,-121,-8.0
"01073","1","1028","73","0","2019","2","","Jefferson County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",43,3667,3645,3683,69252420,0,0,1454,"",0.95,1.01,1.01,1.01,0.84,0.00,0.00,0.83,"",-1,-2.3,-7,-0.2,-4,-0.1,25,0.7,1542771,2.3,0,0.0,0,0.0,31,2.2
