"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01081","0","10","70","0","2019","1","","Lee County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3255,58984,59443,59522,594070979,238349682,2610521,770,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",107,3.4,1751,3.1,1396,2.4,1369,2.4,34935167,6.2,11519030,5.1,112575,4.5,26,3.5
"01081","0","10","70","0","2019","2","","Lee County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3314,60159,59723,59865,600825525,78893045,916459,771,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",135,4.2,1349,2.3,1143,2.0,790,1.3,25889006,4.5,1373710,1.8,25753,2.9,19,2.5
"01081","1","10","71","0","2019","1","","Lee County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,299,314,304,4671923,0,0,1176,"",0.83,0.26,0.28,0.27,0.32,0.00,0.00,1.18,"",-2,-11.1,2,0.7,13,4.3,10,3.4,-96627,-2.0,0,0.0,0,0.0,-58,-4.7
"01081","1","10","71","0","2019","2","","Lee County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,319,305,307,4868140,0,0,1207,"",0.83,0.28,0.27,0.27,0.29,0.00,0.00,1.05,"",-2,-11.1,28,9.6,13,4.5,5,1.7,109401,2.3,0,0.0,0,0.0,-34,-2.7
"01081","1","102","72","0","2019","1","","Lee County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,299,314,304,4671923,0,0,1176,"",0.84,0.27,0.28,0.27,0.32,0.00,0.00,1.18,"",-2,-11.1,2,0.7,13,4.3,10,3.4,-96627,-2.0,0,0.0,0,0.0,-58,-4.7
"01081","1","102","72","0","2019","2","","Lee County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,319,305,307,4868140,0,0,1207,"",0.83,0.28,0.27,0.28,0.29,0.00,0.00,1.05,"",-2,-11.1,28,9.6,13,4.5,5,1.7,109401,2.3,0,0.0,0,0.0,-34,-2.7
"01081","1","1021","73","0","2019","1","","Lee County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,166,182,177,2393896,0,0,1052,"",0.52,0.61,0.66,0.65,0.91,0.00,0.00,1.43,"",-1,-16.7,4,2.5,13,7.7,8,4.7,168324,7.6,0,0.0,0,0.0,25,2.4
"01081","1","1021","73","0","2019","2","","Lee County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,186,175,175,2602231,0,0,1120,"",0.51,0.68,0.64,0.65,0.83,0.00,0.00,1.27,"",-1,-16.7,16,9.4,7,4.2,0,0.0,5799,0.2,0,0.0,0,0.0,-48,-4.1
"01081","1","1028","73","0","2019","1","","Lee County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,133,132,127,2278027,0,0,1341,"",1.42,0.22,0.21,0.21,0.26,0.00,0.00,1.20,"",-1,-8.3,-2,-1.5,0,0.0,2,1.6,-264951,-10.4,0,0.0,0,0.0,-156,-10.4
"01081","1","1028","73","0","2019","2","","Lee County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,133,130,132,2265909,0,0,1324,"",1.41,0.21,0.21,0.21,0.22,0.00,0.00,1.04,"",-1,-8.3,12,9.9,6,4.8,5,3.9,103602,4.8,0,0.0,0,0.0,-17,-1.3
