"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01087","0","10","70","0","2019","1","","Macon County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",239,4446,4442,4491,48252224,11549443,129116,832,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.3,-324,-6.8,-359,-7.5,-263,-5.5,-1366962,-2.8,-838811,-6.8,-32448,-20.1,33,4.1
"01087","0","10","70","0","2019","2","","Macon County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",240,4627,4597,4566,52642775,4063199,53044,881,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.1,-202,-4.2,-202,-4.2,-222,-4.6,1859727,3.7,-206475,-4.8,-8501,-13.8,68,8.4
"01087","1","10","71","0","2019","1","","Macon County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,880,893,895,13816455,0,0,1195,"",7.81,10.34,10.49,10.45,11.60,0.00,0.00,1.11,"",1,10.0,-5,-0.6,-8,-0.9,7,0.8,-162803,-1.2,0,0.0,0,0.0,-11,-0.9
"01087","1","10","71","0","2019","2","","Macon County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,882,880,873,15836328,0,0,1387,"",7.85,10.04,10.11,10.08,10.63,0.00,0.00,1.06,"",1,10.0,-13,-1.5,-5,-0.6,-33,-3.6,226469,1.5,0,0.0,0,0.0,46,3.4
"01087","1","102","72","0","2019","1","","Macon County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,880,893,895,13816455,0,0,1195,"",7.83,10.54,10.69,10.65,11.82,0.00,0.00,1.11,"",1,10.0,-5,-0.6,-8,-0.9,7,0.8,-162803,-1.2,0,0.0,0,0.0,-11,-0.9
"01087","1","102","72","0","2019","2","","Macon County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,882,880,873,15836328,0,0,1387,"",7.87,10.23,10.30,10.28,10.85,0.00,0.00,1.06,"",1,10.0,-13,-1.5,-5,-0.6,-33,-3.6,226469,1.5,0,0.0,0,0.0,46,3.4
"01087","1","1021","73","0","2019","1","","Macon County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,28,28,28,349339,0,0,960,"",5.64,1.36,1.37,1.35,1.64,0.00,0.00,1.21,"",0,0.0,-2,-6.7,-3,-9.7,-3,-9.7,-691,-0.2,0,0.0,0,0.0,82,9.3
"01087","1","1021","73","0","2019","2","","Macon County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,28,29,29,386589,0,0,1037,"",5.66,1.33,1.39,1.40,1.41,0.00,0.00,1.03,"",0,0.0,-3,-9.7,-1,-3.3,-1,-3.3,-9702,-2.4,0,0.0,0,0.0,32,3.2
"01087","1","1025","73","0","2019","1","","Macon County, Alabama","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,817,831,833,12989824,0,0,1208,"",31.22,63.81,65.01,64.58,73.88,0.00,0.00,1.15,"",0,0.0,-6,-0.7,-5,-0.6,11,1.3,-106526,-0.8,0,0.0,0,0.0,-10,-0.8
"01087","1","1025","73","0","2019","2","","Macon County, Alabama","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,822,819,811,14981954,0,0,1410,"",31.39,62.29,62.91,62.94,64.91,0.00,0.00,1.04,"",0,0.0,-8,-1.0,-1,-0.1,-28,-3.3,231967,1.6,0,0.0,0,0.0,42,3.1
"01087","1","1028","73","0","2019","1","","Macon County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,35,34,34,477292,0,0,1069,"",10.57,0.76,0.74,0.73,0.66,0.00,0.00,0.88,"",1,20.0,3,9.4,0,0.0,-1,-2.9,-55586,-10.4,0,0.0,0,0.0,-149,-12.2
"01087","1","1028","73","0","2019","2","","Macon County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,32,32,33,467785,0,0,1113,"",10.63,0.67,0.68,0.70,0.53,0.00,0.00,0.77,"",1,20.0,-2,-5.9,-3,-8.6,-4,-10.8,4204,0.9,0,0.0,0,0.0,104,10.3
"01087","1","48-49","74","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,28,28,28,349339,0,0,960,"",5.80,1.49,1.49,1.48,1.76,0.00,0.00,1.19,"",0,0.0,-2,-6.7,-3,-9.7,-3,-9.7,-691,-0.2,0,0.0,0,0.0,82,9.3
"01087","1","48-49","74","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,28,29,29,386589,0,0,1037,"",5.82,1.45,1.51,1.53,1.51,0.00,0.00,1.01,"",0,0.0,-3,-9.7,-1,-3.3,-1,-3.3,-9702,-2.4,0,0.0,0,0.0,32,3.2
"01087","1","491","75","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,28,28,28,349339,0,0,960,"",5.83,1.52,1.52,1.51,1.85,0.00,0.00,1.22,"",0,0.0,-2,-6.7,-3,-9.7,-3,-9.7,-691,-0.2,0,0.0,0,0.0,82,9.3
"01087","1","491","75","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,28,29,29,386589,0,0,1037,"",5.86,1.48,1.54,1.56,1.57,0.00,0.00,1.03,"",0,0.0,-3,-9.7,-1,-3.3,-1,-3.3,-9702,-2.4,0,0.0,0,0.0,32,3.2
"01087","1","4911","76","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,28,28,28,349339,0,0,960,"",5.83,1.52,1.52,1.51,1.85,0.00,0.00,1.22,"",0,0.0,-2,-6.7,-3,-9.7,-3,-9.7,-691,-0.2,0,0.0,0,0.0,82,9.3
"01087","1","4911","76","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,28,29,29,386589,0,0,1037,"",5.86,1.48,1.54,1.56,1.57,0.00,0.00,1.03,"",0,0.0,-3,-9.7,-1,-3.3,-1,-3.3,-9702,-2.4,0,0.0,0,0.0,32,3.2
"01087","1","49111","77","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,28,28,28,349339,0,0,960,"",5.83,1.52,1.52,1.51,1.85,0.00,0.00,1.22,"",0,0.0,-2,-6.7,-3,-9.7,-3,-9.7,-691,-0.2,0,0.0,0,0.0,82,9.3
"01087","1","49111","77","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,28,29,29,386589,0,0,1037,"",5.86,1.48,1.54,1.56,1.57,0.00,0.00,1.03,"",0,0.0,-3,-9.7,-1,-3.3,-1,-3.3,-9702,-2.4,0,0.0,0,0.0,32,3.2
"01087","1","491110","78","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,28,28,28,349339,0,0,960,"",5.83,1.52,1.52,1.51,1.85,0.00,0.00,1.22,"",0,0.0,-2,-6.7,-3,-9.7,-3,-9.7,-691,-0.2,0,0.0,0,0.0,82,9.3
"01087","1","491110","78","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,28,29,29,386589,0,0,1037,"",5.86,1.48,1.54,1.56,1.57,0.00,0.00,1.03,"",0,0.0,-3,-9.7,-1,-3.3,-1,-3.3,-9702,-2.4,0,0.0,0,0.0,32,3.2
"01087","1","62","74","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,817,831,833,12989824,0,0,1208,"",35.17,65.69,66.93,66.48,75.99,0.00,0.00,1.15,"",0,0.0,-6,-0.7,-5,-0.6,11,1.3,-106526,-0.8,0,0.0,0,0.0,-10,-0.8
"01087","1","62","74","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,822,819,811,14981954,0,0,1410,"",35.33,64.11,64.75,64.69,66.76,0.00,0.00,1.04,"",0,0.0,-8,-1.0,-1,-0.1,-28,-3.3,231967,1.6,0,0.0,0,0.0,42,3.1
"01087","1","622","75","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,817,831,833,12989824,0,0,1208,"",111.52,75.71,77.14,76.61,85.59,0.00,0.00,1.12,"",0,0.0,-6,-0.7,-5,-0.6,11,1.3,-106526,-0.8,0,0.0,0,0.0,-10,-0.8
"01087","1","622","75","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 622 Hospitals","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,822,819,811,14981954,0,0,1410,"",111.53,73.89,74.71,74.74,75.23,0.00,0.00,1.01,"",0,0.0,-8,-1.0,-1,-0.1,-28,-3.3,231967,1.6,0,0.0,0,0.0,42,3.1
"01087","1","6221","76","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 6221 General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,817,831,833,12989824,0,0,1208,"",113.61,77.28,78.74,78.20,87.17,0.00,0.00,1.12,"",0,0.0,-6,-0.7,-5,-0.6,11,1.3,-106526,-0.8,0,0.0,0,0.0,-10,-0.8
"01087","1","6221","76","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 6221 General medical and surgical hospitals","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,822,819,811,14981954,0,0,1410,"",113.61,75.42,76.25,76.28,76.62,0.00,0.00,1.01,"",0,0.0,-8,-1.0,-1,-0.1,-28,-3.3,231967,1.6,0,0.0,0,0.0,42,3.1
"01087","1","62211","77","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 62211 General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,817,831,833,12989824,0,0,1208,"",113.61,77.28,78.74,78.20,87.17,0.00,0.00,1.12,"",0,0.0,-6,-0.7,-5,-0.6,11,1.3,-106526,-0.8,0,0.0,0,0.0,-10,-0.8
"01087","1","62211","77","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 62211 General medical and surgical hospitals","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,822,819,811,14981954,0,0,1410,"",113.61,75.42,76.25,76.28,76.62,0.00,0.00,1.01,"",0,0.0,-8,-1.0,-1,-0.1,-28,-3.3,231967,1.6,0,0.0,0,0.0,42,3.1
"01087","1","622110","78","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,817,831,833,12989824,0,0,1208,"",113.61,77.28,78.74,78.20,87.17,0.00,0.00,1.12,"",0,0.0,-6,-0.7,-5,-0.6,11,1.3,-106526,-0.8,0,0.0,0,0.0,-10,-0.8
"01087","1","622110","78","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 622110 General medical and surgical hospitals","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,822,819,811,14981954,0,0,1410,"",113.61,75.42,76.25,76.28,76.62,0.00,0.00,1.01,"",0,0.0,-8,-1.0,-1,-0.1,-28,-3.3,231967,1.6,0,0.0,0,0.0,42,3.1
"01087","1","92","74","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,35,34,34,477292,0,0,1069,"",10.57,0.76,0.74,0.73,0.66,0.00,0.00,0.88,"",1,20.0,3,9.4,0,0.0,-1,-2.9,-55586,-10.4,0,0.0,0,0.0,-149,-12.2
"01087","1","92","74","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,32,32,33,467785,0,0,1113,"",10.63,0.67,0.68,0.70,0.53,0.00,0.00,0.77,"",1,20.0,-2,-5.9,-3,-8.6,-4,-10.8,4204,0.9,0,0.0,0,0.0,104,10.3
"01087","1","924","75","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,28,27,27,387875,0,0,1092,"",15.89,10.73,10.06,10.14,9.80,0.00,0.00,0.95,"",0,0.0,2,7.7,-1,-3.6,-2,-6.9,-58941,-13.2,0,0.0,0,0.0,-150,-12.1
"01087","1","924","75","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,25,25,26,377759,0,0,1147,"",16.00,8.84,8.39,8.48,8.34,0.00,0.00,0.97,"",0,0.0,-3,-10.7,-4,-13.8,-5,-16.1,-6812,-1.8,0,0.0,0,0.0,139,13.8
"01087","1","9241","76","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,28,27,27,387875,0,0,1092,"",15.89,10.73,10.06,10.14,9.80,0.00,0.00,0.95,"",0,0.0,2,7.7,-1,-3.6,-2,-6.9,-58941,-13.2,0,0.0,0,0.0,-150,-12.1
"01087","1","9241","76","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,25,25,26,377759,0,0,1147,"",16.00,8.84,8.39,8.48,8.34,0.00,0.00,0.97,"",0,0.0,-3,-10.7,-4,-13.8,-5,-16.1,-6812,-1.8,0,0.0,0,0.0,139,13.8
"01087","1","92412","77","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,28,27,27,387875,0,0,1092,"",16.72,13.22,12.31,12.45,13.31,0.00,0.00,1.05,"",0,0.0,2,7.7,-1,-3.6,-2,-6.9,-58941,-13.2,0,0.0,0,0.0,-150,-12.1
"01087","1","92412","77","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,25,25,26,377759,0,0,1147,"",16.84,10.76,10.07,10.11,11.08,0.00,0.00,1.08,"",0,0.0,-3,-10.7,-4,-13.8,-5,-16.1,-6812,-1.8,0,0.0,0,0.0,139,13.8
"01087","1","924120","78","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,28,27,27,387875,0,0,1092,"",16.72,13.22,12.31,12.45,13.31,0.00,0.00,1.05,"",0,0.0,2,7.7,-1,-3.6,-2,-6.9,-58941,-13.2,0,0.0,0,0.0,-150,-12.1
"01087","1","924120","78","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,25,25,26,377759,0,0,1147,"",16.84,10.76,10.07,10.11,11.08,0.00,0.00,1.08,"",0,0.0,-3,-10.7,-4,-13.8,-5,-16.1,-6812,-1.8,0,0.0,0,0.0,139,13.8
"01087","1","926","75","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,3,3,3,32760,0,0,840,"",15.32,0.42,0.42,0.42,0.28,0.00,0.00,0.67,"",1,50.0,1,50.0,1,50.0,1,50.0,356,1.1,0,0.0,0,0.0,-406,-32.6
"01087","1","926","75","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,3,3,3,34655,0,0,889,"",15.15,0.40,0.41,0.41,0.26,0.00,0.00,0.65,"",1,50.0,1,50.0,1,50.0,1,50.0,6917,24.9,0,0.0,0,0.0,-178,-16.7
"01087","1","9261","76","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,3,3,3,32760,0,0,840,"",15.32,0.42,0.42,0.42,0.28,0.00,0.00,0.67,"",1,50.0,1,50.0,1,50.0,1,50.0,356,1.1,0,0.0,0,0.0,-406,-32.6
"01087","1","9261","76","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,3,3,3,34655,0,0,889,"",15.15,0.40,0.41,0.41,0.26,0.00,0.00,0.65,"",1,50.0,1,50.0,1,50.0,1,50.0,6917,24.9,0,0.0,0,0.0,-178,-16.7
"01087","1","92611","77","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,2,2,2,8011,0,0,308,"",31.80,1.56,1.55,1.54,0.38,0.00,0.00,0.25,"",1,100.0,1,100.0,1,100.0,1,100.0,5845,269.9,0,0.0,0,0.0,141,84.4
"01087","1","92611","77","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,2,2,2,6649,0,0,256,"",30.16,1.46,1.49,1.48,0.28,0.00,0.00,0.19,"",1,100.0,1,100.0,1,100.0,1,100.0,4807,261.0,0,0.0,0,0.0,114,80.3
"01087","1","926110","78","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,2,2,2,8011,0,0,308,"",31.80,1.56,1.55,1.54,0.38,0.00,0.00,0.25,"",1,100.0,1,100.0,1,100.0,1,100.0,5845,269.9,0,0.0,0,0.0,141,84.4
"01087","1","926110","78","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,2,2,2,6649,0,0,256,"",30.16,1.46,1.49,1.48,0.28,0.00,0.00,0.19,"",1,100.0,1,100.0,1,100.0,1,100.0,4807,261.0,0,0.0,0,0.0,114,80.3
"01087","1","92614","77","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,24749,0,0,1904,"",13.06,0.78,0.74,0.76,1.40,0.00,0.00,1.85,"",0,0.0,0,0.0,0,0.0,0,0.0,-5489,-18.2,0,0.0,0,0.0,-422,-18.1
"01087","1","92614","77","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,28006,0,0,2154,"",13.19,0.70,0.75,0.74,1.33,0.00,0.00,1.83,"",0,0.0,0,0.0,0,0.0,0,0.0,2110,8.1,0,0.0,0,0.0,162,8.1
"01087","1","926140","78","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,24749,0,0,1904,"",13.06,0.78,0.74,0.76,1.40,0.00,0.00,1.85,"",0,0.0,0,0.0,0,0.0,0,0.0,-5489,-18.2,0,0.0,0,0.0,-422,-18.1
"01087","1","926140","78","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 926140 Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,28006,0,0,2154,"",13.19,0.70,0.75,0.74,1.33,0.00,0.00,1.83,"",0,0.0,0,0.0,0,0.0,0,0.0,2110,8.1,0,0.0,0,0.0,162,8.1
"01087","1","928","75","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,56657,0,0,1090,"",18.73,0.23,0.23,0.23,0.22,0.00,0.00,0.95,"",0,0.0,0,0.0,0,0.0,0,0.0,2999,5.6,0,0.0,0,0.0,58,5.6
"01087","1","928","75","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,55371,0,0,1065,"",18.93,0.23,0.23,0.23,0.17,0.00,0.00,0.73,"",0,0.0,0,0.0,0,0.0,0,0.0,4099,8.0,0,0.0,0,0.0,79,8.0
"01087","1","9281","76","0","2019","1","","Macon County, Alabama","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,56657,0,0,1090,"",18.73,0.23,0.23,0.23,0.22,0.00,0.00,0.95,"",0,0.0,0,0.0,0,0.0,0,0.0,2999,5.6,0,0.0,0,0.0,58,5.6
"01087","1","9281","76","0","2019","2","","Macon County, Alabama","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,55371,0,0,1065,"",18.93,0.23,0.23,0.23,0.17,0.00,0.00,0.73,"",0,0.0,0,0.0,0,0.0,0,0.0,4099,8.0,0,0.0,0,0.0,79,8.0
