"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01093","0","10","70","0","2019","1","","Marion County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",627,9888,9897,9962,86702877,47373238,672552,673,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.3,74,0.8,-34,-0.3,-39,-0.4,-469411,-0.5,-912379,-1.9,-134042,-16.6,-3,-0.4
"01093","0","10","70","0","2019","2","","Marion County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",630,10078,10118,10126,91557667,13621225,188414,697,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.5,83,0.8,96,1.0,-27,-0.3,1775146,2.0,-1611082,-10.6,-52285,-21.7,10,1.5
"01093","1","10","71","0","2019","1","","Marion County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,74,77,74,874400,0,0,897,"",2.44,0.39,0.41,0.39,0.41,0.00,0.00,1.03,"",0,0.0,-3,-3.9,5,6.9,5,7.2,28325,3.3,0,0.0,0,0.0,1,0.1
"01093","1","10","71","0","2019","2","","Marion County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,82,75,81,955811,0,0,927,"",2.45,0.43,0.39,0.42,0.37,0.00,0.00,0.89,"",0,0.0,11,15.5,3,4.2,7,9.5,16840,1.8,0,0.0,0,0.0,-72,-7.2
"01093","1","102","72","0","2019","1","","Marion County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,74,77,74,874400,0,0,897,"",2.44,0.40,0.41,0.40,0.42,0.00,0.00,1.03,"",0,0.0,-3,-3.9,5,6.9,5,7.2,28325,3.3,0,0.0,0,0.0,1,0.1
"01093","1","102","72","0","2019","2","","Marion County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,82,75,81,955811,0,0,927,"",2.45,0.44,0.40,0.43,0.38,0.00,0.00,0.89,"",0,0.0,11,15.5,3,4.2,7,9.5,16840,1.8,0,0.0,0,0.0,-72,-7.2
"01093","1","1021","73","0","2019","1","","Marion County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,52,52,52,571853,0,0,846,"",3.22,1.14,1.14,1.13,1.50,0.00,0.00,1.32,"",0,0.0,-2,-3.7,1,2.0,4,8.3,7168,1.3,0,0.0,0,0.0,-6,-0.7
"01093","1","1021","73","0","2019","2","","Marion County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,53,52,52,649368,0,0,954,"",3.24,1.15,1.13,1.13,1.36,0.00,0.00,1.19,"",0,0.0,3,6.0,2,4.0,1,2.0,-14533,-2.2,0,0.0,0,0.0,-61,-6.0
"01093","1","1028","73","0","2019","1","","Marion County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,22,25,22,302547,0,0,1012,"",2.01,0.21,0.24,0.21,0.23,0.00,0.00,1.04,"",0,0.0,-1,-4.3,4,19.0,1,4.8,21157,7.5,0,0.0,0,0.0,13,1.3
"01093","1","1028","73","0","2019","2","","Marion County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,29,23,29,306443,0,0,873,"",2.02,0.28,0.22,0.28,0.20,0.00,0.00,0.76,"",0,0.0,8,38.1,1,4.5,6,26.1,31373,11.4,0,0.0,0,0.0,-89,-9.3
"01093","1","48-49","74","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,52,52,52,571853,0,0,846,"",3.31,1.24,1.24,1.24,1.61,0.00,0.00,1.30,"",0,0.0,-2,-3.7,1,2.0,4,8.3,7168,1.3,0,0.0,0,0.0,-6,-0.7
"01093","1","48-49","74","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,53,52,52,649368,0,0,954,"",3.33,1.26,1.23,1.24,1.46,0.00,0.00,1.17,"",0,0.0,3,6.0,2,4.0,1,2.0,-14533,-2.2,0,0.0,0,0.0,-61,-6.0
"01093","1","491","75","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,52,52,52,571853,0,0,846,"",3.34,1.27,1.27,1.26,1.69,0.00,0.00,1.33,"",0,0.0,-2,-3.7,1,2.0,4,8.3,7168,1.3,0,0.0,0,0.0,-6,-0.7
"01093","1","491","75","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,53,52,52,649368,0,0,954,"",3.35,1.28,1.26,1.26,1.52,0.00,0.00,1.20,"",0,0.0,3,6.0,2,4.0,1,2.0,-14533,-2.2,0,0.0,0,0.0,-61,-6.0
"01093","1","4911","76","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,52,52,52,571853,0,0,846,"",3.34,1.27,1.27,1.26,1.69,0.00,0.00,1.33,"",0,0.0,-2,-3.7,1,2.0,4,8.3,7168,1.3,0,0.0,0,0.0,-6,-0.7
"01093","1","4911","76","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,53,52,52,649368,0,0,954,"",3.35,1.28,1.26,1.26,1.52,0.00,0.00,1.20,"",0,0.0,3,6.0,2,4.0,1,2.0,-14533,-2.2,0,0.0,0,0.0,-61,-6.0
"01093","1","49111","77","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,52,52,52,571853,0,0,846,"",3.34,1.27,1.27,1.26,1.69,0.00,0.00,1.33,"",0,0.0,-2,-3.7,1,2.0,4,8.3,7168,1.3,0,0.0,0,0.0,-6,-0.7
"01093","1","49111","77","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,53,52,52,649368,0,0,954,"",3.35,1.28,1.26,1.26,1.52,0.00,0.00,1.20,"",0,0.0,3,6.0,2,4.0,1,2.0,-14533,-2.2,0,0.0,0,0.0,-61,-6.0
"01093","1","491110","78","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,52,52,52,571853,0,0,846,"",3.34,1.27,1.27,1.26,1.69,0.00,0.00,1.33,"",0,0.0,-2,-3.7,1,2.0,4,8.3,7168,1.3,0,0.0,0,0.0,-6,-0.7
"01093","1","491110","78","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,53,52,52,649368,0,0,954,"",3.35,1.28,1.26,1.26,1.52,0.00,0.00,1.20,"",0,0.0,3,6.0,2,4.0,1,2.0,-14533,-2.2,0,0.0,0,0.0,-61,-6.0
"01093","1","92","74","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,22,25,22,302547,0,0,1012,"",2.01,0.21,0.24,0.21,0.23,0.00,0.00,1.04,"",0,0.0,-1,-4.3,4,19.0,1,4.8,21157,7.5,0,0.0,0,0.0,13,1.3
"01093","1","92","74","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,29,23,29,306443,0,0,873,"",2.02,0.28,0.22,0.28,0.20,0.00,0.00,0.76,"",0,0.0,8,38.1,1,4.5,6,26.1,31373,11.4,0,0.0,0,0.0,-89,-9.3
"01093","1","924","75","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,9,4,66566,0,0,731,"",6.06,1.38,1.51,0.68,0.94,0.00,0.00,0.79,"",0,0.0,2,33.3,5,125.0,0,0.0,-9983,-13.0,0,0.0,0,0.0,-531,-42.1
"01093","1","924","75","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,9,4,9,68682,0,0,720,"",6.09,1.46,0.61,1.32,0.87,0.00,0.00,0.77,"",0,0.0,5,125.0,-1,-20.0,2,28.6,2522,3.8,0,0.0,0,0.0,-234,-24.5
"01093","1","9241","76","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,9,4,66566,0,0,731,"",6.06,1.38,1.51,0.68,0.94,0.00,0.00,0.79,"",0,0.0,2,33.3,5,125.0,0,0.0,-9983,-13.0,0,0.0,0,0.0,-531,-42.1
"01093","1","9241","76","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,9,4,9,68682,0,0,720,"",6.09,1.46,0.61,1.32,0.87,0.00,0.00,0.77,"",0,0.0,5,125.0,-1,-20.0,2,28.6,2522,3.8,0,0.0,0,0.0,-234,-24.5
"01093","1","92412","77","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,9,4,66566,0,0,731,"",6.38,1.70,1.84,0.83,1.27,0.00,0.00,0.87,"",0,0.0,2,33.3,5,125.0,0,0.0,-9983,-13.0,0,0.0,0,0.0,-531,-42.1
"01093","1","92412","77","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,9,4,9,68682,0,0,720,"",6.42,1.78,0.73,1.58,1.16,0.00,0.00,0.85,"",0,0.0,5,125.0,-1,-20.0,2,28.6,2522,3.8,0,0.0,0,0.0,-234,-24.5
"01093","1","924120","78","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,9,4,66566,0,0,731,"",6.38,1.70,1.84,0.83,1.27,0.00,0.00,0.87,"",0,0.0,2,33.3,5,125.0,0,0.0,-9983,-13.0,0,0.0,0,0.0,-531,-42.1
"01093","1","924120","78","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,9,4,9,68682,0,0,720,"",6.42,1.78,0.73,1.58,1.16,0.00,0.00,0.85,"",0,0.0,5,125.0,-1,-20.0,2,28.6,2522,3.8,0,0.0,0,0.0,-234,-24.5
"01093","1","928","75","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,16,18,235981,0,0,1135,"",7.14,0.36,0.41,0.46,0.50,0.00,0.00,1.22,"",0,0.0,-3,-17.6,-1,-5.9,1,5.9,31140,15.2,0,0.0,0,0.0,208,22.4
"01093","1","928","75","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 928 National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,20,19,20,237761,0,0,930,"",7.21,0.52,0.49,0.52,0.41,0.00,0.00,0.81,"",0,0.0,3,17.6,2,11.8,4,25.0,28851,13.8,0,0.0,0,0.0,-34,-3.5
"01093","1","9281","76","0","2019","1","","Marion County, Alabama","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,16,18,235981,0,0,1135,"",7.14,0.36,0.41,0.46,0.50,0.00,0.00,1.22,"",0,0.0,-3,-17.6,-1,-5.9,1,5.9,31140,15.2,0,0.0,0,0.0,208,22.4
"01093","1","9281","76","0","2019","2","","Marion County, Alabama","Federal Government","NAICS 9281 National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,20,19,20,237761,0,0,930,"",7.21,0.52,0.49,0.52,0.41,0.00,0.00,0.81,"",0,0.0,3,17.6,2,11.8,4,25.0,28851,13.8,0,0.0,0,0.0,-34,-3.5
