"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01097","0","10","70","0","2019","1","","Mobile County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10228,170358,170595,171179,2027998911,853018114,11616013,914,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",71,0.7,1967,1.2,1772,1.0,1396,0.8,46369136,2.3,8529877,1.0,-996674,-7.9,12,1.3
"01097","0","10","70","0","2019","2","","Mobile County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",10328,171391,171742,172040,2018105682,224771960,3231493,904,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",123,1.2,663,0.4,956,0.6,489,0.3,72811063,3.7,2180821,1.0,-259344,-7.4,29,3.3
"01097","1","10","71","0","2019","1","","Mobile County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",72,2578,2587,2616,50242806,0,0,1490,"",1.20,0.79,0.79,0.80,1.00,0.00,0.00,1.26,"",1,1.4,37,1.5,62,2.5,101,4.0,330088,0.7,0,0.0,0,0.0,-29,-1.9
"01097","1","10","71","0","2019","2","","Mobile County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",72,2621,2652,2649,52232193,0,0,1522,"",1.19,0.81,0.82,0.81,0.91,0.00,0.00,1.13,"",1,1.4,92,3.6,135,5.4,114,4.5,2723747,5.5,0,0.0,0,0.0,15,1.0
"01097","1","102","72","0","2019","1","","Mobile County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",72,2578,2587,2616,50242806,0,0,1490,"",1.20,0.81,0.81,0.82,1.02,0.00,0.00,1.26,"",1,1.4,37,1.5,62,2.5,101,4.0,330088,0.7,0,0.0,0,0.0,-29,-1.9
"01097","1","102","72","0","2019","2","","Mobile County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",72,2621,2652,2649,52232193,0,0,1522,"",1.20,0.82,0.83,0.83,0.93,0.00,0.00,1.13,"",1,1.4,92,3.6,135,5.4,114,4.5,2723747,5.5,0,0.0,0,0.0,15,1.0
"01097","1","1021","73","0","2019","1","","Mobile County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,782,781,781,10784466,0,0,1062,"",1.09,0.99,0.99,0.99,1.21,0.00,0.00,1.22,"",0,0.0,6,0.8,7,0.9,13,1.7,-171196,-1.6,0,0.0,0,0.0,-29,-2.7
"01097","1","1021","73","0","2019","2","","Mobile County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,766,790,784,12368044,0,0,1220,"",1.09,0.98,1.01,1.01,1.18,0.00,0.00,1.18,"",0,0.0,-2,-0.3,28,3.7,29,3.8,-204782,-1.6,0,0.0,0,0.0,-50,-3.9
"01097","1","1023","73","0","2019","1","","Mobile County, Alabama","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,24762,0,0,1905,"",1.26,0.07,0.07,0.07,0.08,0.00,0.00,1.15,"",0,0.0,0,0.0,0,0.0,0,0.0,1936,8.5,0,0.0,0,0.0,149,8.5
"01097","1","1023","73","0","2019","2","","Mobile County, Alabama","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22290,0,0,1715,"",1.27,0.07,0.07,0.07,0.07,0.00,0.00,0.95,"",0,0.0,0,0.0,0,0.0,0,0.0,984,4.6,0,0.0,0,0.0,76,4.6
"01097","1","1024","73","0","2019","1","","Mobile County, Alabama","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,573,577,581,13729092,0,0,1830,"",2.04,7.36,7.44,7.48,10.13,0.00,0.00,1.36,"",0,0.0,20,3.6,23,4.2,29,5.3,1676518,13.9,0,0.0,0,0.0,153,9.1
"01097","1","1024","73","0","2019","2","","Mobile County, Alabama","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,575,584,590,12586889,0,0,1661,"",2.04,7.48,7.52,7.54,8.81,0.00,0.00,1.17,"",0,0.0,19,3.4,28,5.0,28,5.0,894205,7.6,0,0.0,0,0.0,49,3.0
"01097","1","1025","73","0","2019","1","","Mobile County, Alabama","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,126,127,127,2765408,0,0,1679,"",0.73,0.26,0.26,0.26,0.37,0.00,0.00,1.45,"",0,0.0,-11,-8.0,-3,-2.3,-3,-2.3,209455,8.2,0,0.0,0,0.0,193,13.0
"01097","1","1025","73","0","2019","2","","Mobile County, Alabama","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,134,132,131,3159011,0,0,1836,"",0.73,0.27,0.27,0.27,0.36,0.00,0.00,1.31,"",0,0.0,5,3.9,5,3.9,3,2.3,172686,5.8,0,0.0,0,0.0,41,2.3
"01097","1","1026","73","0","2019","1","","Mobile County, Alabama","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,2624,0,0,202,"",0.65,0.02,0.02,0.02,0.01,0.00,0.00,0.28,"",0,0.0,0,0.0,0,0.0,0,0.0,-2044,-43.8,0,0.0,0,0.0,-157,-43.7
"01097","1","1026","73","0","2019","2","","Mobile County, Alabama","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,1,4,8,6399,0,0,114,"",0.66,0.02,0.07,0.13,0.01,0.00,0.00,0.16,"",0,0.0,0,0.0,2,100.0,-2,-20.0,-1979,-23.6,0,0.0,0,0.0,-35,-23.5
"01097","1","1028","73","0","2019","1","","Mobile County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",33,1095,1100,1125,22936454,0,0,1594,"",1.36,0.62,0.62,0.64,0.75,0.00,0.00,1.20,"",1,3.1,22,2.1,35,3.3,62,5.8,-1384581,-5.7,0,0.0,0,0.0,-159,-9.1
"01097","1","1028","73","0","2019","2","","Mobile County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",33,1144,1141,1135,24089560,0,0,1625,"",1.36,0.65,0.65,0.64,0.71,0.00,0.00,1.09,"",1,3.1,70,6.5,72,6.7,56,5.2,1862633,8.4,0,0.0,0,0.0,33,2.1
"01097","1","44-45","74","0","2019","1","","Mobile County, Alabama","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,36,35,34,86242,0,0,190,"",2.99,0.69,0.67,0.66,0.27,0.00,0.00,0.40,"",0,0.0,0,0.0,-4,-10.3,-1,-2.9,-84851,-49.6,0,0.0,0,0.0,-169,-47.1
