"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01109","0","10","70","0","2019","1","","Pike County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",720,14140,14283,14183,141886104,64458836,833962,769,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,2.3,25,0.2,24,0.2,-143,-1.0,1783658,1.3,662924,1.0,-21927,-2.6,12,1.6
"01109","0","10","70","0","2019","2","","Pike County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",729,14368,14163,14167,146613341,19484524,278103,792,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,2.0,32,0.2,-166,-1.2,-212,-1.5,4359762,3.1,242391,1.3,-18363,-6.2,29,3.8
"01109","1","10","71","0","2019","1","","Pike County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,86,88,83,1172885,0,0,1053,"",1.65,0.32,0.32,0.31,0.33,0.00,0.00,1.06,"",0,0.0,-11,-11.3,-5,-5.4,-8,-8.8,-33476,-2.8,0,0.0,0,0.0,62,6.3
"01109","1","10","71","0","2019","2","","Pike County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,90,86,92,1359650,0,0,1171,"",1.65,0.33,0.32,0.34,0.33,0.00,0.00,0.99,"",0,0.0,-6,-6.2,-5,-5.5,0,0.0,46729,3.6,0,0.0,0,0.0,85,7.8
"01109","1","102","72","0","2019","1","","Pike County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,86,88,83,1172885,0,0,1053,"",1.65,0.32,0.33,0.31,0.34,0.00,0.00,1.06,"",0,0.0,-11,-11.3,-5,-5.4,-8,-8.8,-33476,-2.8,0,0.0,0,0.0,62,6.3
"01109","1","102","72","0","2019","2","","Pike County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,90,86,92,1359650,0,0,1171,"",1.65,0.34,0.33,0.35,0.33,0.00,0.00,0.99,"",0,0.0,-6,-6.2,-5,-5.5,0,0.0,46729,3.6,0,0.0,0,0.0,85,7.8
"01109","1","1021","73","0","2019","1","","Pike County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,48,47,47,595622,0,0,968,"",1.87,0.73,0.71,0.72,0.95,0.00,0.00,1.32,"",0,0.0,-3,-5.9,-2,-4.1,-1,-2.1,55252,10.2,0,0.0,0,0.0,125,14.8
"01109","1","1021","73","0","2019","2","","Pike County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,48,49,49,702875,0,0,1111,"",1.86,0.73,0.76,0.76,0.92,0.00,0.00,1.22,"",0,0.0,1,2.1,0,0.0,1,2.1,54240,8.4,0,0.0,0,0.0,72,6.9
"01109","1","1028","73","0","2019","1","","Pike County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,38,41,36,577263,0,0,1158,"",1.75,0.26,0.28,0.25,0.27,0.00,0.00,1.04,"",0,0.0,-8,-17.4,-3,-6.8,-7,-16.3,-88728,-13.3,0,0.0,0,0.0,2,0.2
"01109","1","1028","73","0","2019","2","","Pike County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,42,37,43,656775,0,0,1242,"",1.75,0.28,0.25,0.30,0.26,0.00,0.00,0.95,"",0,0.0,-7,-14.3,-5,-11.9,-1,-2.3,-7511,-1.1,0,0.0,0,0.0,106,9.3
