"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01111","0","10","70","0","2019","1","","Randolph County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",402,4727,4701,4747,39350812,20845083,267649,641,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,3.1,-81,-1.7,-86,-1.8,-53,-1.1,-355827,-0.9,-275122,-1.3,22445,9.2,4,0.6
"01111","0","10","70","0","2019","2","","Randolph County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",405,4537,4626,4690,39955073,6488939,81228,666,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,1.2,-318,-6.5,-267,-5.5,-130,-2.7,-325043,-0.8,15654,0.2,6296,8.4,28,4.4
"01111","1","10","71","0","2019","1","","Randolph County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,59,59,55,609479,0,0,813,"",3.38,0.65,0.65,0.61,0.63,0.00,0.00,0.98,"",0,0.0,2,3.5,-1,-1.7,-2,-3.5,-21909,-3.5,0,0.0,0,0.0,-24,-2.9
"01111","1","10","71","0","2019","2","","Randolph County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,60,56,57,712130,0,0,950,"",3.39,0.70,0.64,0.64,0.63,0.00,0.00,0.96,"",0,0.0,4,7.1,-5,-8.2,0,0.0,-3423,-0.5,0,0.0,0,0.0,1,0.1
"01111","1","102","72","0","2019","1","","Randolph County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,59,59,55,609479,0,0,813,"",3.39,0.66,0.67,0.62,0.64,0.00,0.00,0.98,"",0,0.0,2,3.5,-1,-1.7,-2,-3.5,-21909,-3.5,0,0.0,0,0.0,-24,-2.9
"01111","1","102","72","0","2019","2","","Randolph County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,60,56,57,712130,0,0,950,"",3.39,0.71,0.65,0.65,0.64,0.00,0.00,0.96,"",0,0.0,4,7.1,-5,-8.2,0,0.0,-3423,-0.5,0,0.0,0,0.0,1,0.1
"01111","1","1021","73","0","2019","1","","Randolph County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,48,48,48,533577,0,0,855,"",4.19,2.20,2.21,2.20,3.08,0.00,0.00,1.40,"",0,0.0,-2,-4.0,-2,-4.0,-2,-4.0,-10340,-1.9,0,0.0,0,0.0,18,2.2
"01111","1","1021","73","0","2019","2","","Randolph County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,48,50,48,634983,0,0,1004,"",4.20,2.32,2.38,2.26,3.05,0.00,0.00,1.32,"",0,0.0,-1,-2.0,1,2.0,-2,-4.0,-4736,-0.7,0,0.0,0,0.0,7,0.7
"01111","1","1028","73","0","2019","1","","Randolph County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,11,7,75902,0,0,604,"",3.14,0.22,0.23,0.14,0.13,0.00,0.00,0.65,"",0,0.0,4,57.1,1,10.0,0,0.0,-11569,-13.2,0,0.0,0,0.0,-237,-28.2
"01111","1","1028","73","0","2019","2","","Randolph County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,6,9,77147,0,0,659,"",3.15,0.26,0.13,0.19,0.11,0.00,0.00,0.60,"",0,0.0,5,71.4,-6,-50.0,2,28.6,1313,1.7,0,0.0,0,0.0,-14,-2.1
