"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01113","0","10","70","0","2019","1","","Russell County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",920,13951,14103,14314,137836591,70564911,792612,751,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.3,82,0.6,73,0.5,155,1.1,4615224,3.5,5649058,8.7,-3008,-0.4,20,2.7
"01113","0","10","70","0","2019","2","","Russell County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",933,14043,14167,14117,131879945,19363834,205721,719,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,1.9,-52,-0.4,29,0.2,-23,-0.2,1978494,1.5,-255493,-1.3,-18183,-8.1,12,1.7
"01113","1","10","71","0","2019","1","","Russell County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,106,109,106,1231210,0,0,885,"",2.21,0.40,0.40,0.39,0.36,0.00,0.00,0.91,"",-1,-7.7,10,10.4,7,6.9,10,10.4,3795,0.3,0,0.0,0,0.0,-78,-8.1
"01113","1","10","71","0","2019","2","","Russell County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,106,102,101,1467254,0,0,1096,"",2.20,0.40,0.38,0.38,0.39,0.00,0.00,1.02,"",-1,-7.7,8,8.2,4,4.1,-1,-1.0,50005,3.5,0,0.0,0,0.0,-2,-0.2
"01113","1","102","72","0","2019","1","","Russell County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,106,109,106,1231210,0,0,885,"",2.22,0.40,0.41,0.40,0.37,0.00,0.00,0.91,"",-1,-7.7,10,10.4,7,6.9,10,10.4,3795,0.3,0,0.0,0,0.0,-78,-8.1
"01113","1","102","72","0","2019","2","","Russell County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,106,102,101,1467254,0,0,1096,"",2.21,0.41,0.39,0.38,0.40,0.00,0.00,1.02,"",-1,-7.7,8,8.2,4,4.1,-1,-1.0,50005,3.5,0,0.0,0,0.0,-2,-0.2
"01113","1","1021","73","0","2019","1","","Russell County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,85,87,88,1030538,0,0,915,"",2.56,1.32,1.34,1.34,1.70,0.00,0.00,1.28,"",0,0.0,5,6.2,6,7.4,7,8.6,9834,1.0,0,0.0,0,0.0,-58,-6.0
"01113","1","1021","73","0","2019","2","","Russell County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,83,84,83,1222692,0,0,1129,"",2.55,1.30,1.30,1.30,1.78,0.00,0.00,1.37,"",0,0.0,0,0.0,3,3.7,-4,-4.6,26985,2.3,0,0.0,0,0.0,30,2.7
"01113","1","1027","73","0","2019","1","","Russell County, Alabama","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,10,11,11,106944,0,0,771,"",66.90,22.72,24.71,24.49,29.23,0.00,0.00,1.22,"",0,0.0,1,11.1,1,10.0,2,22.2,13426,14.4,0,0.0,0,0.0,0,0.0
"01113","1","1027","73","0","2019","2","","Russell County, Alabama","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,11,137308,0,0,960,"",69.11,25.00,24.71,25.14,32.61,0.00,0.00,1.31,"",0,0.0,2,22.2,0,0.0,1,10.0,18520,15.6,0,0.0,0,0.0,46,5.0
"01113","1","1028","73","0","2019","1","","Russell County, Alabama","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,11,11,7,93728,0,0,746,"",1.83,0.08,0.08,0.05,0.05,0.00,0.00,0.68,"",-1,-20.0,4,57.1,0,0.0,1,16.7,-19465,-17.2,0,0.0,0,0.0,-342,-31.4
