"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01127","0","10","70","0","2019","1","","Walker County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1394,18279,18514,18743,184796964,92161446,1066310,768,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.4,397,2.2,488,2.7,567,3.1,8096082,4.6,3501952,3.9,-66752,-5.9,14,1.9
"01127","0","10","70","0","2019","2","","Walker County, Alabama","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1402,18612,18610,18591,180935544,25802847,275839,748,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,1.4,412,2.3,266,1.5,59,0.3,9808052,5.7,-1090900,-4.1,-61335,-18.2,31,4.3
"01127","1","10","71","0","2019","1","","Walker County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,187,195,192,2494833,0,0,1003,"",2.56,0.53,0.55,0.54,0.55,0.00,0.00,1.01,"",1,5.0,2,1.1,16,8.9,4,2.1,-26610,-1.1,0,0.0,0,0.0,-51,-4.8
"01127","1","10","71","0","2019","2","","Walker County, Alabama","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,197,195,200,2781205,0,0,1084,"",2.57,0.56,0.55,0.57,0.54,0.00,0.00,0.97,"",1,5.0,7,3.7,11,6.0,18,9.9,39186,1.4,0,0.0,0,0.0,-54,-4.7
"01127","1","102","72","0","2019","1","","Walker County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,187,195,192,2494833,0,0,1003,"",2.56,0.54,0.56,0.55,0.56,0.00,0.00,1.01,"",1,5.0,2,1.1,16,8.9,4,2.1,-26610,-1.1,0,0.0,0,0.0,-51,-4.8
"01127","1","102","72","0","2019","2","","Walker County, Alabama","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,197,195,200,2781205,0,0,1084,"",2.57,0.57,0.56,0.58,0.55,0.00,0.00,0.97,"",1,5.0,7,3.7,11,6.0,18,9.9,39186,1.4,0,0.0,0,0.0,-54,-4.7
"01127","1","1021","73","0","2019","1","","Walker County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,134,141,141,1577521,0,0,875,"",3.63,1.58,1.65,1.63,1.94,0.00,0.00,1.19,"",0,0.0,2,1.5,15,11.9,6,4.4,58715,3.9,0,0.0,0,0.0,-17,-1.9
"01127","1","1021","73","0","2019","2","","Walker County, Alabama","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,142,145,146,1830947,0,0,976,"",3.64,1.67,1.71,1.73,1.94,0.00,0.00,1.14,"",0,0.0,5,3.6,13,9.8,15,11.5,48945,2.7,0,0.0,0,0.0,-52,-5.1
"01127","1","1025","73","0","2019","1","","Walker County, Alabama","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,24,24,23,424596,0,0,1380,"",5.35,0.46,0.45,0.43,0.63,0.00,0.00,1.42,"",0,0.0,1,4.3,1,4.3,0,0.0,4310,1.0,0,0.0,0,0.0,-26,-1.8
"01127","1","1025","73","0","2019","2","","Walker County, Alabama","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,23,22,23,456364,0,0,1549,"",5.37,0.43,0.42,0.44,0.58,0.00,0.00,1.34,"",0,0.0,0,0.0,-1,-4.3,1,4.5,-825,-0.2,0,0.0,0,0.0,-3,-0.2
