"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02050","0","10","70","0","2019","1","","Bethel Census Area, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",340,6708,6794,6729,77341220,49442277,761192,882,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.2,-83,-1.2,-50,-0.7,-89,-1.3,3662416,5.0,1793318,3.8,18269,2.5,51,6.1
"02050","0","10","70","0","2019","2","","Bethel Census Area, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",341,6741,6875,7593,78278193,36592192,564099,852,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.2,6,0.1,-31,-0.4,132,1.8,3622302,4.9,-815406,-2.2,-25687,-4.4,36,4.4
"02050","1","10","71","0","2019","1","","Bethel Census Area, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,71,74,76,964337,0,0,1007,"",12.48,0.55,0.57,0.59,0.51,0.00,0.00,0.89,"",1,4.2,0,0.0,1,1.4,-1,-1.3,-4668,-0.5,0,0.0,0,0.0,-5,-0.5
"02050","1","10","71","0","2019","2","","Bethel Census Area, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,84,88,92,1230604,0,0,1076,"",12.56,0.66,0.68,0.64,0.56,0.00,0.00,0.85,"",1,4.2,12,16.7,14,18.9,15,19.5,302082,32.5,0,0.0,0,0.0,115,12.0
"02050","1","102","72","0","2019","1","","Bethel Census Area, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,71,74,76,964337,0,0,1007,"",12.51,0.56,0.58,0.60,0.51,0.00,0.00,0.88,"",1,4.2,0,0.0,1,1.4,-1,-1.3,-4668,-0.5,0,0.0,0,0.0,-5,-0.5
"02050","1","102","72","0","2019","2","","Bethel Census Area, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,84,88,92,1230604,0,0,1076,"",12.59,0.67,0.69,0.65,0.57,0.00,0.00,0.85,"",1,4.2,12,16.7,14,18.9,15,19.5,302082,32.5,0,0.0,0,0.0,115,12.0
"02050","1","1021","73","0","2019","1","","Bethel Census Area, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,46,49,50,438862,0,0,698,"",20.81,1.48,1.56,1.61,1.29,0.00,0.00,0.83,"",0,0.0,-1,-2.1,2,4.3,0,0.0,24550,5.9,0,0.0,0,0.0,34,5.1
"02050","1","1021","73","0","2019","2","","Bethel Census Area, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",21,50,50,49,529936,0,0,821,"",20.93,1.63,1.60,1.42,1.30,0.00,0.00,0.84,"",0,0.0,3,6.4,3,6.4,2,4.3,56699,12.0,0,0.0,0,0.0,46,5.9
"02050","1","1024","73","0","2019","1","","Bethel Census Area, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,17467,0,0,1344,"",20.47,0.33,0.32,0.33,0.34,0.00,0.00,1.04,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-21933,-55.7,0,0.0,0,0.0,-171,-11.3
"02050","1","1024","73","0","2019","2","","Bethel Census Area, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,17986,0,0,1384,"",20.55,0.33,0.32,0.29,0.32,0.00,0.00,1.04,"",0,0.0,0,0.0,0,0.0,0,0.0,-1028,-5.4,0,0.0,0,0.0,-79,-5.4
