"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02068","0","10","70","0","2019","1","","Denali Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",142,803,852,892,14266467,9197886,146877,1293,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,2.2,-113,-12.3,-72,-7.8,-92,-9.3,-1653153,-10.4,-1870082,-16.9,-27330,-15.7,-8,-0.6
"02068","0","10","70","0","2019","2","","Denali Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",147,1098,2935,3690,25094742,16005369,272331,750,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.7,-117,-9.6,124,4.4,93,2.6,-1677899,-6.3,-985794,-5.8,-43369,-13.7,-60,-7.4
"02068","1","10","71","0","2019","1","","Denali Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,148,150,166,2876819,0,0,1431,"",9.56,9.63,9.19,9.76,8.17,0.00,0.00,0.86,"",0,0.0,-1,-0.7,-8,-5.1,0,0.0,-67636,-2.3,0,0.0,0,0.0,-6,-0.4
"02068","1","10","71","0","2019","2","","Denali Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,173,241,247,3624102,0,0,1265,"",9.33,8.30,4.33,3.53,5.11,0.00,0.00,1.13,"",0,0.0,1,0.6,9,3.9,-8,-3.1,14818,0.4,0,0.0,0,0.0,1,0.1
"02068","1","102","72","0","2019","1","","Denali Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,148,150,166,2876819,0,0,1431,"",9.58,9.81,9.36,9.95,8.32,0.00,0.00,0.86,"",0,0.0,-1,-0.7,-8,-5.1,0,0.0,-67636,-2.3,0,0.0,0,0.0,-6,-0.4
"02068","1","102","72","0","2019","2","","Denali Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,173,241,247,3624102,0,0,1265,"",9.35,8.46,4.42,3.60,5.21,0.00,0.00,1.13,"",0,0.0,1,0.6,9,3.9,-8,-3.1,14818,0.4,0,0.0,0,0.0,1,0.1
"02068","1","1021","73","0","2019","1","","Denali Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,4,5,5,58564,0,0,965,"",4.75,1.08,1.27,1.22,0.93,0.00,0.00,0.78,"",0,0.0,-1,-20.0,0,0.0,0,0.0,7245,14.1,0,0.0,0,0.0,175,22.2
"02068","1","1021","73","0","2019","2","","Denali Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,4,5,5,66998,0,0,1104,"",4.62,0.80,0.37,0.30,0.51,0.00,0.00,1.28,"",0,0.0,-1,-20.0,0,0.0,1,25.0,2643,4.1,0,0.0,0,0.0,43,4.1
"02068","1","1026","73","0","2019","1","","Denali Borough, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,110,111,124,1993308,0,0,1333,"",141.05,446.67,421.16,448.22,571.60,0.00,0.00,1.30,"",0,0.0,-1,-0.9,-9,-7.5,-4,-3.1,-137187,-6.4,0,0.0,0,0.0,-37,-2.7
"02068","1","1026","73","0","2019","2","","Denali Borough, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,133,200,209,2544439,0,0,1083,"",138.10,387.66,201.27,161.26,378.68,0.00,0.00,1.80,"",0,0.0,0,0.0,6,3.1,-9,-4.1,-54028,-2.1,0,0.0,0,0.0,-17,-1.5
