"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02100","0","10","70","0","2019","1","","Haines Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",152,659,682,733,9408362,4070476,63655,1047,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,2.0,3,0.5,-18,-2.6,18,2.5,1512827,19.2,333149,8.9,5061,8.6,167,19.0
"02100","0","10","70","0","2019","2","","Haines Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",158,892,1161,1327,10381488,7370199,120263,709,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.6,25,2.9,75,6.9,61,4.8,998709,10.6,541574,7.9,8233,7.3,36,5.3
"02100","1","10","71","0","2019","1","","Haines Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,11,11,11,323245,0,0,2260,"",2.23,0.87,0.84,0.79,1.39,0.00,0.00,1.67,"",0,0.0,2,22.2,2,22.2,3,37.5,92021,39.8,0,0.0,0,0.0,208,10.1
"02100","1","10","71","0","2019","2","","Haines Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,11,11,10,285341,0,0,2058,"",2.17,0.65,0.50,0.40,0.97,0.00,0.00,1.95,"",0,0.0,2,22.2,3,37.5,0,0.0,-4570,-1.6,0,0.0,0,0.0,-420,-16.9
"02100","1","102","72","0","2019","1","","Haines Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,11,11,11,323245,0,0,2260,"",2.24,0.89,0.86,0.80,1.42,0.00,0.00,1.67,"",0,0.0,2,22.2,2,22.2,3,37.5,92021,39.8,0,0.0,0,0.0,208,10.1
"02100","1","102","72","0","2019","2","","Haines Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,11,11,10,285341,0,0,2058,"",2.17,0.66,0.51,0.41,0.99,0.00,0.00,1.95,"",0,0.0,2,22.2,3,37.5,0,0.0,-4570,-1.6,0,0.0,0,0.0,-420,-16.9
"02100","1","1021","73","0","2019","1","","Haines Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,66700,0,0,1283,"",2.22,1.31,1.27,1.19,1.61,0.00,0.00,1.28,"",0,0.0,0,0.0,0,0.0,1,33.3,3693,5.9,0,0.0,0,0.0,-39,-3.0
"02100","1","1021","73","0","2019","2","","Haines Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,78759,0,0,1515,"",2.15,0.98,0.76,0.67,1.46,0.00,0.00,1.86,"",0,0.0,0,0.0,1,33.3,1,33.3,9729,14.1,0,0.0,0,0.0,-78,-4.9
"02100","1","1028","73","0","2019","1","","Haines Borough, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,256545,0,0,2819,"",2.77,1.03,0.99,0.93,1.81,0.00,0.00,1.85,"",0,0.0,2,40.0,2,40.0,2,40.0,88328,52.5,0,0.0,0,0.0,231,8.9
"02100","1","1028","73","0","2019","2","","Haines Borough, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,6,206582,0,0,2384,"",2.69,0.76,0.59,0.44,1.18,0.00,0.00,2.04,"",0,0.0,2,40.0,2,40.0,-1,-14.3,-14299,-6.5,0,0.0,0,0.0,-614,-20.5
"02100","1","48-49","74","0","2019","1","","Haines Borough, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,4,4,66700,0,0,1283,"",2.28,1.43,1.39,1.29,1.73,0.00,0.00,1.26,"",0,0.0,0,0.0,0,0.0,1,33.3,3693,5.9,0,0.0,0,0.0,-39,-3.0
"02100","1","48-49","74","0","2019","2","","Haines Borough, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,4,4,78759,0,0,1515,"",2.21,1.07,0.83,0.73,1.56,0.00,0.00,1.83,"",0,0.0,0,0.0,1,33.3,1,33.3,9729,14.1,0,0.0,0,0.0,-78,-4.9
"02100","1","491","75","0","2019","1","","Haines Borough, Alaska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,66700,0,0,1283,"",2.29,1.46,1.42,1.32,1.81,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,1,33.3,3693,5.9,0,0.0,0,0.0,-39,-3.0
"02100","1","491","75","0","2019","2","","Haines Borough, Alaska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,78759,0,0,1515,"",2.22,1.09,0.84,0.74,1.62,0.00,0.00,1.87,"",0,0.0,0,0.0,1,33.3,1,33.3,9729,14.1,0,0.0,0,0.0,-78,-4.9
"02100","1","4911","76","0","2019","1","","Haines Borough, Alaska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,66700,0,0,1283,"",2.29,1.46,1.42,1.32,1.81,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,1,33.3,3693,5.9,0,0.0,0,0.0,-39,-3.0
"02100","1","4911","76","0","2019","2","","Haines Borough, Alaska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,78759,0,0,1515,"",2.22,1.09,0.84,0.74,1.62,0.00,0.00,1.87,"",0,0.0,0,0.0,1,33.3,1,33.3,9729,14.1,0,0.0,0,0.0,-78,-4.9
"02100","1","49111","77","0","2019","1","","Haines Borough, Alaska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,66700,0,0,1283,"",2.29,1.46,1.42,1.32,1.81,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,1,33.3,3693,5.9,0,0.0,0,0.0,-39,-3.0
"02100","1","49111","77","0","2019","2","","Haines Borough, Alaska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,78759,0,0,1515,"",2.22,1.09,0.84,0.74,1.62,0.00,0.00,1.87,"",0,0.0,0,0.0,1,33.3,1,33.3,9729,14.1,0,0.0,0,0.0,-78,-4.9
"02100","1","491110","78","0","2019","1","","Haines Borough, Alaska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,66700,0,0,1283,"",2.29,1.46,1.42,1.32,1.81,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,1,33.3,3693,5.9,0,0.0,0,0.0,-39,-3.0
"02100","1","491110","78","0","2019","2","","Haines Borough, Alaska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,78759,0,0,1515,"",2.22,1.09,0.84,0.74,1.62,0.00,0.00,1.87,"",0,0.0,0,0.0,1,33.3,1,33.3,9729,14.1,0,0.0,0,0.0,-78,-4.9
"02100","1","92","74","0","2019","1","","Haines Borough, Alaska","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,7,7,256545,0,0,2819,"",2.77,1.03,0.99,0.93,1.81,0.00,0.00,1.85,"",0,0.0,2,40.0,2,40.0,2,40.0,88328,52.5,0,0.0,0,0.0,231,8.9
"02100","1","92","74","0","2019","2","","Haines Borough, Alaska","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,7,6,206582,0,0,2384,"",2.69,0.76,0.59,0.44,1.18,0.00,0.00,2.04,"",0,0.0,2,40.0,2,40.0,-1,-14.3,-14299,-6.5,0,0.0,0,0.0,-614,-20.5
"02100","1","922","75","0","2019","1","","Haines Borough, Alaska","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,7,256545,0,0,2819,"",19.81,6.04,5.84,5.49,9.77,0.00,0.00,1.69,"",0,0.0,2,40.0,2,40.0,2,40.0,88328,52.5,0,0.0,0,0.0,231,8.9
"02100","1","922","75","0","2019","2","","Haines Borough, Alaska","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,6,206582,0,0,2384,"",19.27,4.47,3.47,2.60,6.41,0.00,0.00,1.89,"",0,0.0,2,40.0,2,40.0,-1,-14.3,-14299,-6.5,0,0.0,0,0.0,-614,-20.5
"02100","1","9221","76","0","2019","1","","Haines Borough, Alaska","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,7,7,256545,0,0,2819,"",19.81,6.04,5.84,5.49,9.77,0.00,0.00,1.69,"",0,0.0,2,40.0,2,40.0,2,40.0,88328,52.5,0,0.0,0,0.0,231,8.9
"02100","1","9221","76","0","2019","2","","Haines Borough, Alaska","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,7,6,206582,0,0,2384,"",19.27,4.47,3.47,2.60,6.41,0.00,0.00,1.89,"",0,0.0,2,40.0,2,40.0,-1,-14.3,-14299,-6.5,0,0.0,0,0.0,-614,-20.5
"02100","1","92212","77","0","2019","1","","Haines Borough, Alaska","Federal Government","NAICS 92212 Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,7,7,256545,0,0,2819,"",38.40,10.96,10.56,9.95,16.50,0.00,0.00,1.58,"",0,0.0,2,40.0,2,40.0,2,40.0,88328,52.5,0,0.0,0,0.0,231,8.9
"02100","1","92212","77","0","2019","2","","Haines Borough, Alaska","Federal Government","NAICS 92212 Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,7,6,206582,0,0,2384,"",37.31,8.12,6.29,4.70,11.03,0.00,0.00,1.79,"",0,0.0,2,40.0,2,40.0,-1,-14.3,-14299,-6.5,0,0.0,0,0.0,-614,-20.5
"02100","1","922120","78","0","2019","1","","Haines Borough, Alaska","Federal Government","NAICS 922120 Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,7,7,256545,0,0,2819,"",38.40,10.96,10.56,9.95,16.50,0.00,0.00,1.58,"",0,0.0,2,40.0,2,40.0,2,40.0,88328,52.5,0,0.0,0,0.0,231,8.9
