"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02150","0","10","70","0","2019","1","","Kodiak Island Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",491,5023,5892,5921,65119854,41247207,656019,893,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.4,-228,-4.3,-110,-1.8,-216,-3.5,-481188,-0.7,189986,0.5,-3657,-0.6,22,2.5
"02150","0","10","70","0","2019","2","","Kodiak Island Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",499,5581,5744,5981,66075730,37253896,591565,881,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.6,-213,-3.7,-223,-3.7,-122,-2.0,1743896,2.7,1877858,5.3,22880,4.0,50,6.0
"02150","1","10","71","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,256,265,262,3745499,0,0,1104,"",5.19,2.66,2.35,2.32,2.33,0.00,0.00,0.96,"",0,0.0,-35,-12.0,-28,-9.6,-32,-10.9,-765535,-17.0,0,0.0,0,0.0,-82,-6.9
"02150","1","10","71","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,256,270,292,4000831,0,0,1129,"",4.81,2.42,2.48,2.57,2.14,0.00,0.00,0.86,"",-1,-6.7,-26,-9.2,-13,-4.6,-18,-5.8,-110637,-2.7,0,0.0,0,0.0,45,4.2
"02150","1","102","72","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,256,265,262,3745499,0,0,1104,"",5.20,2.71,2.39,2.36,2.37,0.00,0.00,0.96,"",0,0.0,-35,-12.0,-28,-9.6,-32,-10.9,-765535,-17.0,0,0.0,0,0.0,-82,-6.9
"02150","1","102","72","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,256,270,292,4000831,0,0,1129,"",4.82,2.46,2.53,2.62,2.18,0.00,0.00,0.86,"",-1,-6.7,-26,-9.2,-13,-4.6,-18,-5.8,-110637,-2.7,0,0.0,0,0.0,45,4.2
"02150","1","1021","73","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,55,59,61,597139,0,0,787,"",5.49,2.37,2.17,2.24,2.08,0.00,0.00,0.92,"",0,0.0,-12,-17.9,-5,-7.8,-3,-4.7,-38545,-6.1,0,0.0,0,0.0,35,4.7
"02150","1","1021","73","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,56,60,60,703558,0,0,922,"",5.45,2.20,2.30,2.22,2.04,0.00,0.00,0.91,"",0,0.0,-5,-8.2,0,0.0,5,9.1,57308,8.9,0,0.0,0,0.0,75,8.9
"02150","1","1024","73","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,22,22,23,465883,0,0,1605,"",28.35,9.59,8.22,8.56,10.71,0.00,0.00,1.22,"",0,0.0,-6,-21.4,-6,-21.4,-4,-14.8,-234715,-33.5,0,0.0,0,0.0,-343,-17.6
"02150","1","1024","73","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,22,22,533800,0,0,1866,"",14.04,8.79,8.47,8.08,11.42,0.00,0.00,1.35,"",-1,-50.0,-5,-18.5,-4,-15.4,-3,-12.0,-43729,-7.6,0,0.0,0,0.0,157,9.2
"02150","1","1026","73","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,63,63,56,260098,0,0,330,"",13.60,40.90,34.57,30.49,16.34,0.00,0.00,0.47,"",0,0.0,0,0.0,-6,-8.7,-14,-20.0,-36974,-12.4,0,0.0,0,0.0,-9,-2.7
"02150","1","1026","73","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,56,61,87,254056,0,0,287,"",13.56,32.11,31.37,41.42,14.36,0.00,0.00,0.41,"",0,0.0,-9,-13.8,-6,-9.0,-11,-11.2,-88334,-25.8,0,0.0,0,0.0,-57,-16.6
"02150","1","1028","73","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,116,121,122,2422379,0,0,1557,"",3.43,2.23,1.98,2.00,2.47,0.00,0.00,1.20,"",0,0.0,-17,-12.8,-11,-8.3,-11,-8.3,-455301,-15.8,0,0.0,0,0.0,-112,-6.7
"02150","1","1028","73","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,122,127,123,2509417,0,0,1557,"",3.41,2.12,2.16,2.00,2.25,0.00,0.00,1.07,"",0,0.0,-7,-5.4,-3,-2.3,-9,-6.8,-35882,-1.4,0,0.0,0,0.0,55,3.7
"02150","1","44-45","74","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,35,34,35,294767,0,0,654,"",62.30,22.68,18.93,19.64,28.88,0.00,0.00,1.42,"",0,0.0,-8,-18.6,-6,-15.0,-3,-7.9,-22555,-7.1,0,0.0,0,0.0,49,8.1
"02150","1","44-45","74","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,33,35,35,342456,0,0,767,"",61.79,19.82,20.58,19.83,29.56,0.00,0.00,1.47,"",0,0.0,-5,-13.2,-3,-7.9,3,9.4,55372,19.3,0,0.0,0,0.0,154,25.1
"02150","1","445","75","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,13,14,161312,0,0,908,"",104.98,36.11,28.82,31.09,51.39,0.00,0.00,1.62,"",0,0.0,-2,-12.5,-2,-13.3,0,0.0,-25531,-13.7,0,0.0,0,0.0,-50,-5.2
"02150","1","445","75","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","NAICS 445 Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,15,15,211334,0,0,1108,"",103.76,33.79,35.50,34.53,51.98,0.00,0.00,1.50,"",0,0.0,0,0.0,1,7.1,5,50.0,46314,28.1,0,0.0,0,0.0,106,10.6
"02150","1","4451","76","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","NAICS 4451 Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,13,14,161312,0,0,908,"",105.52,36.13,28.84,31.12,51.41,0.00,0.00,1.62,"",0,0.0,-2,-12.5,-2,-13.3,0,0.0,-25531,-13.7,0,0.0,0,0.0,-50,-5.2
"02150","1","4451","76","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","NAICS 4451 Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,15,15,211334,0,0,1108,"",104.29,33.81,35.53,34.55,52.00,0.00,0.00,1.50,"",0,0.0,0,0.0,1,7.1,5,50.0,46314,28.1,0,0.0,0,0.0,106,10.6
"02150","1","44511","77","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","NAICS 44511 Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,14,13,14,161312,0,0,908,"",121.66,38.56,30.78,33.22,54.11,0.00,0.00,1.59,"",0,0.0,-2,-12.5,-2,-13.3,0,0.0,-25531,-13.7,0,0.0,0,0.0,-50,-5.2
"02150","1","44511","77","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","NAICS 44511 Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,14,15,15,211334,0,0,1108,"",120.15,36.13,37.96,36.93,53.98,0.00,0.00,1.46,"",0,0.0,0,0.0,1,7.1,5,50.0,46314,28.1,0,0.0,0,0.0,106,10.6
"02150","1","445110","78","0","2019","1","","Kodiak Island Borough, Alaska","Federal Government","NAICS 445110 Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,14,13,14,161312,0,0,908,"",121.66,38.56,30.78,33.22,54.11,0.00,0.00,1.59,"",0,0.0,-2,-12.5,-2,-13.3,0,0.0,-25531,-13.7,0,0.0,0,0.0,-50,-5.2
"02150","1","445110","78","0","2019","2","","Kodiak Island Borough, Alaska","Federal Government","NAICS 445110 Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,14,15,15,211334,0,0,1108,"",120.15,36.13,37.96,36.93,53.98,0.00,0.00,1.46,"",0,0.0,0,0.0,1,7.1,5,50.0,46314,28.1,0,0.0,0,0.0,106,10.6
