"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02164","0","10","70","0","2019","1","","Lake and Peninsula Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",121,746,759,790,6280512,3869898,61866,632,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.8,-8,-1.1,-29,-3.7,-21,-2.6,-260014,-4.0,-313655,-7.5,-8923,-12.6,-9,-1.4
"02164","0","10","70","0","2019","2","","Lake and Peninsula Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",122,800,967,1152,9406998,5835591,96426,744,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.8,-61,-7.1,-51,-5.0,-127,-9.9,-639200,-6.4,-688222,-10.5,-16058,-14.3,10,1.4
"02164","1","10","71","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,25,26,30,310136,0,0,884,"",14.03,1.75,1.79,1.99,2.00,0.00,0.00,1.08,"",0,0.0,2,8.7,2,8.3,0,0.0,11256,3.8,0,0.0,0,0.0,-12,-1.3
"02164","1","10","71","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,36,59,56,502032,0,0,767,"",14.05,2.37,3.22,2.56,1.89,0.00,0.00,0.69,"",0,0.0,4,12.5,12,25.5,-12,-17.6,-78232,-13.5,0,0.0,0,0.0,-144,-15.8
"02164","1","102","72","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,25,26,30,310136,0,0,884,"",14.06,1.78,1.82,2.03,2.04,0.00,0.00,1.08,"",0,0.0,2,8.7,2,8.3,0,0.0,11256,3.8,0,0.0,0,0.0,-12,-1.3
"02164","1","102","72","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,36,59,56,502032,0,0,767,"",14.08,2.42,3.28,2.61,1.92,0.00,0.00,0.69,"",0,0.0,4,12.5,12,25.5,-12,-17.6,-78232,-13.5,0,0.0,0,0.0,-144,-15.8
"02164","1","1021","73","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,12,13,16,124518,0,0,701,"",25.06,3.48,3.71,4.40,4.50,0.00,0.00,1.16,"",0,0.0,-2,-14.3,-1,-7.1,-2,-11.1,12797,11.5,0,0.0,0,0.0,141,25.2
"02164","1","1021","73","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,18,16,13,145784,0,0,716,"",25.07,4.93,3.64,2.49,2.97,0.00,0.00,0.84,"",0,0.0,4,28.6,-1,-5.9,-1,-7.1,12841,9.7,0,0.0,0,0.0,34,5.0
"02164","1","1026","73","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,13,13,14,185618,0,0,1071,"",55.18,56.82,55.37,57.14,120.91,0.00,0.00,2.14,"",0,0.0,4,44.4,3,30.0,2,16.7,-1541,-0.8,0,0.0,0,0.0,-322,-23.1
"02164","1","1026","73","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,18,43,43,356248,0,0,790,"",55.47,72.01,131.34,106.27,141.44,0.00,0.00,1.33,"",0,0.0,0,0.0,13,43.3,-11,-20.4,-91073,-20.4,0,0.0,0,0.0,-222,-21.9
"02164","1","48-49","74","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,12,13,16,124518,0,0,701,"",25.76,3.79,4.05,4.80,4.83,0.00,0.00,1.14,"",0,0.0,-2,-14.3,-1,-7.1,-2,-11.1,12797,11.5,0,0.0,0,0.0,141,25.2
"02164","1","48-49","74","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,18,16,13,145784,0,0,716,"",25.77,5.37,3.96,2.71,3.19,0.00,0.00,0.83,"",0,0.0,4,28.6,-1,-5.9,-1,-7.1,12841,9.7,0,0.0,0,0.0,34,5.0
"02164","1","491","75","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,12,13,16,124518,0,0,701,"",25.93,3.88,4.14,4.90,5.07,0.00,0.00,1.17,"",0,0.0,-2,-14.3,-1,-7.1,-2,-11.1,12797,11.5,0,0.0,0,0.0,141,25.2
"02164","1","491","75","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,18,16,13,145784,0,0,716,"",25.93,5.49,4.05,2.77,3.31,0.00,0.00,0.84,"",0,0.0,4,28.6,-1,-5.9,-1,-7.1,12841,9.7,0,0.0,0,0.0,34,5.0
"02164","1","4911","76","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,12,13,16,124518,0,0,701,"",25.93,3.88,4.14,4.90,5.07,0.00,0.00,1.17,"",0,0.0,-2,-14.3,-1,-7.1,-2,-11.1,12797,11.5,0,0.0,0,0.0,141,25.2
"02164","1","4911","76","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,18,16,13,145784,0,0,716,"",25.93,5.49,4.05,2.77,3.31,0.00,0.00,0.84,"",0,0.0,4,28.6,-1,-5.9,-1,-7.1,12841,9.7,0,0.0,0,0.0,34,5.0
"02164","1","49111","77","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,12,13,16,124518,0,0,701,"",25.93,3.88,4.14,4.90,5.07,0.00,0.00,1.17,"",0,0.0,-2,-14.3,-1,-7.1,-2,-11.1,12797,11.5,0,0.0,0,0.0,141,25.2
"02164","1","49111","77","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,18,16,13,145784,0,0,716,"",25.93,5.49,4.05,2.77,3.31,0.00,0.00,0.84,"",0,0.0,4,28.6,-1,-5.9,-1,-7.1,12841,9.7,0,0.0,0,0.0,34,5.0
"02164","1","491110","78","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,12,13,16,124518,0,0,701,"",25.93,3.88,4.14,4.90,5.07,0.00,0.00,1.17,"",0,0.0,-2,-14.3,-1,-7.1,-2,-11.1,12797,11.5,0,0.0,0,0.0,141,25.2
"02164","1","491110","78","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,18,16,13,145784,0,0,716,"",25.93,5.49,4.05,2.77,3.31,0.00,0.00,0.84,"",0,0.0,4,28.6,-1,-5.9,-1,-7.1,12841,9.7,0,0.0,0,0.0,34,5.0
"02164","1","71","74","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,13,14,185618,0,0,1071,"",75.00,71.87,70.00,72.02,136.06,0.00,0.00,1.91,"",0,0.0,4,44.4,3,30.0,2,16.7,-1541,-0.8,0,0.0,0,0.0,-322,-23.1
"02164","1","71","74","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,18,43,43,356248,0,0,790,"",75.30,90.69,162.14,130.13,159.11,0.00,0.00,1.20,"",0,0.0,0,0.0,13,43.3,-11,-20.4,-91073,-20.4,0,0.0,0,0.0,-222,-21.9
"02164","1","712","75","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,13,14,185618,0,0,1071,"",152.31,130.11,127.69,130.92,180.34,0.00,0.00,1.39,"",0,0.0,4,44.4,3,30.0,2,16.7,-1541,-0.8,0,0.0,0,0.0,-322,-23.1
"02164","1","712","75","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,18,43,43,356248,0,0,790,"",152.79,164.46,273.40,220.12,214.58,0.00,0.00,0.94,"",0,0.0,0,0.0,13,43.3,-11,-20.4,-91073,-20.4,0,0.0,0,0.0,-222,-21.9
"02164","1","7121","76","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 7121 Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,13,14,185618,0,0,1071,"",152.31,130.11,127.69,130.92,180.34,0.00,0.00,1.39,"",0,0.0,4,44.4,3,30.0,2,16.7,-1541,-0.8,0,0.0,0,0.0,-322,-23.1
"02164","1","7121","76","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 7121 Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,18,43,43,356248,0,0,790,"",152.79,164.46,273.40,220.12,214.58,0.00,0.00,0.94,"",0,0.0,0,0.0,13,43.3,-11,-20.4,-91073,-20.4,0,0.0,0,0.0,-222,-21.9
"02164","1","71219","77","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 71219 Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,13,14,185618,0,0,1071,"",167.85,195.91,193.52,196.49,279.81,0.00,0.00,1.43,"",0,0.0,4,44.4,3,30.0,2,16.7,-1541,-0.8,0,0.0,0,0.0,-322,-23.1
"02164","1","71219","77","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 71219 Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,18,43,43,356248,0,0,790,"",168.40,245.74,378.67,300.60,333.84,0.00,0.00,1.04,"",0,0.0,0,0.0,13,43.3,-11,-20.4,-91073,-20.4,0,0.0,0,0.0,-222,-21.9
"02164","1","712190","78","0","2019","1","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 712190 Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,13,14,185618,0,0,1071,"",167.85,195.91,193.52,196.49,279.81,0.00,0.00,1.43,"",0,0.0,4,44.4,3,30.0,2,16.7,-1541,-0.8,0,0.0,0,0.0,-322,-23.1
"02164","1","712190","78","0","2019","2","","Lake and Peninsula Borough, Alaska","Federal Government","NAICS 712190 Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,18,43,43,356248,0,0,790,"",168.40,245.74,378.67,300.60,333.84,0.00,0.00,1.04,"",0,0.0,0,0.0,13,43.3,-11,-20.4,-91073,-20.4,0,0.0,0,0.0,-222,-21.9
"02164","2","10","71","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",9.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","10","71","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",9.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","102","72","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",9.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","102","72","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",9.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","1028","73","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",13.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","1028","73","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",13.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","92","74","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",13.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","92","74","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,0,0,0,0,0,0,0,"N",13.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","922","75","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",17.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","922","75","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",17.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","9221","76","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",17.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","9221","76","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",17.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","92219","77","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 92219 Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",320.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","92219","77","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 92219 Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",320.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","922190","78","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 922190 Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",320.73,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","922190","78","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 922190 Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",320.33,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","924","75","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",47.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","924","75","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",47.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","9241","76","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",47.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","9241","76","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",47.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","92412","77","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",57.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","92412","77","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",57.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","924120","78","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",57.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","924120","78","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",57.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","926","75","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","926","75","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","9261","76","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.78,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","9261","76","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",7.79,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","92612","77","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 92612 Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",21.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","92612","77","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 92612 Transportation program administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",21.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","926120","78","0","2019","1","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 926120 Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",21.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","2","926120","78","0","2019","2","N","Lake and Peninsula Borough, Alaska","State Government","NAICS 926120 Transportation program administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",21.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
