"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02198","0","10","70","0","2019","1","","Prince of Wales-Hyder Census Area, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",238,2014,2058,2099,19720762,12266090,189628,737,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,4.4,17,0.9,57,2.8,57,2.8,397228,2.1,539414,4.6,7449,4.1,-1,-0.1
"02198","0","10","70","0","2019","2","","Prince of Wales-Hyder Census Area, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",244,2211,2313,2533,26562283,15962994,253510,869,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,5.2,77,3.6,123,5.6,-44,-1.7,2058689,8.4,1913901,13.6,29531,13.2,50,6.1
"02198","1","10","71","0","2019","1","","Prince of Wales-Hyder Census Area, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,80,79,83,1314756,0,0,1254,"",7.85,2.07,2.00,2.07,2.70,0.00,0.00,1.32,"",0,0.0,-6,-7.0,-3,-3.7,3,3.8,-161524,-10.9,0,0.0,0,0.0,-120,-8.7
"02198","1","10","71","0","2019","2","","Prince of Wales-Hyder Census Area, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,86,106,114,1552803,0,0,1171,"",7.73,2.05,2.42,2.37,2.07,0.00,0.00,0.90,"",0,0.0,5,6.2,12,12.8,8,7.5,137724,9.7,0,0.0,0,0.0,9,0.8
"02198","1","102","72","0","2019","1","","Prince of Wales-Hyder Census Area, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,80,79,83,1314756,0,0,1254,"",7.86,2.11,2.04,2.11,2.75,0.00,0.00,1.32,"",0,0.0,-6,-7.0,-3,-3.7,3,3.8,-161524,-10.9,0,0.0,0,0.0,-120,-8.7
"02198","1","102","72","0","2019","2","","Prince of Wales-Hyder Census Area, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,86,106,114,1552803,0,0,1171,"",7.74,2.09,2.47,2.42,2.11,0.00,0.00,0.90,"",0,0.0,5,6.2,12,12.8,8,7.5,137724,9.7,0,0.0,0,0.0,9,0.8
"02198","1","1021","73","0","2019","1","","Prince of Wales-Hyder Census Area, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,13,12,13,162211,0,0,985,"",9.91,1.40,1.26,1.35,1.87,0.00,0.00,1.40,"",0,0.0,-2,-13.3,-3,-20.0,-1,-7.1,-12739,-7.3,0,0.0,0,0.0,67,7.3
"02198","1","1021","73","0","2019","2","","Prince of Wales-Hyder Census Area, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,13,16,15,220556,0,0,1157,"",9.75,1.29,1.52,1.31,1.59,0.00,0.00,1.16,"",0,0.0,-1,-7.1,2,14.3,2,15.4,22314,11.3,0,0.0,0,0.0,41,3.7
"02198","1","1024","73","0","2019","1","","Prince of Wales-Hyder Census Area, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,36502,0,0,1404,"",29.24,2.17,2.14,2.10,2.77,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,0,0.0,-2260,-5.8,0,0.0,0,0.0,-87,-5.8
"02198","1","1024","73","0","2019","2","","Prince of Wales-Hyder Census Area, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,36639,0,0,1409,"",28.72,2.02,1.91,1.73,1.95,0.00,0.00,1.04,"",0,0.0,1,100.0,1,100.0,1,100.0,21701,145.3,0,0.0,0,0.0,260,22.6
