"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02230","0","10","70","0","2019","1","","Skagway Municipality, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",133,428,428,484,4770306,3569789,57458,822,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,1.5,10,2.4,-6,-1.4,-1,-0.2,59912,1.3,293817,9.0,4419,8.3,9,1.1
"02230","0","10","70","0","2019","2","","Skagway Municipality, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",135,648,1411,1557,11614925,9597246,162917,741,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.7,-9,-1.4,68,5.1,-28,-1.8,811434,7.5,656090,7.3,6955,4.5,46,6.6
"02230","1","10","71","0","2019","1","","Skagway Municipality, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,42,42,42,676344,0,0,1239,"",6.38,5.13,5.12,4.55,5.74,0.00,0.00,1.17,"",1,25.0,-6,-12.5,-5,-10.6,-7,-14.3,-220920,-24.6,0,0.0,0,0.0,-199,-13.8
"02230","1","10","71","0","2019","2","","Skagway Municipality, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,47,62,65,940065,0,0,1247,"",6.35,3.82,2.32,2.20,2.86,0.00,0.00,1.13,"",1,25.0,-4,-7.8,-3,-4.6,-9,-12.2,17773,1.9,0,0.0,0,0.0,127,11.3
"02230","1","102","72","0","2019","1","","Skagway Municipality, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,42,42,42,676344,0,0,1239,"",6.40,5.22,5.22,4.64,5.85,0.00,0.00,1.17,"",1,25.0,-6,-12.5,-5,-10.6,-7,-14.3,-220920,-24.6,0,0.0,0,0.0,-199,-13.8
"02230","1","102","72","0","2019","2","","Skagway Municipality, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,47,62,65,940065,0,0,1247,"",6.36,3.89,2.36,2.24,2.92,0.00,0.00,1.13,"",1,25.0,-4,-7.8,-3,-4.6,-9,-12.2,17773,1.9,0,0.0,0,0.0,127,11.3
"02230","1","1021","73","0","2019","1","","Skagway Municipality, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,40529,0,0,779,"",2.53,2.02,2.02,1.80,1.93,0.00,0.00,0.99,"",0,0.0,1,33.3,1,33.3,1,33.3,3747,10.2,0,0.0,0,0.0,-164,-17.4
"02230","1","1021","73","0","2019","2","","Skagway Municipality, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,61749,0,0,1187,"",2.52,1.35,0.62,0.57,1.02,0.00,0.00,1.40,"",0,0.0,1,33.3,1,33.3,1,33.3,8735,16.5,0,0.0,0,0.0,-172,-12.7
"02230","1","1026","73","0","2019","1","","Skagway Municipality, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,32,32,32,477148,0,0,1147,"",50.20,243.79,241.70,213.17,409.21,0.00,0.00,1.76,"",0,0.0,-6,-15.8,-5,-13.5,-7,-17.9,-169840,-26.3,0,0.0,0,0.0,-163,-12.4
"02230","1","1026","73","0","2019","2","","Skagway Municipality, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,37,52,55,711435,0,0,1140,"",50.13,182.74,108.85,100.57,228.76,0.00,0.00,1.92,"",0,0.0,-4,-9.8,-3,-5.5,-10,-15.4,-898,-0.1,0,0.0,0,0.0,119,11.7
"02230","1","1028","73","0","2019","1","","Skagway Municipality, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,6,158667,0,0,2034,"",9.49,1.35,1.35,1.20,2.21,0.00,0.00,1.70,"",1,50.0,-1,-14.3,-1,-14.3,-1,-14.3,-54827,-25.7,0,0.0,0,0.0,-312,-13.3
"02230","1","1028","73","0","2019","2","","Skagway Municipality, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,6,6,6,166881,0,0,2140,"",9.45,0.90,0.41,0.37,0.85,0.00,0.00,1.76,"",1,50.0,-1,-14.3,-1,-14.3,0,0.0,9936,6.3,0,0.0,0,0.0,329,18.2
"02230","1","48-49","74","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,4,4,40529,0,0,779,"",2.60,2.20,2.21,1.96,2.07,0.00,0.00,0.98,"",0,0.0,1,33.3,1,33.3,1,33.3,3747,10.2,0,0.0,0,0.0,-164,-17.4
"02230","1","48-49","74","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,4,4,61749,0,0,1187,"",2.59,1.47,0.68,0.62,1.09,0.00,0.00,1.37,"",0,0.0,1,33.3,1,33.3,1,33.3,8735,16.5,0,0.0,0,0.0,-172,-12.7
"02230","1","491","75","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,40529,0,0,779,"",2.62,2.25,2.26,2.00,2.17,0.00,0.00,1.00,"",0,0.0,1,33.3,1,33.3,1,33.3,3747,10.2,0,0.0,0,0.0,-164,-17.4
"02230","1","491","75","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,61749,0,0,1187,"",2.60,1.51,0.69,0.63,1.14,0.00,0.00,1.40,"",0,0.0,1,33.3,1,33.3,1,33.3,8735,16.5,0,0.0,0,0.0,-172,-12.7
"02230","1","4911","76","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,40529,0,0,779,"",2.62,2.25,2.26,2.00,2.17,0.00,0.00,1.00,"",0,0.0,1,33.3,1,33.3,1,33.3,3747,10.2,0,0.0,0,0.0,-164,-17.4
"02230","1","4911","76","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,61749,0,0,1187,"",2.60,1.51,0.69,0.63,1.14,0.00,0.00,1.40,"",0,0.0,1,33.3,1,33.3,1,33.3,8735,16.5,0,0.0,0,0.0,-172,-12.7
"02230","1","49111","77","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,40529,0,0,779,"",2.62,2.25,2.26,2.00,2.17,0.00,0.00,1.00,"",0,0.0,1,33.3,1,33.3,1,33.3,3747,10.2,0,0.0,0,0.0,-164,-17.4
"02230","1","49111","77","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,61749,0,0,1187,"",2.60,1.51,0.69,0.63,1.14,0.00,0.00,1.40,"",0,0.0,1,33.3,1,33.3,1,33.3,8735,16.5,0,0.0,0,0.0,-172,-12.7
"02230","1","491110","78","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,40529,0,0,779,"",2.62,2.25,2.26,2.00,2.17,0.00,0.00,1.00,"",0,0.0,1,33.3,1,33.3,1,33.3,3747,10.2,0,0.0,0,0.0,-164,-17.4
"02230","1","491110","78","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,4,4,61749,0,0,1187,"",2.60,1.51,0.69,0.63,1.14,0.00,0.00,1.40,"",0,0.0,1,33.3,1,33.3,1,33.3,8735,16.5,0,0.0,0,0.0,-172,-12.7
"02230","1","71","74","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,32,32,32,477148,0,0,1147,"",68.23,308.37,305.56,268.68,460.49,0.00,0.00,1.57,"",0,0.0,-6,-15.8,-5,-13.5,-7,-17.9,-169840,-26.3,0,0.0,0,0.0,-163,-12.4
"02230","1","71","74","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,37,52,55,711435,0,0,1140,"",68.05,230.14,134.37,123.15,257.34,0.00,0.00,1.74,"",0,0.0,-4,-9.8,-3,-5.5,-10,-15.4,-898,-0.1,0,0.0,0,0.0,119,11.7
"02230","1","712","75","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,32,32,32,477148,0,0,1147,"",138.57,558.23,557.38,488.42,610.35,0.00,0.00,1.15,"",0,0.0,-6,-15.8,-5,-13.5,-7,-17.9,-169840,-26.3,0,0.0,0,0.0,-163,-12.4
"02230","1","712","75","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,37,52,55,711435,0,0,1140,"",138.07,417.35,226.59,208.31,347.06,0.00,0.00,1.36,"",0,0.0,-4,-9.8,-3,-5.5,-10,-15.4,-898,-0.1,0,0.0,0,0.0,119,11.7
"02230","1","7121","76","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 7121 Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,32,32,32,477148,0,0,1147,"",138.57,558.23,557.38,488.42,610.35,0.00,0.00,1.15,"",0,0.0,-6,-15.8,-5,-13.5,-7,-17.9,-169840,-26.3,0,0.0,0,0.0,-163,-12.4
"02230","1","7121","76","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 7121 Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,37,52,55,711435,0,0,1140,"",138.07,417.35,226.59,208.31,347.06,0.00,0.00,1.36,"",0,0.0,-4,-9.8,-3,-5.5,-10,-15.4,-898,-0.1,0,0.0,0,0.0,119,11.7
"02230","1","71219","77","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 71219 Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,32,32,32,477148,0,0,1147,"",152.70,840.56,844.75,733.08,946.97,0.00,0.00,1.18,"",0,0.0,-6,-15.8,-5,-13.5,-7,-17.9,-169840,-26.3,0,0.0,0,0.0,-163,-12.4
"02230","1","71219","77","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 71219 Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,37,52,55,711435,0,0,1140,"",152.19,623.63,313.83,284.47,539.95,0.00,0.00,1.51,"",0,0.0,-4,-9.8,-3,-5.5,-10,-15.4,-898,-0.1,0,0.0,0,0.0,119,11.7
"02230","1","712190","78","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 712190 Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,32,32,32,477148,0,0,1147,"",152.70,840.56,844.75,733.08,946.97,0.00,0.00,1.18,"",0,0.0,-6,-15.8,-5,-13.5,-7,-17.9,-169840,-26.3,0,0.0,0,0.0,-163,-12.4
"02230","1","712190","78","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 712190 Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,37,52,55,711435,0,0,1140,"",152.19,623.63,313.83,284.47,539.95,0.00,0.00,1.51,"",0,0.0,-4,-9.8,-3,-5.5,-10,-15.4,-898,-0.1,0,0.0,0,0.0,119,11.7
"02230","1","92","74","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,6,6,158667,0,0,2034,"",9.49,1.35,1.35,1.20,2.21,0.00,0.00,1.70,"",1,50.0,-1,-14.3,-1,-14.3,-1,-14.3,-54827,-25.7,0,0.0,0,0.0,-312,-13.3
"02230","1","92","74","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,6,6,166881,0,0,2140,"",9.45,0.90,0.41,0.37,0.85,0.00,0.00,1.76,"",1,50.0,-1,-14.3,-1,-14.3,0,0.0,9936,6.3,0,0.0,0,0.0,329,18.2
"02230","1","922","75","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,143254,0,0,2204,"",22.64,6.64,6.64,5.94,10.76,0.00,0.00,1.69,"",0,0.0,-1,-16.7,-1,-16.7,-1,-16.7,-52342,-26.8,0,0.0,0,0.0,-304,-12.1
"02230","1","922","75","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 922 Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,150627,0,0,2317,"",22.55,4.40,2.04,1.85,4.18,0.00,0.00,1.76,"",0,0.0,-1,-16.7,-1,-16.7,0,0.0,9095,6.4,0,0.0,0,0.0,396,20.6
"02230","1","9221","76","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,143254,0,0,2204,"",22.64,6.64,6.64,5.94,10.76,0.00,0.00,1.69,"",0,0.0,-1,-16.7,-1,-16.7,-1,-16.7,-52342,-26.8,0,0.0,0,0.0,-304,-12.1
"02230","1","9221","76","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 9221 Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,5,5,150627,0,0,2317,"",22.55,4.40,2.04,1.85,4.18,0.00,0.00,1.76,"",0,0.0,-1,-16.7,-1,-16.7,0,0.0,9095,6.4,0,0.0,0,0.0,396,20.6
"02230","1","92212","77","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 92212 Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,143254,0,0,2204,"",43.88,12.05,12.02,10.76,18.18,0.00,0.00,1.57,"",0,0.0,-1,-16.7,-1,-16.7,-1,-16.7,-52342,-26.8,0,0.0,0,0.0,-304,-12.1
"02230","1","92212","77","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 92212 Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,150627,0,0,2317,"",43.67,7.98,3.70,3.34,7.19,0.00,0.00,1.67,"",0,0.0,-1,-16.7,-1,-16.7,0,0.0,9095,6.4,0,0.0,0,0.0,396,20.6
"02230","1","922120","78","0","2019","1","","Skagway Municipality, Alaska","Federal Government","NAICS 922120 Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,143254,0,0,2204,"",43.88,12.05,12.02,10.76,18.18,0.00,0.00,1.57,"",0,0.0,-1,-16.7,-1,-16.7,-1,-16.7,-52342,-26.8,0,0.0,0,0.0,-304,-12.1
"02230","1","922120","78","0","2019","2","","Skagway Municipality, Alaska","Federal Government","NAICS 922120 Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,150627,0,0,2317,"",43.67,7.98,3.70,3.34,7.19,0.00,0.00,1.67,"",0,0.0,-1,-16.7,-1,-16.7,0,0.0,9095,6.4,0,0.0,0,0.0,396,20.6
