"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02282","0","10","70","0","2019","1","","Yakutat City and Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",41,239,222,219,2433265,1710621,26014,826,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,26,12.2,-2,-0.9,-20,-8.4,235034,10.7,308284,22.0,4581,21.4,76,10.1
"02282","0","10","70","0","2019","2","","Yakutat City and Borough, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",42,279,299,296,3283783,2145414,34240,867,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-2.3,-3,-1.1,-5,-1.6,8,2.8,261283,8.6,140934,7.0,1851,5.7,69,8.6
"02282","1","10","71","0","2019","1","","Yakutat City and Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,20,20,20,374957,0,0,1442,"",24.84,4.37,4.70,4.79,6.24,0.00,0.00,1.35,"",0,0.0,-3,-13.0,-2,-9.1,-2,-9.1,-69626,-15.7,0,0.0,0,0.0,-89,-5.8
"02282","1","10","71","0","2019","2","","Yakutat City and Borough, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,21,23,25,407408,0,0,1363,"",24.48,3.96,4.06,4.45,4.39,0.00,0.00,1.05,"",0,0.0,-3,-12.5,0,0.0,0,0.0,-32380,-7.4,0,0.0,0,0.0,-47,-3.3
"02282","1","102","72","0","2019","1","","Yakutat City and Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,20,20,20,374957,0,0,1442,"",24.90,4.45,4.79,4.88,6.36,0.00,0.00,1.35,"",0,0.0,-3,-13.0,-2,-9.1,-2,-9.1,-69626,-15.7,0,0.0,0,0.0,-89,-5.8
"02282","1","102","72","0","2019","2","","Yakutat City and Borough, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,21,23,25,407408,0,0,1363,"",24.53,4.04,4.14,4.54,4.47,0.00,0.00,1.05,"",0,0.0,-3,-12.5,0,0.0,0,0.0,-32380,-7.4,0,0.0,0,0.0,-47,-3.3
"02282","1","1021","73","0","2019","1","","Yakutat City and Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,3,3,29181,0,0,842,"",8.22,1.81,2.93,2.98,2.72,0.00,0.00,1.07,"",0,0.0,-1,-33.3,1,50.0,1,50.0,4830,19.8,0,0.0,0,0.0,39,4.9
"02282","1","1021","73","0","2019","2","","Yakutat City and Borough, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,36398,0,0,933,"",8.09,2.36,2.21,2.24,2.13,0.00,0.00,0.94,"",0,0.0,1,50.0,1,50.0,1,50.0,7559,26.2,0,0.0,0,0.0,-176,-15.9
"02282","1","1024","73","0","2019","1","","Yakutat City and Borough, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,19568,0,0,1505,"",169.76,9.16,9.91,10.07,12.03,0.00,0.00,1.24,"",0,0.0,-1,-50.0,-1,-50.0,0,0.0,-20559,-51.2,0,0.0,0,0.0,-347,-18.7
"02282","1","1024","73","0","2019","2","","Yakutat City and Borough, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,19697,0,0,1515,"",166.85,8.00,7.40,7.42,8.48,0.00,0.00,1.12,"",0,0.0,0,0.0,0,0.0,0,0.0,-5021,-20.3,0,0.0,0,0.0,-386,-20.3
"02282","1","1026","73","0","2019","1","","Yakutat City and Borough, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,53402,0,0,2054,"",162.84,27.29,29.12,29.45,89.79,0.00,0.00,3.14,"",0,0.0,1,100.0,1,100.0,1,100.0,26683,99.9,0,0.0,0,0.0,-1,0.0
