"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02290","0","10","70","0","2019","1","","Yukon-Koyukuk Census Area, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",259,2169,2195,2201,19942168,8488922,136917,701,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.4,89,4.3,1,0.0,7,0.3,151918,0.8,-355993,-4.0,-8628,-5.9,-5,-0.7
"02290","0","10","70","0","2019","2","","Yukon-Koyukuk Census Area, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",260,2280,2331,2386,22676165,8278755,135734,748,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.4,-29,-1.3,-41,-1.7,-110,-4.4,716106,3.3,-171610,-2.0,-5651,-4.0,42,5.9
"02290","1","10","71","0","2019","1","","Yukon-Koyukuk Census Area, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,56,55,56,703842,0,0,973,"",17.04,1.35,1.31,1.33,1.43,0.00,0.00,1.08,"",-1,-3.7,-4,-6.7,-7,-11.3,-6,-9.7,-24549,-3.4,0,0.0,0,0.0,59,6.5
"02290","1","10","71","0","2019","2","","Yukon-Koyukuk Census Area, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,65,102,103,1176081,0,0,1005,"",18.46,1.50,2.31,2.28,1.83,0.00,0.00,0.90,"",1,3.7,-12,-15.6,12,13.3,-7,-6.4,-51261,-4.2,0,0.0,0,0.0,-18,-1.8
"02290","1","102","72","0","2019","1","","Yukon-Koyukuk Census Area, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,56,55,56,703842,0,0,973,"",17.08,1.37,1.33,1.36,1.46,0.00,0.00,1.08,"",-1,-3.7,-4,-6.7,-7,-11.3,-6,-9.7,-24549,-3.4,0,0.0,0,0.0,59,6.5
"02290","1","102","72","0","2019","2","","Yukon-Koyukuk Census Area, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,65,102,103,1176081,0,0,1005,"",18.49,1.53,2.36,2.32,1.87,0.00,0.00,0.90,"",1,3.7,-12,-15.6,12,13.3,-7,-6.4,-51261,-4.2,0,0.0,0,0.0,-18,-1.8
"02290","1","1021","73","0","2019","1","","Yukon-Koyukuk Census Area, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",23,36,35,33,291434,0,0,647,"",29.92,3.59,3.45,3.26,3.32,0.00,0.00,0.97,"",-1,-4.2,-1,-2.7,-1,-2.8,-4,-10.8,9353,3.3,0,0.0,0,0.0,55,9.3
"02290","1","1021","73","0","2019","2","","Yukon-Koyukuk Census Area, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",25,34,40,33,336174,0,0,725,"",32.68,3.27,3.77,3.05,2.84,0.00,0.00,0.85,"",1,4.2,-2,-5.6,6,17.6,-3,-8.3,-8486,-2.5,0,0.0,0,0.0,-25,-3.3
"02290","1","1026","73","0","2019","1","","Yukon-Koyukuk Census Area, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,4,4,4,53754,0,0,1034,"",25.78,6.01,5.89,5.86,11.03,0.00,0.00,1.86,"",0,0.0,0,0.0,0,0.0,-1,-20.0,-10875,-16.8,0,0.0,0,0.0,-113,-9.9
"02290","1","1026","73","0","2019","2","","Yukon-Koyukuk Census Area, Alaska","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,10,39,44,437998,0,0,1087,"",26.03,14.04,49.42,52.50,72.14,0.00,0.00,1.81,"",0,0.0,-5,-33.3,10,34.5,1,2.3,21025,5.0,0,0.0,0,0.0,-19,-1.7
