"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02999","0","10","70","0","2019","1","","Unknown Or Undefined, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",644,1380,1482,1479,24634217,19139869,300629,1310,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",66,11.4,-212,-13.3,-120,-7.5,-97,-6.2,-2546702,-9.4,-2950840,-13.4,-50335,-14.3,-5,-0.4
"02999","0","10","70","0","2019","2","","Unknown Or Undefined, Alaska","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",717,1501,1597,1644,26265155,16049618,255359,1278,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",124,20.9,58,4.0,99,6.6,161,10.9,2494754,10.5,828583,5.4,-36169,-12.4,38,3.1
"02999","1","10","71","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,97,93,100,2001963,0,0,1593,"",6.59,3.67,3.27,3.55,3.29,0.00,0.00,0.94,"",2,8.7,19,24.4,14,17.7,16,19.0,274787,15.9,0,0.0,0,0.0,-61,-3.7
"02999","1","10","71","0","2019","2","","Unknown Or Undefined, Alaska","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",25,82,85,80,1909521,0,0,1784,"",5.98,2.88,2.81,2.57,2.57,0.00,0.00,0.94,"",3,13.6,-3,-3.5,-3,-3.4,-10,-11.1,36332,1.9,0,0.0,0,0.0,140,8.5
"02999","1","102","72","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,97,93,100,2001963,0,0,1593,"",6.60,3.74,3.34,3.61,3.35,0.00,0.00,0.94,"",2,8.7,19,24.4,14,17.7,16,19.0,274787,15.9,0,0.0,0,0.0,-61,-3.7
"02999","1","102","72","0","2019","2","","Unknown Or Undefined, Alaska","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",25,82,85,80,1909521,0,0,1784,"",5.99,2.93,2.86,2.62,2.62,0.00,0.00,0.94,"",3,13.6,-3,-3.5,-3,-3.4,-10,-11.1,36332,1.9,0,0.0,0,0.0,140,8.5
"02999","1","1021","73","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,80599,0,0,3100,"",0.52,0.31,0.29,0.29,0.74,0.00,0.00,2.48,"",0,0.0,0,0.0,0,0.0,0,0.0,10572,15.1,0,0.0,0,0.0,407,15.1
"02999","1","1021","73","0","2019","2","","Unknown Or Undefined, Alaska","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,2,95331,0,0,2750,"",0.47,0.44,0.41,0.27,0.70,0.00,0.00,1.88,"",0,0.0,1,50.0,1,50.0,1,100.0,60672,175.1,0,0.0,0,0.0,1150,71.9
"02999","1","1024","73","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,77364,0,0,1984,"",10.81,4.76,4.45,4.47,4.70,0.00,0.00,1.03,"",0,0.0,1,50.0,1,50.0,1,50.0,24335,45.9,0,0.0,0,0.0,-56,-2.7
"02999","1","1024","73","0","2019","2","","Unknown Or Undefined, Alaska","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,72286,0,0,1853,"",9.77,4.46,4.15,4.01,3.89,0.00,0.00,0.93,"",0,0.0,0,0.0,0,0.0,0,0.0,9589,15.3,0,0.0,0,0.0,245,15.2
"02999","1","1025","73","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,5,5,6,80634,0,0,1163,"",34.76,1.26,1.17,1.41,0.90,0.00,0.00,0.70,"",0,0.0,0,0.0,0,0.0,1,20.0,15613,24.0,0,0.0,0,0.0,163,16.3
"02999","1","1025","73","0","2019","2","","Unknown Or Undefined, Alaska","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,5,5,5,91795,0,0,1412,"",31.52,1.17,1.11,1.08,0.80,0.00,0.00,0.71,"",0,0.0,0,0.0,0,0.0,-1,-16.7,12647,16.0,0,0.0,0,0.0,270,23.6
"02999","1","1028","73","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",20,87,83,89,1763366,0,0,1571,"",13.07,6.09,5.39,5.83,4.76,0.00,0.00,0.83,"",3,17.6,18,26.1,13,18.6,14,18.7,224267,14.6,0,0.0,0,0.0,-89,-5.4
"02999","1","1028","73","0","2019","2","","Unknown Or Undefined, Alaska","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",20,71,74,70,1650109,0,0,1771,"",11.86,4.60,4.52,4.14,3.72,0.00,0.00,0.84,"",3,17.6,-4,-5.3,-4,-5.1,-10,-12.5,-46576,-2.7,0,0.0,0,0.0,91,5.4
"02999","1","48-49","74","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,2,2,80599,0,0,3100,"",0.54,0.34,0.32,0.32,0.80,0.00,0.00,2.44,"",0,0.0,0,0.0,0,0.0,0,0.0,10572,15.1,0,0.0,0,0.0,407,15.1
"02999","1","48-49","74","0","2019","2","","Unknown Or Undefined, Alaska","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,3,2,95331,0,0,2750,"",0.49,0.48,0.45,0.29,0.75,0.00,0.00,1.85,"",0,0.0,1,50.0,1,50.0,1,100.0,60672,175.1,0,0.0,0,0.0,1150,71.9
"02999","1","491","75","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,2,2,80599,0,0,3100,"",0.54,0.35,0.33,0.33,0.84,0.00,0.00,2.51,"",0,0.0,0,0.0,0,0.0,0,0.0,10572,15.1,0,0.0,0,0.0,407,15.1
"02999","1","491","75","0","2019","2","","Unknown Or Undefined, Alaska","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,3,2,95331,0,0,2750,"",0.49,0.49,0.46,0.30,0.78,0.00,0.00,1.88,"",0,0.0,1,50.0,1,50.0,1,100.0,60672,175.1,0,0.0,0,0.0,1150,71.9
"02999","1","4911","76","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,2,2,80599,0,0,3100,"",0.54,0.35,0.33,0.33,0.84,0.00,0.00,2.51,"",0,0.0,0,0.0,0,0.0,0,0.0,10572,15.1,0,0.0,0,0.0,407,15.1
"02999","1","4911","76","0","2019","2","","Unknown Or Undefined, Alaska","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,3,2,95331,0,0,2750,"",0.49,0.49,0.46,0.30,0.78,0.00,0.00,1.88,"",0,0.0,1,50.0,1,50.0,1,100.0,60672,175.1,0,0.0,0,0.0,1150,71.9
"02999","1","49111","77","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,2,2,80599,0,0,3100,"",0.54,0.35,0.33,0.33,0.84,0.00,0.00,2.51,"",0,0.0,0,0.0,0,0.0,0,0.0,10572,15.1,0,0.0,0,0.0,407,15.1
"02999","1","49111","77","0","2019","2","","Unknown Or Undefined, Alaska","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,2,95331,0,0,2750,"",0.49,0.49,0.46,0.30,0.78,0.00,0.00,1.88,"",0,0.0,1,50.0,1,50.0,1,100.0,60672,175.1,0,0.0,0,0.0,1150,71.9
"02999","1","491110","78","0","2019","1","","Unknown Or Undefined, Alaska","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,2,2,80599,0,0,3100,"",0.54,0.35,0.33,0.33,0.84,0.00,0.00,2.51,"",0,0.0,0,0.0,0,0.0,0,0.0,10572,15.1,0,0.0,0,0.0,407,15.1
