"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04005","0","10","70","0","2019","1","","Coconino County, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3433,59608,60572,61242,652705683,230135361,3500154,830,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",92,2.8,127,0.2,-43,-0.1,-248,-0.4,-1781323,-0.3,4590699,2.0,-823524,-19.0,-2,-0.2
"04005","0","10","70","0","2019","2","","Coconino County, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3451,63484,64222,63560,682418178,80173440,1454453,823,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",92,2.7,824,1.3,605,1.0,502,0.8,19504028,2.9,1177698,1.5,-401488,-21.6,15,1.9
"04005","1","10","71","0","2019","1","","Coconino County, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,2409,2449,2450,40369588,0,0,1275,"",2.87,2.11,2.11,2.10,2.51,0.00,0.00,1.19,"",1,1.8,-124,-4.9,-101,-4.0,-110,-4.3,-4391037,-9.8,0,0.0,0,0.0,-76,-5.6
"04005","1","10","71","0","2019","2","","Coconino County, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",58,2502,2820,2879,43206722,0,0,1216,"",2.88,2.08,2.32,2.39,2.24,0.00,0.00,0.99,"",1,1.8,-135,-5.1,-5,-0.2,-27,-0.9,-1345780,-3.0,0,0.0,0,0.0,-13,-1.1
"04005","1","102","72","0","2019","1","","Coconino County, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",58,2409,2449,2450,40369588,0,0,1275,"",2.87,2.15,2.15,2.14,2.55,0.00,0.00,1.19,"",1,1.8,-124,-4.9,-101,-4.0,-110,-4.3,-4391037,-9.8,0,0.0,0,0.0,-76,-5.6
"04005","1","102","72","0","2019","2","","Coconino County, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",58,2502,2820,2879,43206722,0,0,1216,"",2.89,2.12,2.36,2.43,2.28,0.00,0.00,0.99,"",1,1.8,-135,-5.1,-5,-0.2,-27,-0.9,-1345780,-3.0,0,0.0,0,0.0,-13,-1.1
"04005","1","1021","73","0","2019","1","","Coconino County, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,172,176,173,2455785,0,0,1088,"",1.28,0.62,0.63,0.61,0.85,0.00,0.00,1.37,"",0,0.0,-2,-1.1,-3,-1.7,-2,-1.1,57734,2.4,0,0.0,0,0.0,40,3.8
"04005","1","1021","73","0","2019","2","","Coconino County, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,180,171,172,2608898,0,0,1151,"",1.28,0.62,0.59,0.60,0.73,0.00,0.00,1.22,"",0,0.0,2,1.1,-1,-0.6,2,1.2,-92985,-3.4,0,0.0,0,0.0,-48,-4.0
"04005","1","1023","73","0","2019","1","","Coconino County, Arizona","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,2,16414,0,0,947,"",3.74,0.20,0.20,0.40,0.17,0.00,0.00,0.63,"",0,0.0,0,0.0,0,0.0,1,100.0,-2114,-11.4,0,0.0,0,0.0,-478,-33.5
"04005","1","1023","73","0","2019","2","","Coconino County, Arizona","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,20715,0,0,797,"",3.79,0.39,0.39,0.39,0.19,0.00,0.00,0.49,"",0,0.0,1,100.0,1,100.0,1,100.0,4760,29.8,0,0.0,0,0.0,-430,-35.0
"04005","1","1024","73","0","2019","1","","Coconino County, Arizona","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,24,24,24,538208,0,0,1725,"",4.05,0.88,0.87,0.86,1.23,0.00,0.00,1.42,"",0,0.0,0,0.0,0,0.0,0,0.0,-79711,-12.9,0,0.0,0,0.0,-256,-12.9
"04005","1","1024","73","0","2019","2","","Coconino County, Arizona","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,24,23,23,552456,0,0,1821,"",4.06,0.84,0.79,0.80,1.14,0.00,0.00,1.41,"",0,0.0,0,0.0,-1,-4.2,-2,-8.0,3586,0.7,0,0.0,0,0.0,86,5.0
"04005","1","1026","73","0","2019","1","","Coconino County, Arizona","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",8,482,482,497,8373024,0,0,1323,"",15.56,26.37,25.72,26.17,52.48,0.00,0.00,2.01,"",0,0.0,-75,-13.5,-69,-12.5,-66,-11.7,-1055667,-11.2,0,0.0,0,0.0,21,1.6
"04005","1","1026","73","0","2019","2","","Coconino County, Arizona","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",8,508,641,659,8404452,0,0,1073,"",15.69,25.61,29.48,29.52,46.00,0.00,0.00,1.63,"",0,0.0,-54,-9.6,14,2.2,-17,-2.5,-204179,-2.4,0,0.0,0,0.0,8,0.8
"04005","1","1027","73","0","2019","1","","Coconino County, Arizona","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,447,456,453,8015310,0,0,1364,"",17.93,237.71,238.48,235.75,462.70,0.00,0.00,1.95,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"04005","1","1027","73","0","2019","2","","Coconino County, Arizona","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,447,456,453,8015310,0,0,1364,"",18.68,224.74,225.99,229.95,367.93,0.00,0.00,1.62,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"04005","1","1028","73","0","2019","1","","Coconino County, Arizona","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",33,1283,1310,1301,20970847,0,0,1243,"",4.05,2.08,2.08,2.06,2.14,0.00,0.00,1.03,"",1,3.1,-47,-3.5,-29,-2.2,-43,-3.2,-3311279,-13.6,0,0.0,0,0.0,-153,-11.0
"04005","1","1028","73","0","2019","2","","Coconino County, Arizona","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",33,1341,1527,1570,23604891,0,0,1227,"",4.07,2.05,2.32,2.40,2.05,0.00,0.00,0.91,"",1,3.1,-84,-5.9,-18,-1.2,-11,-0.7,-1056962,-4.3,0,0.0,0,0.0,-24,-1.9
"04005","1","48-49","74","0","2019","1","","Coconino County, Arizona","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,172,176,173,2455785,0,0,1088,"",1.31,0.68,0.69,0.67,0.92,0.00,0.00,1.35,"",0,0.0,-2,-1.1,-3,-1.7,-2,-1.1,57734,2.4,0,0.0,0,0.0,40,3.8
"04005","1","48-49","74","0","2019","2","","Coconino County, Arizona","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,180,171,172,2608898,0,0,1151,"",1.32,0.68,0.64,0.65,0.79,0.00,0.00,1.20,"",0,0.0,2,1.1,-1,-0.6,2,1.2,-92985,-3.4,0,0.0,0,0.0,-48,-4.0
"04005","1","488","75","0","2019","1","","Coconino County, Arizona","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,13,14,315720,0,0,1821,"",17.93,2.76,2.73,2.91,2.55,0.00,0.00,0.91,"",0,0.0,2,18.2,2,18.2,2,16.7,20206,6.8,0,0.0,0,0.0,-185,-9.2
"04005","1","488","75","0","2019","2","","Coconino County, Arizona","Federal Government","NAICS 488 Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,12,10,206473,0,0,1324,"",18.00,2.84,2.43,2.04,1.68,0.00,0.00,0.69,"",0,0.0,2,16.7,1,9.1,-3,-23.1,-84016,-28.9,0,0.0,0,0.0,-538,-28.9
"04005","1","4881","76","0","2019","1","","Coconino County, Arizona","Federal Government","NAICS 4881 Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,13,14,315720,0,0,1821,"",17.93,2.76,2.73,2.91,2.55,0.00,0.00,0.91,"",0,0.0,2,18.2,2,18.2,2,16.7,20206,6.8,0,0.0,0,0.0,-185,-9.2
