"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04012","0","10","70","0","2019","1","","La Paz County, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",362,5913,5987,5987,55668573,26434707,485840,718,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.0,221,3.9,173,3.0,147,2.5,2418259,4.5,1201192,4.8,-189745,-28.1,10,1.4
"04012","0","10","70","0","2019","2","","La Paz County, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",362,6007,6061,6161,58958241,8126293,156042,746,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,130,2.2,180,3.1,315,5.4,3681143,6.7,731122,9.9,-51571,-24.8,21,2.9
"04012","1","10","71","0","2019","1","","La Paz County, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,359,328,330,5315873,0,0,1206,"",7.03,3.17,2.86,2.89,3.87,0.00,0.00,1.30,"",1,7.1,42,13.2,9,2.8,9,2.8,42780,0.8,0,0.0,0,0.0,-66,-5.2
"04012","1","10","71","0","2019","2","","La Paz County, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,331,346,353,6259291,0,0,1402,"",7.10,2.90,3.01,3.02,3.75,0.00,0.00,1.26,"",0,0.0,13,4.1,28,8.8,41,13.1,766307,14.0,0,0.0,0,0.0,65,4.9
"04012","1","102","72","0","2019","1","","La Paz County, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,359,328,330,5315873,0,0,1206,"",7.05,3.23,2.91,2.95,3.94,0.00,0.00,1.30,"",1,7.1,42,13.2,9,2.8,9,2.8,42780,0.8,0,0.0,0,0.0,-66,-5.2
"04012","1","102","72","0","2019","2","","La Paz County, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,331,346,353,6259291,0,0,1402,"",7.12,2.96,3.07,3.08,3.83,0.00,0.00,1.26,"",0,0.0,13,4.1,28,8.8,41,13.1,766307,14.0,0,0.0,0,0.0,65,4.9
"04012","1","1021","73","0","2019","1","","La Paz County, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,29,27,27,354774,0,0,986,"",5.59,1.06,0.98,0.98,1.45,0.00,0.00,1.44,"",1,20.0,4,16.0,-1,-3.6,-1,-3.6,9522,2.8,0,0.0,0,0.0,2,0.2
"04012","1","1021","73","0","2019","2","","La Paz County, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,30,30,29,391888,0,0,1016,"",5.63,1.09,1.09,1.04,1.28,0.00,0.00,1.19,"",0,0.0,2,7.1,1,3.4,1,3.6,20620,5.6,0,0.0,0,0.0,8,0.8
"04012","1","1024","73","0","2019","1","","La Paz County, Arizona","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,28848,0,0,1110,"",19.23,0.74,0.74,0.74,0.78,0.00,0.00,1.05,"",0,0.0,0,0.0,0,0.0,0,0.0,1882,7.0,0,0.0,0,0.0,73,7.0
"04012","1","1024","73","0","2019","2","","La Paz County, Arizona","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,29857,0,0,1148,"",19.36,0.74,0.73,0.71,0.72,0.00,0.00,0.98,"",0,0.0,0,0.0,0,0.0,0,0.0,4737,18.9,0,0.0,0,0.0,182,18.8
"04012","1","1025","73","0","2019","1","","La Paz County, Arizona","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,209,210,212,3482298,0,0,1274,"",41.22,12.27,12.19,12.33,17.17,0.00,0.00,1.40,"",0,0.0,16,8.3,18,9.4,21,11.0,387690,12.5,0,0.0,0,0.0,34,2.7
"04012","1","1025","73","0","2019","2","","La Paz County, Arizona","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,212,223,229,4403237,0,0,1530,"",41.62,12.37,12.99,13.17,17.03,0.00,0.00,1.33,"",0,0.0,20,10.4,32,16.8,44,23.8,828999,23.2,0,0.0,0,0.0,78,5.4
"04012","1","1028","73","0","2019","1","","La Paz County, Arizona","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,119,89,89,1449953,0,0,1127,"",6.98,1.94,1.43,1.44,1.73,0.00,0.00,1.08,"",0,0.0,22,22.7,-8,-8.2,-11,-11.0,-356314,-19.7,0,0.0,0,0.0,-291,-20.5
"04012","1","1028","73","0","2019","2","","La Paz County, Arizona","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,87,91,93,1434309,0,0,1221,"",7.05,1.41,1.46,1.47,1.44,0.00,0.00,1.00,"",0,0.0,-9,-9.4,-5,-5.2,-4,-4.1,-88049,-5.8,0,0.0,0,0.0,5,0.4
"04012","1","48-49","74","0","2019","1","","La Paz County, Arizona","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,29,27,27,354774,0,0,986,"",5.74,1.16,1.07,1.07,1.55,0.00,0.00,1.42,"",1,20.0,4,16.0,-1,-3.6,-1,-3.6,9522,2.8,0,0.0,0,0.0,2,0.2
"04012","1","48-49","74","0","2019","2","","La Paz County, Arizona","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,30,30,29,391888,0,0,1016,"",5.79,1.19,1.19,1.13,1.37,0.00,0.00,1.17,"",0,0.0,2,7.1,1,3.4,1,3.6,20620,5.6,0,0.0,0,0.0,8,0.8
"04012","1","491","75","0","2019","1","","La Paz County, Arizona","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,29,27,27,354774,0,0,986,"",5.78,1.18,1.09,1.09,1.63,0.00,0.00,1.45,"",1,20.0,4,16.0,-1,-3.6,-1,-3.6,9522,2.8,0,0.0,0,0.0,2,0.2
"04012","1","491","75","0","2019","2","","La Paz County, Arizona","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,30,30,29,391888,0,0,1016,"",5.83,1.22,1.21,1.16,1.42,0.00,0.00,1.19,"",0,0.0,2,7.1,1,3.4,1,3.6,20620,5.6,0,0.0,0,0.0,8,0.8
"04012","1","4911","76","0","2019","1","","La Paz County, Arizona","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,29,27,27,354774,0,0,986,"",5.78,1.18,1.09,1.09,1.63,0.00,0.00,1.45,"",1,20.0,4,16.0,-1,-3.6,-1,-3.6,9522,2.8,0,0.0,0,0.0,2,0.2
"04012","1","4911","76","0","2019","2","","La Paz County, Arizona","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,30,30,29,391888,0,0,1016,"",5.83,1.22,1.21,1.16,1.42,0.00,0.00,1.19,"",0,0.0,2,7.1,1,3.4,1,3.6,20620,5.6,0,0.0,0,0.0,8,0.8
"04012","1","49111","77","0","2019","1","","La Paz County, Arizona","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,29,27,27,354774,0,0,986,"",5.78,1.18,1.09,1.09,1.63,0.00,0.00,1.45,"",1,20.0,4,16.0,-1,-3.6,-1,-3.6,9522,2.8,0,0.0,0,0.0,2,0.2
"04012","1","49111","77","0","2019","2","","La Paz County, Arizona","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,30,30,29,391888,0,0,1016,"",5.83,1.22,1.21,1.16,1.42,0.00,0.00,1.19,"",0,0.0,2,7.1,1,3.4,1,3.6,20620,5.6,0,0.0,0,0.0,8,0.8
"04012","1","491110","78","0","2019","1","","La Paz County, Arizona","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,29,27,27,354774,0,0,986,"",5.78,1.18,1.09,1.09,1.63,0.00,0.00,1.45,"",1,20.0,4,16.0,-1,-3.6,-1,-3.6,9522,2.8,0,0.0,0,0.0,2,0.2
