"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04021","0","10","70","0","2019","1","","Pinal County, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3305,63132,63871,64043,684705132,246372576,3400920,827,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",141,4.5,1288,2.1,1279,2.0,1046,1.7,18367636,2.8,6332017,2.6,-1435492,-29.7,7,0.9
"04021","0","10","70","0","2019","2","","Pinal County, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3306,63326,63335,61880,697105797,61114390,863402,853,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",136,4.3,943,1.5,1072,1.7,468,0.8,27166827,4.1,1343480,2.2,-264046,-23.4,22,2.6
"04021","1","10","71","0","2019","1","","Pinal County, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",39,1516,1515,1511,31433030,0,0,1597,"",2.00,1.25,1.24,1.24,1.86,0.00,0.00,1.50,"",1,2.6,-63,-4.0,-49,-3.1,-37,-2.4,-3931335,-11.1,0,0.0,0,0.0,-143,-8.2
"04021","1","10","71","0","2019","2","","Pinal County, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",39,1483,1467,1484,31720413,0,0,1651,"",2.02,1.23,1.22,1.26,1.61,0.00,0.00,1.30,"",1,2.6,-60,-3.9,-77,-5.0,-72,-4.6,-9391,0.0,0,0.0,0,0.0,74,4.7
"04021","1","102","72","0","2019","1","","Pinal County, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",39,1516,1515,1511,31433030,0,0,1597,"",2.01,1.28,1.26,1.26,1.89,0.00,0.00,1.50,"",1,2.6,-63,-4.0,-49,-3.1,-37,-2.4,-3931335,-11.1,0,0.0,0,0.0,-143,-8.2
"04021","1","102","72","0","2019","2","","Pinal County, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",39,1483,1467,1484,31720413,0,0,1651,"",2.03,1.26,1.25,1.29,1.64,0.00,0.00,1.30,"",1,2.6,-60,-3.9,-77,-5.0,-72,-4.6,-9391,0.0,0,0.0,0,0.0,74,4.7
"04021","1","1021","73","0","2019","1","","Pinal County, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,354,354,358,5148671,0,0,1115,"",1.63,1.21,1.20,1.21,1.71,0.00,0.00,1.41,"",0,0.0,-12,-3.3,0,0.0,7,2.0,-26607,-0.5,0,0.0,0,0.0,0,0.0
"04021","1","1021","73","0","2019","2","","Pinal County, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,343,358,356,5647316,0,0,1233,"",1.64,1.19,1.24,1.27,1.55,0.00,0.00,1.26,"",0,0.0,-5,-1.4,-1,-0.3,5,1.4,30472,0.5,0,0.0,0,0.0,8,0.7
"04021","1","1023","73","0","2019","1","","Pinal County, Arizona","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,47300,0,0,3638,"",3.89,0.19,0.19,0.19,0.46,0.00,0.00,2.42,"",0,0.0,0,0.0,0,0.0,0,0.0,1897,4.2,0,0.0,0,0.0,145,4.2
"04021","1","1023","73","0","2019","2","","Pinal County, Arizona","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,47498,0,0,3654,"",3.96,0.19,0.20,0.20,0.42,0.00,0.00,2.15,"",0,0.0,0,0.0,0,0.0,0,0.0,-1644,-3.3,0,0.0,0,0.0,-126,-3.3
