"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04023","0","10","70","0","2019","1","","Santa Cruz County, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1176,14034,14048,13957,157446517,61433731,2231077,864,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,0.7,400,2.9,361,2.6,273,2.0,-353120,-0.2,1754844,2.9,-275103,-11.0,-24,-2.7
"04023","0","10","70","0","2019","2","","Santa Cruz County, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1182,13764,13818,13694,162663747,15392071,475595,909,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.0,100,0.7,199,1.5,401,3.0,8891953,5.8,539837,3.6,-36170,-7.1,34,3.9
"04023","1","10","71","0","2019","1","","Santa Cruz County, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,1633,1661,1670,39382338,0,0,1831,"",2.74,6.08,6.17,6.27,10.13,0.00,0.00,1.64,"",1,5.6,81,5.2,105,6.7,111,7.1,-3957319,-9.1,0,0.0,0,0.0,-312,-14.6
"04023","1","10","71","0","2019","2","","Santa Cruz County, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,1669,1687,1697,40063027,0,0,1830,"",2.75,6.39,6.45,6.53,8.71,0.00,0.00,1.35,"",1,5.6,92,5.8,126,8.1,126,8.0,2935055,7.9,0,0.0,0,0.0,11,0.6
"04023","1","102","72","0","2019","1","","Santa Cruz County, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,1633,1661,1670,39382338,0,0,1831,"",2.75,6.19,6.29,6.39,10.32,0.00,0.00,1.64,"",1,5.6,81,5.2,105,6.7,111,7.1,-3957319,-9.1,0,0.0,0,0.0,-312,-14.6
"04023","1","102","72","0","2019","2","","Santa Cruz County, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,1669,1687,1697,40063027,0,0,1830,"",2.76,6.51,6.57,6.66,8.88,0.00,0.00,1.35,"",1,5.6,92,5.8,126,8.1,126,8.0,2935055,7.9,0,0.0,0,0.0,11,0.6
"04023","1","1021","73","0","2019","1","","Santa Cruz County, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,45,47,48,613712,0,0,1012,"",1.43,0.69,0.72,0.75,0.88,0.00,0.00,1.23,"",1,25.0,-2,-4.3,2,4.4,4,9.1,9873,1.6,0,0.0,0,0.0,-13,-1.3
"04023","1","1021","73","0","2019","2","","Santa Cruz County, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,47,49,49,731810,0,0,1165,"",1.44,0.75,0.78,0.79,0.86,0.00,0.00,1.12,"",1,25.0,0,0.0,4,8.9,7,16.7,69156,10.4,0,0.0,0,0.0,24,2.1
"04023","1","1026","73","0","2019","1","","Santa Cruz County, Arizona","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,14,14,14,214028,0,0,1176,"",5.68,3.25,3.22,3.23,5.56,0.00,0.00,1.72,"",0,0.0,8,133.3,2,16.7,1,7.7,18673,9.6,0,0.0,0,0.0,-278,-19.1
"04023","1","1026","73","0","2019","2","","Santa Cruz County, Arizona","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,15,15,15,187055,0,0,959,"",5.73,3.49,3.21,3.12,4.29,0.00,0.00,1.32,"",0,0.0,4,36.4,3,25.0,2,15.4,15018,8.7,0,0.0,0,0.0,-144,-13.1
