"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04027","0","10","70","0","2019","1","","Yuma County, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3296,78108,76534,75063,729786802,340359485,17601503,733,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",124,3.9,1279,1.7,1522,2.0,1071,1.4,22194516,3.1,6858284,2.1,-2996523,-14.5,10,1.4
"04027","0","10","70","0","2019","2","","Yuma County, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",3316,67833,60904,59403,653767851,70685373,2764362,802,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",119,3.7,2816,4.3,705,1.2,262,0.4,32203838,5.2,-714068,-1.0,-669580,-19.5,24,3.1
"04027","1","10","71","0","2019","1","","Yuma County, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",57,3575,3572,3567,65596493,0,0,1413,"",2.94,2.39,2.44,2.49,3.64,0.00,0.00,1.49,"",2,3.6,112,3.2,85,2.4,111,3.2,-3744273,-5.4,0,0.0,0,0.0,-125,-8.1
"04027","1","10","71","0","2019","2","","Yuma County, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",56,3616,3629,3620,67893522,0,0,1442,"",2.89,2.81,3.15,3.21,3.67,0.00,0.00,1.21,"",1,1.8,104,3.0,126,3.6,85,2.4,3004442,4.6,0,0.0,0,0.0,23,1.6
"04027","1","102","72","0","2019","1","","Yuma County, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",57,3575,3572,3567,65596493,0,0,1413,"",2.94,2.44,2.48,2.54,3.71,0.00,0.00,1.49,"",2,3.6,112,3.2,85,2.4,111,3.2,-3744273,-5.4,0,0.0,0,0.0,-125,-8.1
"04027","1","102","72","0","2019","2","","Yuma County, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",56,3616,3629,3620,67893522,0,0,1442,"",2.90,2.86,3.21,3.28,3.74,0.00,0.00,1.21,"",1,1.8,104,3.0,126,3.6,85,2.4,3004442,4.6,0,0.0,0,0.0,23,1.6
"04027","1","1021","73","0","2019","1","","Yuma County, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,607,604,596,5276184,0,0,674,"",0.92,1.68,1.71,1.73,1.64,0.00,0.00,0.96,"",0,0.0,14,2.4,8,1.3,12,2.1,155631,3.0,0,0.0,0,0.0,8,1.2
"04027","1","1021","73","0","2019","2","","Yuma County, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,617,618,606,6131269,0,0,769,"",0.82,1.99,2.23,2.25,1.80,0.00,0.00,0.84,"",-1,-11.1,5,0.8,11,1.8,6,1.0,212383,3.6,0,0.0,0,0.0,18,2.4
"04027","1","1023","73","0","2019","1","","Yuma County, Arizona","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,99230,0,0,1272,"",3.90,0.92,0.95,0.97,0.91,0.00,0.00,0.96,"",0,0.0,-1,-14.3,-1,-14.3,-1,-14.3,-24477,-19.8,0,0.0,0,0.0,-87,-6.4
"04027","1","1023","73","0","2019","2","","Yuma County, Arizona","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,102143,0,0,1310,"",3.95,1.08,1.22,1.24,0.96,0.00,0.00,0.82,"",0,0.0,0,0.0,0,0.0,0,0.0,4717,4.8,0,0.0,0,0.0,61,4.9
"04027","1","1024","73","0","2019","1","","Yuma County, Arizona","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",4,19,19,19,311764,0,0,1262,"",8.45,0.53,0.55,0.56,0.64,0.00,0.00,1.17,"",0,0.0,1,5.6,1,5.6,1,5.6,10567,3.5,0,0.0,0,0.0,-25,-1.9
"04027","1","1024","73","0","2019","2","","Yuma County, Arizona","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",4,18,19,20,359897,0,0,1457,"",8.45,0.59,0.69,0.74,0.78,0.00,0.00,1.16,"",0,0.0,0,0.0,1,5.6,2,11.1,-14572,-3.9,0,0.0,0,0.0,-143,-8.9
"04027","1","1025","73","0","2019","1","","Yuma County, Arizona","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,70,68,69,1024346,0,0,1142,"",11.32,0.31,0.31,0.32,0.39,0.00,0.00,1.23,"",0,0.0,-12,-14.6,-13,-16.0,-13,-15.9,-100643,-8.9,0,0.0,0,0.0,82,7.7
"04027","1","1025","73","0","2019","2","","Yuma County, Arizona","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,69,70,68,1192966,0,0,1330,"",11.36,0.36,0.41,0.41,0.42,0.00,0.00,1.07,"",0,0.0,2,3.0,3,4.5,-3,-4.2,49333,4.3,0,0.0,0,0.0,43,3.3
"04027","1","1026","73","0","2019","1","","Yuma County, Arizona","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",6,133,138,137,950187,0,0,537,"",12.15,5.55,5.83,5.88,5.33,0.00,0.00,0.93,"",0,0.0,36,37.1,24,21.1,22,19.1,102853,12.1,0,0.0,0,0.0,-63,-10.5
"04027","1","1026","73","0","2019","2","","Yuma County, Arizona","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",6,144,142,132,1177537,0,0,650,"",12.24,6.79,6.89,6.33,6.73,0.00,0.00,1.01,"",0,0.0,26,22.0,27,23.5,18,15.8,224104,23.5,0,0.0,0,0.0,16,2.5
"04027","1","1028","73","0","2019","1","","Yuma County, Arizona","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",32,2740,2737,2740,57934782,0,0,1627,"",4.09,3.39,3.44,3.54,5.28,0.00,0.00,1.53,"",2,6.7,74,2.8,66,2.5,90,3.4,-3888204,-6.3,0,0.0,0,0.0,-159,-8.9
"04027","1","1028","73","0","2019","2","","Yuma County, Arizona","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",32,2762,2774,2788,58929710,0,0,1634,"",4.10,3.96,4.44,4.56,5.33,0.00,0.00,1.24,"",2,6.7,71,2.6,84,3.1,62,2.3,2528477,4.5,0,0.0,0,0.0,29,1.8
"04027","1","44-45","74","0","2019","1","","Yuma County, Arizona","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",3,419,420,410,2790601,0,0,516,"",13.92,17.46,18.00,18.15,24.40,0.00,0.00,1.37,"",0,0.0,11,2.7,7,1.7,7,1.7,93522,3.5,0,0.0,0,0.0,8,1.6
"04027","1","44-45","74","0","2019","2","","Yuma County, Arizona","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,431,425,411,3349051,0,0,610,"",9.30,21.29,23.57,23.44,29.21,0.00,0.00,1.29,"",-1,-33.3,5,1.2,0,0.0,-3,-0.7,155588,4.9,0,0.0,0,0.0,27,4.6
"04027","1","452","75","0","2019","1","","Yuma County, Arizona","Federal Government","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,419,420,410,2790601,0,0,516,"",22.25,25.84,26.64,26.94,37.46,0.00,0.00,1.42,"",0,0.0,12,2.9,8,1.9,8,2.0,101752,3.8,0,0.0,0,0.0,8,1.6
"04027","1","452","75","0","2019","2","","Yuma County, Arizona","Federal Government","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,431,425,411,3349051,0,0,610,"",22.16,31.44,34.78,34.46,47.79,0.00,0.00,1.43,"",0,0.0,6,1.4,1,0.2,-2,-0.5,164866,5.2,0,0.0,0,0.0,28,4.8
"04027","1","4522","76","0","2019","1","","Yuma County, Arizona","Federal Government","NAICS 4522 Department stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,413,414,404,2762585,0,0,518,"",15.18,37.33,38.53,39.03,54.50,0.00,0.00,1.43,"",0,0.0,12,3.0,8,2.0,8,2.0,101708,3.8,0,0.0,0,0.0,8,1.6
"04027","1","4522","76","0","2019","2","","Yuma County, Arizona","Federal Government","NAICS 4522 Department stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,425,419,405,3321035,0,0,614,"",15.23,45.77,50.70,50.21,69.27,0.00,0.00,1.42,"",0,0.0,6,1.4,1,0.2,-2,-0.5,164892,5.2,0,0.0,0,0.0,29,5.0
"04027","1","45221","77","0","2019","1","","Yuma County, Arizona","Federal Government","NAICS 45221 Department stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,413,414,404,2762585,0,0,518,"",15.18,37.33,38.53,39.03,54.50,0.00,0.00,1.43,"",0,0.0,12,3.0,8,2.0,8,2.0,101708,3.8,0,0.0,0,0.0,8,1.6
"04027","1","45221","77","0","2019","2","","Yuma County, Arizona","Federal Government","NAICS 45221 Department stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,425,419,405,3321035,0,0,614,"",15.23,45.77,50.70,50.21,69.27,0.00,0.00,1.42,"",0,0.0,6,1.4,1,0.2,-2,-0.5,164892,5.2,0,0.0,0,0.0,29,5.0
"04027","1","452210","78","0","2019","1","","Yuma County, Arizona","Federal Government","NAICS 452210 Department stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,413,414,404,2762585,0,0,518,"",15.18,37.33,38.53,39.03,54.50,0.00,0.00,1.43,"",0,0.0,12,3.0,8,2.0,8,2.0,101708,3.8,0,0.0,0,0.0,8,1.6
"04027","1","452210","78","0","2019","2","","Yuma County, Arizona","Federal Government","NAICS 452210 Department stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,425,419,405,3321035,0,0,614,"",15.23,45.77,50.70,50.21,69.27,0.00,0.00,1.42,"",0,0.0,6,1.4,1,0.2,-2,-0.5,164892,5.2,0,0.0,0,0.0,29,5.0
"04027","1","4523","76","0","2019","1","","Yuma County, Arizona","Federal Government","NAICS 4523 General merchandise stores, including warehouse clubs and supercenters","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,28016,0,0,359,"",41.63,1.16,1.19,1.23,1.18,0.00,0.00,0.98,"",0,0.0,0,0.0,0,0.0,0,0.0,44,0.2,0,0.0,0,0.0,0,0.0
"04027","1","4523","76","0","2019","2","","Yuma County, Arizona","Federal Government","NAICS 4523 General merchandise stores, including warehouse clubs and supercenters","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,28016,0,0,359,"",40.68,1.36,1.52,1.55,1.27,0.00,0.00,0.86,"",0,0.0,0,0.0,0,0.0,0,0.0,-26,-0.1,0,0.0,0,0.0,-1,-0.3
"04027","1","45231","77","0","2019","1","","Yuma County, Arizona","Federal Government","NAICS 45231 General merchandise stores, including warehouse clubs and supercenters","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,28016,0,0,359,"",41.63,1.16,1.19,1.23,1.18,0.00,0.00,0.98,"",0,0.0,0,0.0,0,0.0,0,0.0,44,0.2,0,0.0,0,0.0,0,0.0
"04027","1","45231","77","0","2019","2","","Yuma County, Arizona","Federal Government","NAICS 45231 General merchandise stores, including warehouse clubs and supercenters","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,28016,0,0,359,"",40.68,1.36,1.52,1.55,1.27,0.00,0.00,0.86,"",0,0.0,0,0.0,0,0.0,0,0.0,-26,-0.1,0,0.0,0,0.0,-1,-0.3
"04027","1","452319","78","0","2019","1","","Yuma County, Arizona","Federal Government","NAICS 452319 All other general merchandise stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,28016,0,0,359,"",70.02,2.90,2.98,3.08,5.49,0.00,0.00,1.84,"",0,0.0,0,0.0,0,0.0,0,0.0,44,0.2,0,0.0,0,0.0,0,0.0
"04027","1","452319","78","0","2019","2","","Yuma County, Arizona","Federal Government","NAICS 452319 All other general merchandise stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,6,28016,0,0,359,"",67.21,3.32,3.71,3.82,5.47,0.00,0.00,1.52,"",0,0.0,0,0.0,0,0.0,0,0.0,-26,-0.1,0,0.0,0,0.0,-1,-0.3
"04027","1","453","75","0","2019","1","","Yuma County, Arizona","Federal Government","NAICS 453 Miscellaneous store retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",146.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-8230,-100.0,0,0.0,0,0.0,-633,-100.0
"04027","1","453","75","0","2019","2","-","Yuma County, Arizona","Federal Government","NAICS 453 Miscellaneous store retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04027","1","4539","76","0","2019","1","","Yuma County, Arizona","Federal Government","NAICS 4539 Other miscellaneous store retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",171.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-1,-100.0,-1,-100.0,-8230,-100.0,0,0.0,0,0.0,-633,-100.0
"04027","1","4539","76","0","2019","2","-","Yuma County, Arizona","Federal Government","NAICS 4539 Other miscellaneous store retailers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
