"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"04999","0","10","70","0","2019","1","","Unknown Or Undefined, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",14108,31430,31805,31853,801511725,237967901,4988113,1945,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1422,-9.2,3008,10.6,2892,10.0,2709,9.3,91726726,12.9,19272113,8.8,-639120,-11.4,51,2.7
"04999","0","10","70","0","2019","2","","Unknown Or Undefined, Arizona","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",14128,32769,33094,32912,734243593,42213092,974566,1715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1025,-6.8,3737,12.9,3872,13.3,3868,13.3,98801439,15.5,1786326,4.4,-106329,-9.8,35,2.1
"04999","1","10","71","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",38,713,746,765,16157375,0,0,1677,"",0.46,1.18,1.22,1.26,0.82,0.00,0.00,0.67,"",5,15.2,237,49.8,256,52.2,266,53.3,5982727,58.8,0,0.0,0,0.0,74,4.6
"04999","1","10","71","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",37,741,753,773,18894436,0,0,1923,"",0.45,1.19,1.20,1.24,0.91,0.00,0.00,0.75,"",3,8.8,198,36.5,210,38.7,206,36.3,6334915,50.4,0,0.0,0,0.0,170,9.7
"04999","1","102","72","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",38,713,746,765,16157375,0,0,1677,"",0.46,1.21,1.25,1.28,0.83,0.00,0.00,0.67,"",5,15.2,237,49.8,256,52.2,266,53.3,5982727,58.8,0,0.0,0,0.0,74,4.6
"04999","1","102","72","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",37,741,753,773,18894436,0,0,1923,"",0.45,1.21,1.22,1.26,0.93,0.00,0.00,0.75,"",3,8.8,198,36.5,210,38.7,206,36.3,6334915,50.4,0,0.0,0,0.0,170,9.7
"04999","1","1021","73","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,226140,0,0,2485,"",0.02,0.05,0.05,0.05,0.06,0.00,0.00,1.34,"",0,0.0,-1,-12.5,-1,-12.5,-1,-12.5,-5092,-2.2,0,0.0,0,0.0,262,11.8
"04999","1","1021","73","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,8,9,277762,0,0,2671,"",0.02,0.05,0.05,0.06,0.07,0.00,0.00,1.36,"",0,0.0,0,0.0,1,14.3,2,28.6,13953,5.3,0,0.0,0,0.0,-228,-7.9
"04999","1","1023","73","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,104489,0,0,1340,"",0.91,2.29,2.29,2.29,0.87,0.00,0.00,0.38,"",0,0.0,0,0.0,0,0.0,0,0.0,-9706,-8.5,0,0.0,0,0.0,-124,-8.5
"04999","1","1023","73","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,101620,0,0,1303,"",0.93,2.24,2.24,2.23,0.85,0.00,0.00,0.38,"",0,0.0,0,0.0,1,20.0,1,20.0,10042,11.0,0,0.0,0,0.0,-18,-1.4
"04999","1","1024","73","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,4,4,4,108430,0,0,2085,"",0.99,0.28,0.28,0.28,0.20,0.00,0.00,0.73,"",0,0.0,1,33.3,0,0.0,0,0.0,22071,25.6,0,0.0,0,0.0,273,15.1
"04999","1","1024","73","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,3,3,2,92615,0,0,2672,"",0.99,0.20,0.20,0.13,0.18,0.00,0.00,1.00,"",0,0.0,-1,-25.0,-1,-25.0,-2,-50.0,-18375,-16.6,0,0.0,0,0.0,538,25.2
"04999","1","1025","73","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,7,7,8,138934,0,0,1457,"",1.59,0.08,0.08,0.09,0.05,0.00,0.00,0.59,"",0,0.0,1,16.7,1,16.7,2,33.3,61026,78.3,0,0.0,0,0.0,458,45.8
"04999","1","1025","73","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,8,8,6,136671,0,0,1434,"",1.60,0.09,0.09,0.06,0.04,0.00,0.00,0.54,"",0,0.0,2,33.3,2,33.3,0,0.0,54416,66.2,0,0.0,0,0.0,379,35.9
"04999","1","1026","73","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,5,6,6,39923,0,0,542,"",0.47,0.52,0.61,0.61,0.20,0.00,0.00,0.35,"",0,0.0,0,0.0,2,50.0,2,50.0,11018,38.1,0,0.0,0,0.0,29,5.7
"04999","1","1026","73","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,13,54762,0,0,505,"",0.48,0.59,0.54,1.12,0.28,0.00,0.00,0.37,"",0,0.0,2,50.0,1,20.0,5,62.5,9480,20.9,0,0.0,0,0.0,-110,-17.9
"04999","1","1028","73","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",30,684,716,734,15539459,0,0,1680,"",0.90,2.10,2.17,2.23,1.29,0.00,0.00,0.59,"",5,20.0,236,52.7,254,55.0,263,55.8,5903410,61.3,0,0.0,0,0.0,70,4.3
"04999","1","1028","73","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",29,711,722,737,18231006,0,0,1939,"",0.87,2.11,2.13,2.18,1.47,0.00,0.00,0.69,"",3,11.5,195,37.8,206,39.9,200,37.2,6265399,52.4,0,0.0,0,0.0,179,10.2
"04999","1","48-49","74","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,7,7,226140,0,0,2485,"",0.02,0.05,0.05,0.05,0.07,0.00,0.00,1.32,"",0,0.0,-1,-12.5,-1,-12.5,-1,-12.5,-5092,-2.2,0,0.0,0,0.0,262,11.8
"04999","1","48-49","74","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,8,9,277762,0,0,2671,"",0.02,0.05,0.06,0.07,0.08,0.00,0.00,1.34,"",0,0.0,0,0.0,1,14.3,2,28.6,13953,5.3,0,0.0,0,0.0,-228,-7.9
"04999","1","491","75","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,7,7,226140,0,0,2485,"",0.02,0.05,0.05,0.05,0.07,0.00,0.00,1.35,"",0,0.0,-1,-12.5,-1,-12.5,-1,-12.5,-5092,-2.2,0,0.0,0,0.0,262,11.8
"04999","1","491","75","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,8,9,277762,0,0,2671,"",0.02,0.05,0.06,0.07,0.08,0.00,0.00,1.36,"",0,0.0,0,0.0,1,14.3,2,28.6,13953,5.3,0,0.0,0,0.0,-228,-7.9
"04999","1","4911","76","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,7,7,226140,0,0,2485,"",0.02,0.05,0.05,0.05,0.07,0.00,0.00,1.35,"",0,0.0,-1,-12.5,-1,-12.5,-1,-12.5,-5092,-2.2,0,0.0,0,0.0,262,11.8
"04999","1","4911","76","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,8,9,277762,0,0,2671,"",0.02,0.05,0.06,0.07,0.08,0.00,0.00,1.36,"",0,0.0,0,0.0,1,14.3,2,28.6,13953,5.3,0,0.0,0,0.0,-228,-7.9
"04999","1","49111","77","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,7,7,226140,0,0,2485,"",0.02,0.05,0.05,0.05,0.07,0.00,0.00,1.35,"",0,0.0,-1,-12.5,-1,-12.5,-1,-12.5,-5092,-2.2,0,0.0,0,0.0,262,11.8
"04999","1","49111","77","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,8,9,277762,0,0,2671,"",0.02,0.05,0.06,0.07,0.08,0.00,0.00,1.36,"",0,0.0,0,0.0,1,14.3,2,28.6,13953,5.3,0,0.0,0,0.0,-228,-7.9
"04999","1","491110","78","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,7,7,226140,0,0,2485,"",0.02,0.05,0.05,0.05,0.07,0.00,0.00,1.35,"",0,0.0,-1,-12.5,-1,-12.5,-1,-12.5,-5092,-2.2,0,0.0,0,0.0,262,11.8
"04999","1","491110","78","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,8,9,277762,0,0,2671,"",0.02,0.05,0.06,0.07,0.08,0.00,0.00,1.36,"",0,0.0,0,0.0,1,14.3,2,28.6,13953,5.3,0,0.0,0,0.0,-228,-7.9
"04999","1","52","74","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,104489,0,0,1340,"",0.92,2.30,2.29,2.29,0.87,0.00,0.00,0.38,"",0,0.0,0,0.0,0,0.0,0,0.0,-9706,-8.5,0,0.0,0,0.0,-124,-8.5
"04999","1","52","74","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,6,6,101620,0,0,1303,"",0.93,2.24,2.25,2.24,0.85,0.00,0.00,0.38,"",0,0.0,0,0.0,1,20.0,1,20.0,10042,11.0,0,0.0,0,0.0,-18,-1.4
"04999","1","522","75","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,104489,0,0,1340,"",1.11,4.96,4.92,4.95,2.37,0.00,0.00,0.48,"",0,0.0,0,0.0,0,0.0,0,0.0,-9706,-8.5,0,0.0,0,0.0,-124,-8.5
"04999","1","522","75","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,6,6,101620,0,0,1303,"",1.13,4.83,4.83,4.82,2.30,0.00,0.00,0.48,"",0,0.0,0,0.0,1,20.0,1,20.0,10042,11.0,0,0.0,0,0.0,-18,-1.4
"04999","1","5222","76","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,104489,0,0,1340,"",1.11,4.96,4.92,4.95,2.37,0.00,0.00,0.48,"",0,0.0,0,0.0,0,0.0,0,0.0,-9706,-8.5,0,0.0,0,0.0,-124,-8.5
"04999","1","5222","76","0","2019","2","","Unknown Or Undefined, Arizona","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,6,6,101620,0,0,1303,"",1.13,4.83,4.83,4.82,2.30,0.00,0.00,0.48,"",0,0.0,0,0.0,1,20.0,1,20.0,10042,11.0,0,0.0,0,0.0,-18,-1.4
"04999","1","52229","77","0","2019","1","","Unknown Or Undefined, Arizona","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,6,104489,0,0,1340,"",1.11,4.96,4.92,4.95,2.37,0.00,0.00,0.48,"",0,0.0,0,0.0,0,0.0,0,0.0,-9706,-8.5,0,0.0,0,0.0,-124,-8.5
