"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05000","0","10","50","0","2019","1","","Arkansas -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",91248,1207031,1214736,1218372,14117689414,6729301702,100203807,895,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1364,1.5,13591,1.1,11793,1.0,8355,0.7,407289541,3.0,151952291,2.3,-489348,-0.5,18,2.1
"05000","0","10","50","0","2019","2","","Arkansas -- Statewide","Total Covered","10 Total, all industries","State, Total Covered","All establishment sizes",91924,1224243,1226596,1222534,13723644098,2283514220,33668737,862,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1809,2.0,9576,0.8,5583,0.5,6878,0.6,686961359,5.3,5133782,0.2,-1384337,-3.9,38,4.6
"05000","1","10","51","0","2019","1","","Arkansas -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1155,19995,20151,20059,335588695,0,0,1286,"",2.15,0.87,0.87,0.86,0.96,0.00,0.00,1.11,"",8,0.7,-12,-0.1,290,1.5,135,0.7,-2636885,-0.8,0,0.0,0,0.0,-19,-1.5
"05000","1","10","51","0","2019","2","","Arkansas -- Statewide","Federal Government","10 Total, all industries","State, Total -- by ownership sector","All establishment sizes",1160,20100,20162,20322,366795267,0,0,1397,"",2.16,0.86,0.87,0.88,0.94,0.00,0.00,1.09,"",11,1.0,231,1.2,244,1.2,120,0.6,12532969,3.5,0,0.0,0,0.0,34,2.5
"05000","1","102","52","0","2019","1","","Arkansas -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1155,19995,20151,20059,335588695,0,0,1286,"",2.15,0.88,0.88,0.88,0.98,0.00,0.00,1.11,"",8,0.7,-12,-0.1,290,1.5,135,0.7,-2636885,-0.8,0,0.0,0,0.0,-19,-1.5
"05000","1","102","52","0","2019","2","","Arkansas -- Statewide","Federal Government","102 Service-providing","State, by Domain -- by ownership sector","All establishment sizes",1160,20100,20162,20322,366795267,0,0,1397,"",2.17,0.88,0.88,0.89,0.96,0.00,0.00,1.09,"",11,1.0,231,1.2,244,1.2,120,0.6,12532969,3.5,0,0.0,0,0.0,34,2.5
"05000","1","1021","53","0","2019","1","","Arkansas -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",592,5574,5623,5631,68395110,0,0,938,"",2.19,1.00,1.00,1.00,1.10,0.00,0.00,1.10,"",0,0.0,-1,0.0,111,2.0,77,1.4,57563,0.1,0,0.0,0,0.0,-10,-1.1
"05000","1","1021","53","0","2019","2","","Arkansas -- Statewide","Federal Government","1021 Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",590,5617,5653,5656,78213701,0,0,1066,"",2.18,1.01,1.01,1.02,1.09,0.00,0.00,1.08,"",-1,-0.2,73,1.3,113,2.0,112,2.0,-986999,-1.2,0,0.0,0,0.0,-33,-3.0
"05000","1","1022","53","0","2019","1","","Arkansas -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,38,37,38,731901,0,0,1495,"",1.78,0.70,0.68,0.70,0.95,0.00,0.00,1.37,"",0,0.0,-2,-5.0,-1,-2.6,0,0.0,21526,3.0,0,0.0,0,0.0,82,5.8
"05000","1","1022","53","0","2019","2","","Arkansas -- Statewide","Federal Government","1022 Information","State, by Supersector -- by ownership sector","All establishment sizes",2,39,40,40,657154,0,0,1274,"",1.77,0.71,0.75,0.74,0.81,0.00,0.00,1.11,"",0,0.0,1,2.6,3,8.1,3,8.1,47584,7.8,0,0.0,0,0.0,18,1.4
