"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05001","0","10","70","0","2019","1","","Arkansas County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",825,10050,10140,10211,98210388,64275975,660274,745,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",48,6.2,572,6.0,576,6.0,589,6.1,5367799,5.8,4680247,7.9,21980,3.4,-2,-0.3
"05001","0","10","70","0","2019","2","","Arkansas County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",824,10283,10356,10315,107534201,21812277,253827,802,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,4.0,665,6.9,707,7.3,524,5.4,6994791,7.0,2522193,13.1,19331,8.2,4,0.5
"05001","1","10","71","0","2019","1","","Arkansas County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,170,168,167,2462942,0,0,1125,"",3.50,0.88,0.86,0.86,1.02,0.00,0.00,1.17,"",-1,-5.6,-11,-6.1,-10,-5.6,-6,-3.5,-275606,-10.1,0,0.0,0,0.0,-63,-5.3
"05001","1","10","71","0","2019","2","","Arkansas County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,168,173,177,2494027,0,0,1111,"",3.54,0.86,0.88,0.90,0.82,0.00,0.00,0.93,"",-1,-5.6,-11,-6.1,4,2.4,-8,-4.3,23857,1.0,0,0.0,0,0.0,42,3.9
"05001","1","102","72","0","2019","1","","Arkansas County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,170,168,167,2462942,0,0,1125,"",3.51,0.90,0.88,0.87,1.04,0.00,0.00,1.17,"",-1,-5.6,-11,-6.1,-10,-5.6,-6,-3.5,-275606,-10.1,0,0.0,0,0.0,-63,-5.3
"05001","1","102","72","0","2019","2","","Arkansas County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,168,173,177,2494027,0,0,1111,"",3.54,0.88,0.90,0.92,0.84,0.00,0.00,0.93,"",-1,-5.6,-11,-6.1,4,2.4,-8,-4.3,23857,1.0,0,0.0,0,0.0,42,3.9
"05001","1","1021","73","0","2019","1","","Arkansas County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,42,41,38,392824,0,0,749,"",3.68,0.90,0.88,0.81,0.91,0.00,0.00,1.05,"",0,0.0,1,2.4,2,5.1,2,5.6,-9229,-2.3,0,0.0,0,0.0,-51,-6.4
"05001","1","1021","73","0","2019","2","","Arkansas County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,37,40,41,473931,0,0,927,"",3.71,0.79,0.85,0.88,0.85,0.00,0.00,1.01,"",0,0.0,-2,-5.1,2,5.3,0,0.0,-48208,-9.2,0,0.0,0,0.0,-94,-9.2
"05001","1","1024","73","0","2019","1","","Arkansas County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,23,23,24,407129,0,0,1342,"",8.44,5.01,4.99,5.18,6.20,0.00,0.00,1.23,"",0,0.0,0,0.0,0,0.0,1,4.3,47511,13.2,0,0.0,0,0.0,139,11.6
"05001","1","1024","73","0","2019","2","","Arkansas County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,24,25,25,376760,0,0,1175,"",8.50,5.21,5.34,5.33,4.95,0.00,0.00,0.94,"",0,0.0,1,4.3,2,8.7,2,8.7,37885,11.2,0,0.0,0,0.0,42,3.7
"05001","1","1026","73","0","2019","1","","Arkansas County, Arkansas","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,9,9,10,141248,0,0,1164,"",8.09,2.92,2.87,3.16,5.88,0.00,0.00,1.97,"",0,0.0,-2,-18.2,-2,-18.2,-1,-9.1,-9112,-6.1,0,0.0,0,0.0,113,10.8
"05001","1","1026","73","0","2019","2","","Arkansas County, Arkansas","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,10,10,10,117145,0,0,901,"",8.21,3.11,2.85,2.76,4.07,0.00,0.00,1.40,"",0,0.0,-1,-9.1,-1,-9.1,-3,-23.1,-13608,-10.4,0,0.0,0,0.0,39,4.5
"05001","1","1028","73","0","2019","1","","Arkansas County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,96,95,95,1521741,0,0,1228,"",3.06,0.92,0.90,0.90,1.03,0.00,0.00,1.14,"",-1,-14.3,-10,-9.4,-10,-9.5,-8,-7.8,-304776,-16.7,0,0.0,0,0.0,-114,-8.5
