"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05007","0","10","70","0","2019","1","","Benton County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6707,119913,120810,121362,2333284840,924669779,11331574,1487,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",150,2.3,2010,1.7,1624,1.4,1651,1.4,13816635,0.6,13742791,1.5,155074,1.4,-13,-0.9
"05007","0","10","70","0","2019","2","","Benton County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",6785,121601,122181,122274,1898438824,287483163,3563297,1197,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",224,3.4,1664,1.4,2088,1.7,1894,1.6,292148807,18.2,10415388,3.8,106098,3.1,168,16.3
"05007","1","10","71","0","2019","1","","Benton County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,468,485,480,6314660,0,0,1017,"",0.73,0.20,0.21,0.21,0.11,0.00,0.00,0.53,"",-1,-3.3,8,1.7,30,6.6,21,4.6,-91452,-1.4,0,0.0,0,0.0,-59,-5.5
"05007","1","10","71","0","2019","2","","Benton County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,482,488,495,6738521,0,0,1061,"",0.76,0.21,0.21,0.21,0.13,0.00,0.00,0.59,"",0,0.0,25,5.5,28,6.1,23,4.9,32956,0.5,0,0.0,0,0.0,-53,-4.8
"05007","1","102","72","0","2019","1","","Benton County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,468,485,480,6314660,0,0,1017,"",0.74,0.21,0.21,0.21,0.11,0.00,0.00,0.53,"",-1,-3.3,8,1.7,30,6.6,21,4.6,-91452,-1.4,0,0.0,0,0.0,-59,-5.5
"05007","1","102","72","0","2019","2","","Benton County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,482,488,495,6738521,0,0,1061,"",0.76,0.21,0.21,0.22,0.13,0.00,0.00,0.59,"",0,0.0,25,5.5,28,6.1,23,4.9,32956,0.5,0,0.0,0,0.0,-53,-4.8
"05007","1","1021","73","0","2019","1","","Benton County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,316,332,327,3915079,0,0,927,"",0.90,0.57,0.60,0.59,0.38,0.00,0.00,0.65,"",0,0.0,14,4.6,37,12.5,30,10.1,129978,3.4,0,0.0,0,0.0,-50,-5.1
"05007","1","1021","73","0","2019","2","","Benton County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,328,324,328,4481386,0,0,1055,"",0.90,0.59,0.58,0.59,0.45,0.00,0.00,0.77,"",0,0.0,28,9.3,22,7.3,24,7.9,17286,0.4,0,0.0,0,0.0,-82,-7.2
"05007","1","1023","73","0","2019","1","","Benton County, Arkansas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,14093,0,0,1084,"",1.92,0.10,0.10,0.10,0.04,0.00,0.00,0.40,"",0,0.0,0,0.0,0,0.0,0,0.0,-2122,-13.1,0,0.0,0,0.0,-163,-13.1
"05007","1","1023","73","0","2019","2","","Benton County, Arkansas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,14790,0,0,1138,"",1.93,0.10,0.10,0.10,0.05,0.00,0.00,0.48,"",0,0.0,0,0.0,0,0.0,0,0.0,827,5.9,0,0.0,0,0.0,64,6.0
"05007","1","1024","73","0","2019","1","","Benton County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,19,21,21,340155,0,0,1287,"",1.04,0.35,0.38,0.38,0.22,0.00,0.00,0.59,"",0,0.0,-1,-5.0,1,5.0,1,5.0,11369,3.5,0,0.0,0,0.0,22,1.7
"05007","1","1024","73","0","2019","2","","Benton County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,31,31,370742,0,0,1031,"",1.03,0.39,0.56,0.56,0.28,0.00,0.00,0.55,"",0,0.0,1,5.0,11,55.0,6,24.0,13706,3.8,0,0.0,0,0.0,-237,-18.7
"05007","1","1026","73","0","2019","1","","Benton County, Arkansas","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,11,162611,0,0,1137,"",1.00,0.30,0.29,0.29,0.29,0.00,0.00,0.97,"",0,0.0,1,10.0,1,10.0,0,0.0,-5730,-3.4,0,0.0,0,0.0,-116,-9.3
"05007","1","1026","73","0","2019","2","","Benton County, Arkansas","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,11,13,14,168071,0,0,1021,"",1.00,0.29,0.31,0.33,0.33,0.00,0.00,1.06,"",0,0.0,0,0.0,1,8.3,0,0.0,21681,14.8,0,0.0,0,0.0,108,11.8
"05007","1","1028","73","0","2019","1","","Benton County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,121,120,120,1882722,0,0,1204,"",0.50,0.10,0.10,0.10,0.05,0.00,0.00,0.56,"",-1,-11.1,-6,-4.7,-9,-7.0,-10,-7.7,-224947,-10.7,0,0.0,0,0.0,-56,-4.4
"05007","1","1028","73","0","2019","2","","Benton County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,121,119,121,1703532,0,0,1089,"",0.56,0.10,0.09,0.10,0.05,0.00,0.00,0.55,"",0,0.0,-4,-3.2,-6,-4.8,-7,-5.5,-20544,-1.2,0,0.0,0,0.0,36,3.4
"05007","1","48-49","74","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,316,332,327,3915079,0,0,927,"",0.93,0.62,0.65,0.64,0.41,0.00,0.00,0.64,"",0,0.0,14,4.6,37,12.5,30,10.1,129978,3.4,0,0.0,0,0.0,-50,-5.1
"05007","1","48-49","74","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",18,328,324,328,4481386,0,0,1055,"",0.93,0.64,0.64,0.65,0.49,0.00,0.00,0.76,"",0,0.0,28,9.3,22,7.3,24,7.9,17286,0.4,0,0.0,0,0.0,-82,-7.2
"05007","1","491","75","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,316,332,327,3915079,0,0,927,"",0.94,0.64,0.66,0.65,0.43,0.00,0.00,0.66,"",0,0.0,14,4.6,37,12.5,30,10.1,129978,3.4,0,0.0,0,0.0,-50,-5.1
"05007","1","491","75","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",18,328,324,328,4481386,0,0,1055,"",0.93,0.66,0.65,0.66,0.50,0.00,0.00,0.77,"",0,0.0,28,9.3,22,7.3,24,7.9,17286,0.4,0,0.0,0,0.0,-82,-7.2
"05007","1","4911","76","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,316,332,327,3915079,0,0,927,"",0.94,0.64,0.66,0.65,0.43,0.00,0.00,0.66,"",0,0.0,14,4.6,37,12.5,30,10.1,129978,3.4,0,0.0,0,0.0,-50,-5.1
"05007","1","4911","76","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,328,324,328,4481386,0,0,1055,"",0.93,0.66,0.65,0.66,0.50,0.00,0.00,0.77,"",0,0.0,28,9.3,22,7.3,24,7.9,17286,0.4,0,0.0,0,0.0,-82,-7.2
"05007","1","49111","77","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,316,332,327,3915079,0,0,927,"",0.94,0.64,0.66,0.65,0.43,0.00,0.00,0.66,"",0,0.0,14,4.6,37,12.5,30,10.1,129978,3.4,0,0.0,0,0.0,-50,-5.1
"05007","1","49111","77","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,328,324,328,4481386,0,0,1055,"",0.93,0.66,0.65,0.66,0.50,0.00,0.00,0.77,"",0,0.0,28,9.3,22,7.3,24,7.9,17286,0.4,0,0.0,0,0.0,-82,-7.2
"05007","1","491110","78","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,316,332,327,3915079,0,0,927,"",0.94,0.64,0.66,0.65,0.43,0.00,0.00,0.66,"",0,0.0,14,4.6,37,12.5,30,10.1,129978,3.4,0,0.0,0,0.0,-50,-5.1
"05007","1","491110","78","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",18,328,324,328,4481386,0,0,1055,"",0.93,0.66,0.65,0.66,0.50,0.00,0.00,0.77,"",0,0.0,28,9.3,22,7.3,24,7.9,17286,0.4,0,0.0,0,0.0,-82,-7.2
"05007","1","52","74","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,14093,0,0,1084,"",1.93,0.10,0.10,0.10,0.04,0.00,0.00,0.40,"",0,0.0,0,0.0,0,0.0,0,0.0,-2122,-13.1,0,0.0,0,0.0,-163,-13.1
"05007","1","52","74","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,14790,0,0,1138,"",1.94,0.10,0.10,0.10,0.05,0.00,0.00,0.48,"",0,0.0,0,0.0,0,0.0,0,0.0,827,5.9,0,0.0,0,0.0,64,6.0
"05007","1","522","75","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,14093,0,0,1084,"",2.33,0.22,0.22,0.22,0.11,0.00,0.00,0.51,"",0,0.0,0,0.0,0,0.0,0,0.0,-2122,-13.1,0,0.0,0,0.0,-163,-13.1
"05007","1","522","75","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,14790,0,0,1138,"",2.35,0.22,0.22,0.22,0.13,0.00,0.00,0.60,"",0,0.0,0,0.0,0,0.0,0,0.0,827,5.9,0,0.0,0,0.0,64,6.0
"05007","1","5222","76","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,14093,0,0,1084,"",2.34,0.22,0.22,0.22,0.11,0.00,0.00,0.51,"",0,0.0,0,0.0,0,0.0,0,0.0,-2122,-13.1,0,0.0,0,0.0,-163,-13.1
"05007","1","5222","76","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 5222 Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,14790,0,0,1138,"",2.36,0.22,0.22,0.22,0.13,0.00,0.00,0.60,"",0,0.0,0,0.0,0,0.0,0,0.0,827,5.9,0,0.0,0,0.0,64,6.0
"05007","1","52229","77","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,14093,0,0,1084,"",2.34,0.22,0.22,0.22,0.11,0.00,0.00,0.51,"",0,0.0,0,0.0,0,0.0,0,0.0,-2122,-13.1,0,0.0,0,0.0,-163,-13.1
"05007","1","52229","77","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 52229 Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,14790,0,0,1138,"",2.36,0.22,0.22,0.22,0.13,0.00,0.00,0.60,"",0,0.0,0,0.0,0,0.0,0,0.0,827,5.9,0,0.0,0,0.0,64,6.0
"05007","1","522298","78","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,14093,0,0,1084,"",5.00,0.56,0.56,0.56,0.22,0.00,0.00,0.40,"",0,0.0,0,0.0,0,0.0,0,0.0,-2122,-13.1,0,0.0,0,0.0,-163,-13.1
"05007","1","522298","78","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 522298 All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,14790,0,0,1138,"",5.07,0.55,0.55,0.55,0.26,0.00,0.00,0.47,"",0,0.0,0,0.0,0,0.0,0,0.0,827,5.9,0,0.0,0,0.0,64,6.0
"05007","1","54","74","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,19,21,21,340155,0,0,1287,"",1.16,0.36,0.39,0.39,0.22,0.00,0.00,0.58,"",0,0.0,-1,-5.0,1,5.0,1,5.0,11369,3.5,0,0.0,0,0.0,22,1.7
"05007","1","54","74","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,31,31,370742,0,0,1031,"",1.16,0.40,0.58,0.57,0.28,0.00,0.00,0.54,"",0,0.0,1,5.0,11,55.0,6,24.0,13706,3.8,0,0.0,0,0.0,-237,-18.7
"05007","1","541","75","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,19,21,21,340155,0,0,1287,"",1.16,0.36,0.39,0.39,0.22,0.00,0.00,0.58,"",0,0.0,-1,-5.0,1,5.0,1,5.0,11369,3.5,0,0.0,0,0.0,22,1.7
"05007","1","541","75","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,31,31,370742,0,0,1031,"",1.16,0.40,0.58,0.57,0.28,0.00,0.00,0.54,"",0,0.0,1,5.0,11,55.0,6,24.0,13706,3.8,0,0.0,0,0.0,-237,-18.7
"05007","1","5413","76","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,19,21,21,340155,0,0,1287,"",1.90,0.46,0.51,0.51,0.29,0.00,0.00,0.59,"",0,0.0,-1,-5.0,1,5.0,1,5.0,11369,3.5,0,0.0,0,0.0,22,1.7
"05007","1","5413","76","0","2019","2","","Benton County, Arkansas","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,31,31,370742,0,0,1031,"",1.89,0.51,0.74,0.74,0.37,0.00,0.00,0.56,"",0,0.0,1,5.0,11,55.0,6,24.0,13706,3.8,0,0.0,0,0.0,-237,-18.7
"05007","1","54133","77","0","2019","1","","Benton County, Arkansas","Federal Government","NAICS 54133 Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,19,21,21,340155,0,0,1287,"",1.91,0.49,0.53,0.53,0.30,0.00,0.00,0.59,"",0,0.0,-1,-5.0,1,5.0,1,5.0,11369,3.5,0,0.0,0,0.0,22,1.7
