"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05015","0","10","70","0","2019","1","","Carroll County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",783,10151,10225,10487,78893385,53774028,489514,590,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-28,-3.5,2,0.0,30,0.3,38,0.4,1248120,1.6,-235839,-0.4,-12373,-2.5,8,1.4
"05015","0","10","70","0","2019","2","","Carroll County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",787,10786,10933,11000,84480475,23820500,288452,596,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-27,-3.3,259,2.5,46,0.4,-36,-0.3,3659296,4.5,843405,3.7,-34345,-10.6,21,3.7
"05015","1","10","71","0","2019","1","","Carroll County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,80,88,85,1109542,0,0,1012,"",2.38,0.41,0.45,0.42,0.57,0.00,0.00,1.33,"",-1,-8.3,-2,-2.4,5,6.0,4,4.9,12361,1.1,0,0.0,0,0.0,-17,-1.7
"05015","1","10","71","0","2019","2","","Carroll County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,90,85,84,1187301,0,0,1058,"",2.40,0.44,0.41,0.40,0.50,0.00,0.00,1.19,"",-1,-8.3,7,8.4,2,2.4,1,1.2,38326,3.3,0,0.0,0,0.0,-7,-0.7
"05015","1","102","72","0","2019","1","","Carroll County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,80,88,85,1109542,0,0,1012,"",2.39,0.42,0.46,0.43,0.58,0.00,0.00,1.33,"",-1,-8.3,-2,-2.4,5,6.0,4,4.9,12361,1.1,0,0.0,0,0.0,-17,-1.7
"05015","1","102","72","0","2019","2","","Carroll County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,90,85,84,1187301,0,0,1058,"",2.40,0.45,0.42,0.41,0.51,0.00,0.00,1.19,"",-1,-8.3,7,8.4,2,2.4,1,1.2,38326,3.3,0,0.0,0,0.0,-7,-0.7
"05015","1","1021","73","0","2019","1","","Carroll County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,54,57,55,583610,0,0,811,"",2.58,1.15,1.21,1.14,1.68,0.00,0.00,1.44,"",0,0.0,3,5.9,5,9.6,1,1.9,21112,3.8,0,0.0,0,0.0,-16,-1.9
"05015","1","1021","73","0","2019","2","","Carroll County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,59,54,54,669457,0,0,925,"",2.59,1.20,1.09,1.08,1.52,0.00,0.00,1.35,"",0,0.0,5,9.3,-1,-1.8,3,5.9,11850,1.8,0,0.0,0,0.0,-23,-2.4
"05015","1","1024","73","0","2019","1","","Carroll County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,148826,0,0,1908,"",8.89,1.29,1.29,1.26,2.82,0.00,0.00,2.20,"",0,0.0,1,20.0,1,20.0,1,20.0,29810,25.0,0,0.0,0,0.0,77,4.2
"05015","1","1024","73","0","2019","2","","Carroll County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,6,6,137182,0,0,1759,"",8.90,1.24,1.21,1.20,2.29,0.00,0.00,1.89,"",0,0.0,1,20.0,1,20.0,0,0.0,5104,3.9,0,0.0,0,0.0,-146,-7.7
