"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05025","0","10","70","0","2019","1","","Cleveland County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",131,1089,1081,1082,7957702,4642979,69164,565,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-3.7,43,4.1,28,2.7,29,2.8,-292172,-3.5,-108009,-2.3,-10723,-13.4,-39,-6.5
"05025","0","10","70","0","2019","2","","Cleveland County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",128,1055,1038,1037,8358437,1689005,26761,616,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5,-3.8,-15,-1.4,-41,-3.8,-50,-4.6,-180714,-2.1,-190190,-10.1,-9146,-25.5,7,1.1
"05025","1","10","71","0","2019","1","","Cleveland County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,12,12,12,107049,0,0,686,"",5.18,0.58,0.58,0.58,0.55,0.00,0.00,0.94,"",0,0.0,1,9.1,3,33.3,2,20.0,-959,-0.9,0,0.0,0,0.0,-145,-17.4
"05025","1","10","71","0","2019","2","","Cleveland County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,11,10,11,136132,0,0,982,"",5.36,0.55,0.51,0.56,0.58,0.00,0.00,1.07,"",0,0.0,1,10.0,-1,-9.1,0,0.0,14426,11.9,0,0.0,0,0.0,104,11.8
"05025","1","102","72","0","2019","1","","Cleveland County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,12,12,12,107049,0,0,686,"",5.19,0.59,0.59,0.59,0.56,0.00,0.00,0.94,"",0,0.0,1,9.1,3,33.3,2,20.0,-959,-0.9,0,0.0,0,0.0,-145,-17.4
"05025","1","102","72","0","2019","2","","Cleveland County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,11,10,11,136132,0,0,982,"",5.37,0.56,0.52,0.57,0.59,0.00,0.00,1.07,"",0,0.0,1,10.0,-1,-9.1,0,0.0,14426,11.9,0,0.0,0,0.0,104,11.8
"05025","1","1021","73","0","2019","1","","Cleveland County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,12,12,12,107049,0,0,686,"",7.72,2.38,2.40,2.41,3.05,0.00,0.00,1.27,"",0,0.0,1,9.1,3,33.3,2,20.0,-959,-0.9,0,0.0,0,0.0,-145,-17.4
"05025","1","1021","73","0","2019","2","","Cleveland County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,11,10,11,136132,0,0,982,"",7.96,2.29,2.12,2.34,3.13,0.00,0.00,1.39,"",0,0.0,1,10.0,-1,-9.1,0,0.0,14426,11.9,0,0.0,0,0.0,104,11.8
"05025","1","1028","73","0","2019","1","","Cleveland County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",3.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05025","1","1028","73","0","2019","2","","Cleveland County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05025","1","48-49","74","0","2019","1","","Cleveland County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,12,12,107049,0,0,686,"",7.93,2.60,2.62,2.63,3.28,0.00,0.00,1.25,"",0,0.0,1,9.1,3,33.3,2,20.0,-959,-0.9,0,0.0,0,0.0,-145,-17.4
"05025","1","48-49","74","0","2019","2","","Cleveland County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,11,10,11,136132,0,0,982,"",8.19,2.49,2.31,2.55,3.35,0.00,0.00,1.37,"",0,0.0,1,10.0,-1,-9.1,0,0.0,14426,11.9,0,0.0,0,0.0,104,11.8
"05025","1","491","75","0","2019","1","","Cleveland County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,12,12,107049,0,0,686,"",7.98,2.66,2.68,2.68,3.44,0.00,0.00,1.29,"",0,0.0,1,9.1,3,33.3,2,20.0,-959,-0.9,0,0.0,0,0.0,-145,-17.4
"05025","1","491","75","0","2019","2","","Cleveland County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,10,11,136132,0,0,982,"",8.24,2.55,2.36,2.61,3.48,0.00,0.00,1.39,"",0,0.0,1,10.0,-1,-9.1,0,0.0,14426,11.9,0,0.0,0,0.0,104,11.8
"05025","1","4911","76","0","2019","1","","Cleveland County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,12,12,12,107049,0,0,686,"",7.98,2.66,2.68,2.68,3.44,0.00,0.00,1.29,"",0,0.0,1,9.1,3,33.3,2,20.0,-959,-0.9,0,0.0,0,0.0,-145,-17.4
"05025","1","4911","76","0","2019","2","","Cleveland County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,11,10,11,136132,0,0,982,"",8.24,2.55,2.36,2.61,3.48,0.00,0.00,1.39,"",0,0.0,1,10.0,-1,-9.1,0,0.0,14426,11.9,0,0.0,0,0.0,104,11.8
"05025","1","49111","77","0","2019","1","","Cleveland County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,12,12,12,107049,0,0,686,"",7.98,2.66,2.68,2.68,3.44,0.00,0.00,1.29,"",0,0.0,1,9.1,3,33.3,2,20.0,-959,-0.9,0,0.0,0,0.0,-145,-17.4
"05025","1","49111","77","0","2019","2","","Cleveland County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,11,10,11,136132,0,0,982,"",8.24,2.55,2.36,2.61,3.48,0.00,0.00,1.39,"",0,0.0,1,10.0,-1,-9.1,0,0.0,14426,11.9,0,0.0,0,0.0,104,11.8
"05025","1","491110","78","0","2019","1","","Cleveland County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,12,12,12,107049,0,0,686,"",7.98,2.66,2.68,2.68,3.44,0.00,0.00,1.29,"",0,0.0,1,9.1,3,33.3,2,20.0,-959,-0.9,0,0.0,0,0.0,-145,-17.4
"05025","1","491110","78","0","2019","2","","Cleveland County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,11,10,11,136132,0,0,982,"",8.24,2.55,2.36,2.61,3.48,0.00,0.00,1.39,"",0,0.0,1,10.0,-1,-9.1,0,0.0,14426,11.9,0,0.0,0,0.0,104,11.8
"05025","1","92","74","0","2019","1","","Cleveland County, Arkansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",3.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05025","1","92","74","0","2019","2","","Cleveland County, Arkansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
