"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05029","0","10","70","0","2019","1","","Conway County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",537,6306,6374,6495,62041505,32014023,505212,747,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,0.9,-36,-0.6,14,0.2,128,2.0,-141508,-0.2,702965,2.2,-29791,-5.6,-6,-0.8
"05029","0","10","70","0","2019","2","","Conway County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",543,6512,6487,6617,64147806,11009356,172484,755,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.5,45,0.7,-85,-1.3,73,1.1,1520921,2.4,166033,1.5,-6895,-3.8,17,2.3
"05029","1","10","71","0","2019","1","","Conway County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,53,53,53,653202,0,0,948,"",4.43,0.44,0.43,0.43,0.43,0.00,0.00,0.98,"",1,7.7,1,1.9,-1,-1.9,-1,-1.9,3564,0.5,0,0.0,0,0.0,11,1.2
"05029","1","10","71","0","2019","2","","Conway County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,59,53,60,704996,0,0,946,"",4.42,0.48,0.43,0.48,0.39,0.00,0.00,0.84,"",0,0.0,6,11.3,-5,-8.6,5,9.1,6869,1.0,0,0.0,0,0.0,-25,-2.6
"05029","1","102","72","0","2019","1","","Conway County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,53,53,53,653202,0,0,948,"",4.44,0.45,0.44,0.44,0.43,0.00,0.00,0.98,"",1,7.7,1,1.9,-1,-1.9,-1,-1.9,3564,0.5,0,0.0,0,0.0,11,1.2
"05029","1","102","72","0","2019","2","","Conway County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,59,53,60,704996,0,0,946,"",4.43,0.49,0.44,0.49,0.40,0.00,0.00,0.84,"",0,0.0,6,11.3,-5,-8.6,5,9.1,6869,1.0,0,0.0,0,0.0,-25,-2.6
"05029","1","1021","73","0","2019","1","","Conway County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,35,34,34,350086,0,0,784,"",5.65,1.20,1.16,1.14,1.28,0.00,0.00,1.10,"",1,12.5,1,2.9,-2,-5.6,-2,-5.6,7673,2.2,0,0.0,0,0.0,39,5.2
"05029","1","1021","73","0","2019","2","","Conway County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,35,35,36,407859,0,0,888,"",5.63,1.18,1.19,1.20,1.22,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,-1,-2.7,-7416,-1.8,0,0.0,0,0.0,-8,-0.9
"05029","1","1024","73","0","2019","1","","Conway County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,119260,0,0,1311,"",12.96,2.43,2.42,2.38,2.88,0.00,0.00,1.20,"",0,0.0,1,16.7,1,16.7,1,16.7,29890,33.4,0,0.0,0,0.0,165,14.4
"05029","1","1024","73","0","2019","2","","Conway County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,7,7,109539,0,0,1204,"",12.91,2.40,2.39,2.32,2.41,0.00,0.00,1.02,"",0,0.0,1,16.7,0,0.0,1,16.7,14194,14.9,0,0.0,0,0.0,46,4.0
"05029","1","1028","73","0","2019","1","","Conway County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,11,12,12,183856,0,0,1212,"",3.14,0.17,0.18,0.18,0.20,0.00,0.00,1.12,"",0,0.0,-1,-8.3,0,0.0,0,0.0,-33999,-15.6,0,0.0,0,0.0,-185,-13.2
"05029","1","1028","73","0","2019","2","","Conway County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,17,11,17,187598,0,0,962,"",3.13,0.25,0.17,0.25,0.17,0.00,0.00,0.77,"",0,0.0,5,41.7,-5,-31.2,5,41.7,91,0.0,0,0.0,0,0.0,-120,-11.1
"05029","1","48-49","74","0","2019","1","","Conway County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,35,34,34,350086,0,0,784,"",5.81,1.31,1.26,1.24,1.37,0.00,0.00,1.08,"",1,12.5,1,2.9,-2,-5.6,-2,-5.6,7673,2.2,0,0.0,0,0.0,39,5.2
"05029","1","48-49","74","0","2019","2","","Conway County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,35,35,36,407859,0,0,888,"",5.79,1.28,1.29,1.31,1.31,0.00,0.00,1.01,"",0,0.0,0,0.0,0,0.0,-1,-2.7,-7416,-1.8,0,0.0,0,0.0,-8,-0.9
"05029","1","491","75","0","2019","1","","Conway County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,35,34,34,350086,0,0,784,"",5.84,1.34,1.29,1.27,1.44,0.00,0.00,1.11,"",1,12.5,1,2.9,-2,-5.6,-2,-5.6,7673,2.2,0,0.0,0,0.0,39,5.2
"05029","1","491","75","0","2019","2","","Conway County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,35,35,36,407859,0,0,888,"",5.83,1.31,1.32,1.34,1.36,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,-1,-2.7,-7416,-1.8,0,0.0,0,0.0,-8,-0.9
"05029","1","4911","76","0","2019","1","","Conway County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,35,34,34,350086,0,0,784,"",5.84,1.34,1.29,1.27,1.44,0.00,0.00,1.11,"",1,12.5,1,2.9,-2,-5.6,-2,-5.6,7673,2.2,0,0.0,0,0.0,39,5.2
"05029","1","4911","76","0","2019","2","","Conway County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,35,35,36,407859,0,0,888,"",5.83,1.31,1.32,1.34,1.36,0.00,0.00,1.03,"",0,0.0,0,0.0,0,0.0,-1,-2.7,-7416,-1.8,0,0.0,0,0.0,-8,-0.9
"05029","1","49111","77","0","2019","1","","Conway County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,35,34,34,350086,0,0,784,"",5.84,1.34,1.29,1.27,1.44,0.00,0.00,1.11,"",1,12.5,1,2.9,-2,-5.6,-2,-5.6,7673,2.2,0,0.0,0,0.0,39,5.2
