"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05041","0","10","70","0","2019","1","","Desha County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",543,4735,4701,4712,42463864,23920878,265481,693,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-14,-2.5,164,3.6,144,3.2,105,2.3,425938,1.0,813968,3.5,-121634,-31.4,-13,-1.8
"05041","0","10","70","0","2019","2","","Desha County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",534,4718,4709,4757,42555617,8278163,113400,692,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-22,-4.0,96,2.1,22,0.5,39,0.8,1372364,3.3,-412117,-4.7,-44620,-28.2,14,2.1
"05041","1","10","71","0","2019","1","","Desha County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,90,59,37,542383,0,0,673,"",3.13,0.99,0.65,0.41,0.52,0.00,0.00,0.75,"",0,0.0,16,21.6,13,28.3,-4,-9.8,-73472,-11.9,0,0.0,0,0.0,-210,-23.8
"05041","1","10","71","0","2019","2","","Desha County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,37,41,39,469073,0,0,925,"",2.89,0.41,0.46,0.43,0.39,0.00,0.00,0.90,"",-1,-10.0,-5,-11.9,-3,-6.8,-3,-7.1,19399,4.3,0,0.0,0,0.0,114,14.1
"05041","1","102","72","0","2019","1","","Desha County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,90,59,37,542383,0,0,673,"",3.13,1.01,0.67,0.42,0.53,0.00,0.00,0.75,"",0,0.0,16,21.6,13,28.3,-4,-9.8,-73472,-11.9,0,0.0,0,0.0,-210,-23.8
"05041","1","102","72","0","2019","2","","Desha County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,37,41,39,469073,0,0,925,"",2.89,0.42,0.47,0.44,0.40,0.00,0.00,0.90,"",-1,-10.0,-5,-11.9,-3,-6.8,-3,-7.1,19399,4.3,0,0.0,0,0.0,114,14.1
"05041","1","1021","73","0","2019","1","","Desha County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,27,23,26,262641,0,0,797,"",3.72,1.23,1.06,1.20,1.40,0.00,0.00,1.21,"",0,0.0,1,3.8,-2,-8.0,0,0.0,3432,1.3,0,0.0,0,0.0,20,2.6
"05041","1","1021","73","0","2019","2","","Desha County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,23,27,25,306252,0,0,942,"",3.18,1.07,1.26,1.16,1.38,0.00,0.00,1.19,"",-1,-16.7,-3,-11.5,-1,-3.6,-2,-7.4,-5894,-1.9,0,0.0,0,0.0,53,6.0
"05041","1","1028","73","0","2019","1","","Desha County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,63,36,11,279742,0,0,587,"",3.10,1.28,0.74,0.23,0.44,0.00,0.00,0.58,"",0,0.0,15,31.2,15,71.4,-4,-26.7,-76904,-21.6,0,0.0,0,0.0,-393,-40.1
"05041","1","1028","73","0","2019","2","","Desha County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,14,14,162821,0,0,895,"",3.18,0.29,0.29,0.29,0.23,0.00,0.00,0.79,"",0,0.0,-2,-12.5,-2,-12.5,-1,-6.7,25293,18.4,0,0.0,0,0.0,220,32.6
