"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05043","0","10","70","0","2019","1","","Drew County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",532,6502,6478,6494,54811471,29738311,443501,650,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-18,-3.3,93,1.5,11,0.2,22,0.3,-1215362,-2.2,1428010,5.0,41557,10.3,-18,-2.7
"05043","0","10","70","0","2019","2","","Drew County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",543,6401,6518,6442,59717715,12464385,175810,712,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,-74,-1.1,2,0.0,-82,-1.3,-1542801,-2.5,-204620,-1.6,8281,4.9,-12,-1.7
"05043","1","10","71","0","2019","1","","Drew County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,48,54,48,572442,0,0,881,"",2.55,0.39,0.43,0.39,0.42,0.00,0.00,1.05,"",-1,-11.1,-3,-5.9,4,8.0,-1,-2.0,-48848,-7.9,0,0.0,0,0.0,-75,-7.8
"05043","1","10","71","0","2019","2","","Drew County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,51,54,55,636015,0,0,917,"",2.52,0.42,0.44,0.45,0.38,0.00,0.00,0.86,"",0,0.0,4,8.5,4,8.0,1,1.9,-3997,-0.6,0,0.0,0,0.0,-61,-6.2
"05043","1","102","72","0","2019","1","","Drew County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,48,54,48,572442,0,0,881,"",2.56,0.39,0.44,0.40,0.43,0.00,0.00,1.05,"",-1,-11.1,-3,-5.9,4,8.0,-1,-2.0,-48848,-7.9,0,0.0,0,0.0,-75,-7.8
"05043","1","102","72","0","2019","2","","Drew County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,51,54,55,636015,0,0,917,"",2.53,0.43,0.45,0.46,0.38,0.00,0.00,0.86,"",0,0.0,4,8.5,4,8.0,1,1.9,-3997,-0.6,0,0.0,0,0.0,-61,-6.2
"05043","1","1021","73","0","2019","1","","Drew County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,33,34,33,339645,0,0,784,"",2.53,1.10,1.14,1.10,1.41,0.00,0.00,1.26,"",0,0.0,2,6.5,1,3.0,0,0.0,19182,6.0,0,0.0,0,0.0,22,2.9
"05043","1","1021","73","0","2019","2","","Drew County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,34,33,34,394864,0,0,902,"",2.50,1.16,1.11,1.17,1.27,0.00,0.00,1.11,"",0,0.0,3,9.7,0,0.0,1,3.0,13454,3.5,0,0.0,0,0.0,-5,-0.6
"05043","1","1023","73","0","2019","1","","Drew County, Arkansas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12370,0,0,952,"",24.16,1.85,1.87,1.87,1.50,0.00,0.00,0.81,"",0,0.0,-2,-66.7,-2,-66.7,-2,-66.7,-37106,-75.0,0,0.0,0,0.0,-317,-25.0
"05043","1","1023","73","0","2019","2","","Drew County, Arkansas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12748,0,0,981,"",24.11,1.91,1.90,1.90,1.31,0.00,0.00,0.69,"",0,0.0,-2,-66.7,-1,-50.0,-1,-50.0,-12423,-49.4,0,0.0,0,0.0,151,18.2
"05043","1","1028","73","0","2019","1","","Drew County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,19,14,220427,0,0,1082,"",2.37,0.21,0.28,0.21,0.27,0.00,0.00,1.15,"",-1,-25.0,-3,-17.6,5,35.7,1,7.7,-30924,-12.3,0,0.0,0,0.0,-236,-17.9
"05043","1","1028","73","0","2019","2","","Drew County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,16,20,20,228403,0,0,941,"",2.35,0.24,0.30,0.30,0.23,0.00,0.00,0.80,"",0,0.0,3,23.1,5,33.3,1,5.3,-5028,-2.2,0,0.0,0,0.0,-205,-17.9
"05043","1","48-49","74","0","2019","1","","Drew County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,33,34,33,339645,0,0,784,"",2.60,1.20,1.24,1.20,1.51,0.00,0.00,1.24,"",0,0.0,2,6.5,1,3.0,0,0.0,19182,6.0,0,0.0,0,0.0,22,2.9
"05043","1","48-49","74","0","2019","2","","Drew County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,34,33,34,394864,0,0,902,"",2.57,1.27,1.21,1.27,1.36,0.00,0.00,1.09,"",0,0.0,3,9.7,0,0.0,1,3.0,13454,3.5,0,0.0,0,0.0,-5,-0.6
"05043","1","491","75","0","2019","1","","Drew County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,33,34,33,339645,0,0,784,"",2.62,1.22,1.27,1.23,1.58,0.00,0.00,1.28,"",0,0.0,2,6.5,1,3.0,0,0.0,19182,6.0,0,0.0,0,0.0,22,2.9
"05043","1","491","75","0","2019","2","","Drew County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,34,33,34,394864,0,0,902,"",2.59,1.30,1.24,1.30,1.41,0.00,0.00,1.11,"",0,0.0,3,9.7,0,0.0,1,3.0,13454,3.5,0,0.0,0,0.0,-5,-0.6
"05043","1","4911","76","0","2019","1","","Drew County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,33,34,33,339645,0,0,784,"",2.62,1.22,1.27,1.23,1.58,0.00,0.00,1.28,"",0,0.0,2,6.5,1,3.0,0,0.0,19182,6.0,0,0.0,0,0.0,22,2.9
"05043","1","4911","76","0","2019","2","","Drew County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,34,33,34,394864,0,0,902,"",2.59,1.30,1.24,1.30,1.41,0.00,0.00,1.11,"",0,0.0,3,9.7,0,0.0,1,3.0,13454,3.5,0,0.0,0,0.0,-5,-0.6
"05043","1","49111","77","0","2019","1","","Drew County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,33,34,33,339645,0,0,784,"",2.62,1.22,1.27,1.23,1.58,0.00,0.00,1.28,"",0,0.0,2,6.5,1,3.0,0,0.0,19182,6.0,0,0.0,0,0.0,22,2.9
"05043","1","49111","77","0","2019","2","","Drew County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,34,33,34,394864,0,0,902,"",2.59,1.30,1.24,1.30,1.41,0.00,0.00,1.11,"",0,0.0,3,9.7,0,0.0,1,3.0,13454,3.5,0,0.0,0,0.0,-5,-0.6
