"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05047","0","10","70","0","2019","1","","Franklin County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",396,4710,4762,4782,43348821,24075512,292919,702,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,5.0,69,1.5,78,1.7,76,1.6,539125,1.3,838586,3.6,24087,9.0,-2,-0.3
"05047","0","10","70","0","2019","2","","Franklin County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",402,4870,4858,4776,43738677,8893594,103293,696,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",29,7.8,178,3.8,161,3.4,90,1.9,2142370,5.2,147303,1.7,5907,6.1,14,2.1
"05047","1","10","71","0","2019","1","","Franklin County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,160,167,160,2334829,0,0,1106,"",5.57,1.77,1.83,1.75,2.18,0.00,0.00,1.22,"",1,8.3,10,6.7,21,14.4,14,9.6,92145,4.1,0,0.0,0,0.0,-65,-5.6
"05047","1","10","71","0","2019","2","","Franklin County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,165,167,164,2487118,0,0,1157,"",5.54,1.78,1.81,1.81,2.01,0.00,0.00,1.11,"",1,8.3,19,13.0,24,16.8,9,5.8,309838,14.2,0,0.0,0,0.0,25,2.2
"05047","1","102","72","0","2019","1","","Franklin County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,160,167,160,2334829,0,0,1106,"",5.59,1.81,1.86,1.79,2.22,0.00,0.00,1.22,"",1,8.3,10,6.7,21,14.4,14,9.6,92145,4.1,0,0.0,0,0.0,-65,-5.6
"05047","1","102","72","0","2019","2","","Franklin County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,165,167,164,2487118,0,0,1157,"",5.55,1.82,1.85,1.85,2.05,0.00,0.00,1.12,"",1,8.3,19,13.0,24,16.8,9,5.8,309838,14.2,0,0.0,0,0.0,25,2.2
"05047","1","1021","73","0","2019","1","","Franklin County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,29,30,31,306255,0,0,785,"",5.11,1.33,1.36,1.41,1.60,0.00,0.00,1.17,"",0,0.0,-1,-3.3,1,3.4,1,3.3,-13103,-4.1,0,0.0,0,0.0,-43,-5.2
"05047","1","1021","73","0","2019","2","","Franklin County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,30,30,31,350425,0,0,889,"",5.07,1.35,1.36,1.43,1.54,0.00,0.00,1.11,"",0,0.0,-1,-3.2,2,7.1,3,10.7,14328,4.3,0,0.0,0,0.0,-3,-0.3
"05047","1","1024","73","0","2019","1","","Franklin County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,23,23,24,530298,0,0,1748,"",17.58,10.69,10.63,11.06,18.31,0.00,0.00,1.70,"",0,0.0,4,21.1,4,21.1,6,33.3,180185,51.5,0,0.0,0,0.0,305,21.1
"05047","1","1024","73","0","2019","2","","Franklin County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,26,23,533493,0,0,1734,"",17.43,10.08,11.84,10.58,17.24,0.00,0.00,1.59,"",0,0.0,4,22.2,8,44.4,3,15.0,173105,48.0,0,0.0,0,0.0,249,16.8
