"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05053","0","10","70","0","2019","1","","Grant County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",349,4244,4221,4252,42997637,25010161,278541,780,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,146,3.6,121,3.0,138,3.4,2920852,7.3,1769767,7.6,5110,1.9,29,3.9
"05053","0","10","70","0","2019","2","","Grant County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",357,4295,4289,4386,45012128,6743505,79696,801,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,5.3,186,4.5,137,3.3,119,2.8,3767870,9.1,-246849,-3.5,-573,-0.7,41,5.4
"05053","1","10","71","0","2019","1","","Grant County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,30,27,28,292556,0,0,794,"",2.92,0.37,0.33,0.35,0.28,0.00,0.00,0.79,"",0,0.0,2,7.1,-1,-3.6,-1,-3.4,19531,7.2,0,0.0,0,0.0,53,7.2
"05053","1","10","71","0","2019","2","","Grant County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,29,26,26,360198,0,0,1026,"",2.88,0.36,0.32,0.31,0.28,0.00,0.00,0.86,"",0,0.0,1,3.6,-3,-10.3,-2,-7.1,26361,7.9,0,0.0,0,0.0,120,13.2
"05053","1","102","72","0","2019","1","","Grant County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,30,27,28,292556,0,0,794,"",2.92,0.38,0.34,0.35,0.28,0.00,0.00,0.79,"",0,0.0,2,7.1,-1,-3.6,-1,-3.4,19531,7.2,0,0.0,0,0.0,53,7.2
"05053","1","102","72","0","2019","2","","Grant County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,29,26,26,360198,0,0,1026,"",2.89,0.36,0.33,0.32,0.29,0.00,0.00,0.86,"",0,0.0,1,3.6,-3,-10.3,-2,-7.1,26361,7.9,0,0.0,0,0.0,120,13.2
"05053","1","1021","73","0","2019","1","","Grant County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,30,27,28,292556,0,0,794,"",4.83,1.53,1.39,1.43,1.54,0.00,0.00,1.07,"",0,0.0,2,7.1,-1,-3.6,-1,-3.4,19531,7.2,0,0.0,0,0.0,53,7.2
"05053","1","1021","73","0","2019","2","","Grant County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,29,26,26,360198,0,0,1026,"",4.76,1.48,1.33,1.31,1.54,0.00,0.00,1.12,"",0,0.0,1,3.6,-3,-10.3,-2,-7.1,26361,7.9,0,0.0,0,0.0,120,13.2
"05053","1","1028","73","0","2019","1","","Grant County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05053","1","1028","73","0","2019","2","","Grant County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05053","1","48-49","74","0","2019","1","","Grant County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,30,27,28,292556,0,0,794,"",4.96,1.67,1.51,1.56,1.66,0.00,0.00,1.05,"",0,0.0,2,7.1,-1,-3.6,-1,-3.4,19531,7.2,0,0.0,0,0.0,53,7.2
"05053","1","48-49","74","0","2019","2","","Grant County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,29,26,26,360198,0,0,1026,"",4.89,1.61,1.45,1.43,1.65,0.00,0.00,1.10,"",0,0.0,1,3.6,-3,-10.3,-2,-7.1,26361,7.9,0,0.0,0,0.0,120,13.2
"05053","1","491","75","0","2019","1","","Grant County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,30,27,28,292556,0,0,794,"",4.99,1.70,1.54,1.59,1.74,0.00,0.00,1.08,"",0,0.0,2,7.1,-1,-3.6,-1,-3.4,19531,7.2,0,0.0,0,0.0,53,7.2
"05053","1","491","75","0","2019","2","","Grant County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,29,26,26,360198,0,0,1026,"",4.92,1.65,1.48,1.46,1.71,0.00,0.00,1.12,"",0,0.0,1,3.6,-3,-10.3,-2,-7.1,26361,7.9,0,0.0,0,0.0,120,13.2
"05053","1","4911","76","0","2019","1","","Grant County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,30,27,28,292556,0,0,794,"",4.99,1.70,1.54,1.59,1.74,0.00,0.00,1.08,"",0,0.0,2,7.1,-1,-3.6,-1,-3.4,19531,7.2,0,0.0,0,0.0,53,7.2
"05053","1","4911","76","0","2019","2","","Grant County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,29,26,26,360198,0,0,1026,"",4.92,1.65,1.48,1.46,1.71,0.00,0.00,1.12,"",0,0.0,1,3.6,-3,-10.3,-2,-7.1,26361,7.9,0,0.0,0,0.0,120,13.2
"05053","1","49111","77","0","2019","1","","Grant County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,30,27,28,292556,0,0,794,"",4.99,1.70,1.54,1.59,1.74,0.00,0.00,1.08,"",0,0.0,2,7.1,-1,-3.6,-1,-3.4,19531,7.2,0,0.0,0,0.0,53,7.2
"05053","1","49111","77","0","2019","2","","Grant County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,29,26,26,360198,0,0,1026,"",4.92,1.65,1.48,1.46,1.71,0.00,0.00,1.12,"",0,0.0,1,3.6,-3,-10.3,-2,-7.1,26361,7.9,0,0.0,0,0.0,120,13.2
"05053","1","491110","78","0","2019","1","","Grant County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,30,27,28,292556,0,0,794,"",4.99,1.70,1.54,1.59,1.74,0.00,0.00,1.08,"",0,0.0,2,7.1,-1,-3.6,-1,-3.4,19531,7.2,0,0.0,0,0.0,53,7.2
"05053","1","491110","78","0","2019","2","","Grant County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,29,26,26,360198,0,0,1026,"",4.92,1.65,1.48,1.46,1.71,0.00,0.00,1.12,"",0,0.0,1,3.6,-3,-10.3,-2,-7.1,26361,7.9,0,0.0,0,0.0,120,13.2
"05053","1","92","74","0","2019","1","","Grant County, Arkansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
