"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05055","0","10","70","0","2019","1","","Greene County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",891,15479,15633,15785,149736396,89479029,1937074,737,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-17,-1.9,281,1.8,352,2.3,310,2.0,8537753,6.0,4475605,5.3,159053,8.9,28,3.9
"05055","0","10","70","0","2019","2","","Greene County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",893,15745,15832,15642,152353558,26726022,485380,745,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-19,-2.1,169,1.1,202,1.3,79,0.5,6437379,4.4,1006134,3.9,13930,3.0,25,3.5
"05055","1","10","71","0","2019","1","","Greene County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,91,95,92,1252403,0,0,1040,"",2.10,0.31,0.32,0.31,0.34,0.00,0.00,1.09,"",1,10.0,-2,-2.2,5,5.6,-4,-4.2,-18775,-1.5,0,0.0,0,0.0,-11,-1.0
"05055","1","10","71","0","2019","2","","Greene County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,96,91,93,1467198,0,0,1209,"",2.11,0.32,0.30,0.31,0.34,0.00,0.00,1.09,"",1,10.0,4,4.3,-5,-5.2,4,4.5,53932,3.8,0,0.0,0,0.0,32,2.7
"05055","1","102","72","0","2019","1","","Greene County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,91,95,92,1252403,0,0,1040,"",2.10,0.31,0.32,0.31,0.35,0.00,0.00,1.09,"",1,10.0,-2,-2.2,5,5.6,-4,-4.2,-18775,-1.5,0,0.0,0,0.0,-11,-1.0
"05055","1","102","72","0","2019","2","","Greene County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,96,91,93,1467198,0,0,1209,"",2.12,0.33,0.31,0.32,0.35,0.00,0.00,1.09,"",1,10.0,4,4.3,-5,-5.2,4,4.5,53932,3.8,0,0.0,0,0.0,32,2.7
"05055","1","1021","73","0","2019","1","","Greene County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,60,61,61,760156,0,0,964,"",1.89,0.84,0.85,0.84,1.15,0.00,0.00,1.37,"",0,0.0,-6,-9.1,-2,-3.2,-5,-7.6,-22738,-2.9,0,0.0,0,0.0,37,4.0
"05055","1","1021","73","0","2019","2","","Greene County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,61,62,63,874807,0,0,1085,"",1.90,0.85,0.86,0.89,1.10,0.00,0.00,1.27,"",0,0.0,-4,-6.2,-4,-6.1,0,0.0,-19213,-2.1,0,0.0,0,0.0,22,2.1
"05055","1","1025","73","0","2019","1","","Greene County, Arkansas","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,20,20,20,340587,0,0,1310,"",8.37,0.45,0.44,0.44,0.62,0.00,0.00,1.40,"",0,0.0,3,17.6,3,17.6,3,17.6,21480,6.7,0,0.0,0,0.0,-134,-9.3
"05055","1","1025","73","0","2019","2","","Greene County, Arkansas","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,20,18,18,431632,0,0,1779,"",8.44,0.45,0.40,0.41,0.65,0.00,0.00,1.54,"",0,0.0,3,17.6,1,5.9,2,12.5,60115,16.2,0,0.0,0,0.0,64,3.7
"05055","1","1028","73","0","2019","1","","Greene County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,11,14,11,151660,0,0,972,"",2.36,0.07,0.09,0.07,0.07,0.00,0.00,0.91,"",1,25.0,1,10.0,4,40.0,-2,-15.4,-17517,-10.4,0,0.0,0,0.0,-211,-17.8
"05055","1","1028","73","0","2019","2","","Greene County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,15,11,12,160759,0,0,976,"",2.38,0.09,0.07,0.07,0.06,0.00,0.00,0.80,"",1,25.0,5,50.0,-2,-15.4,2,20.0,13030,8.8,0,0.0,0,0.0,-57,-5.5
