"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05059","0","10","70","0","2019","1","","Hot Spring County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",615,8011,8120,8171,74517274,40479280,509582,708,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-24,-3.8,-266,-3.2,-219,-2.6,-195,-2.3,1604638,2.2,361613,0.9,15800,3.2,34,5.0
"05059","0","10","70","0","2019","2","","Hot Spring County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",620,8256,8235,8269,77737784,14742140,196735,725,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-8,-1.3,-61,-0.7,-162,-1.9,-39,-0.5,1646907,2.2,-932802,-6.0,-33794,-14.7,23,3.3
"05059","1","10","71","0","2019","1","","Hot Spring County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,62,60,59,756721,0,0,965,"",2.48,0.40,0.39,0.38,0.41,0.00,0.00,1.06,"",0,0.0,-3,-4.6,-4,-6.2,-5,-7.8,-21243,-2.7,0,0.0,0,0.0,35,3.8
"05059","1","10","71","0","2019","2","","Hot Spring County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,65,63,62,857367,0,0,1041,"",2.49,0.41,0.40,0.40,0.39,0.00,0.00,0.96,"",0,0.0,4,6.6,-1,-1.6,0,0.0,-2264,-0.3,0,0.0,0,0.0,-20,-1.9
"05059","1","102","72","0","2019","1","","Hot Spring County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,62,60,59,756721,0,0,965,"",2.49,0.41,0.39,0.39,0.42,0.00,0.00,1.06,"",0,0.0,-3,-4.6,-4,-6.2,-5,-7.8,-21243,-2.7,0,0.0,0,0.0,35,3.8
"05059","1","102","72","0","2019","2","","Hot Spring County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,65,63,62,857367,0,0,1041,"",2.49,0.42,0.41,0.40,0.40,0.00,0.00,0.96,"",0,0.0,4,6.6,-1,-1.6,0,0.0,-2264,-0.3,0,0.0,0,0.0,-20,-1.9
"05059","1","1021","73","0","2019","1","","Hot Spring County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,48,47,46,546223,0,0,894,"",2.74,1.30,1.25,1.22,1.66,0.00,0.00,1.32,"",0,0.0,-2,-4.0,-2,-4.1,-3,-6.1,-21692,-3.8,0,0.0,0,0.0,8,0.9
"05059","1","1021","73","0","2019","2","","Hot Spring County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,45,50,50,673738,0,0,1072,"",2.74,1.19,1.33,1.34,1.66,0.00,0.00,1.29,"",0,0.0,-1,-2.2,1,2.0,3,6.4,5627,0.8,0,0.0,0,0.0,-14,-1.3
"05059","1","1028","73","0","2019","1","","Hot Spring County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,13,13,210498,0,0,1214,"",2.74,0.17,0.15,0.15,0.19,0.00,0.00,1.18,"",0,0.0,-1,-6.7,-2,-13.3,-2,-13.3,449,0.2,0,0.0,0,0.0,137,12.7
"05059","1","1028","73","0","2019","2","","Hot Spring County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,20,13,12,183629,0,0,942,"",2.74,0.24,0.15,0.14,0.14,0.00,0.00,0.79,"",0,0.0,5,33.3,-2,-13.3,-3,-20.0,-7891,-4.1,0,0.0,0,0.0,-40,-4.1
"05059","1","48-49","74","0","2019","1","","Hot Spring County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,48,47,46,546223,0,0,894,"",2.82,1.41,1.37,1.33,1.79,0.00,0.00,1.30,"",0,0.0,-2,-4.0,-2,-4.1,-3,-6.1,-21692,-3.8,0,0.0,0,0.0,8,0.9
"05059","1","48-49","74","0","2019","2","","Hot Spring County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,45,50,50,673738,0,0,1072,"",2.82,1.30,1.45,1.45,1.78,0.00,0.00,1.27,"",0,0.0,-1,-2.2,1,2.0,3,6.4,5627,0.8,0,0.0,0,0.0,-14,-1.3
"05059","1","491","75","0","2019","1","","Hot Spring County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,48,47,46,546223,0,0,894,"",2.83,1.44,1.40,1.36,1.87,0.00,0.00,1.34,"",0,0.0,-2,-4.0,-2,-4.1,-3,-6.1,-21692,-3.8,0,0.0,0,0.0,8,0.9
