"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05063","0","10","70","0","2019","1","","Independence County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",920,16078,16093,16316,152935089,81572055,1453720,728,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.3,467,3.0,380,2.4,486,3.1,7267872,5.0,4503454,5.8,17474,1.2,15,2.1
"05063","0","10","70","0","2019","2","","Independence County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",926,16457,16256,16236,163865439,28887834,531921,773,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",19,2.1,726,4.6,198,1.2,208,1.3,9111240,5.9,-227108,-0.8,10954,2.1,26,3.5
"05063","1","10","71","0","2019","1","","Independence County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,94,98,98,1387703,0,0,1104,"",3.32,0.31,0.32,0.31,0.37,0.00,0.00,1.18,"",0,0.0,-7,-6.9,-4,-3.9,-1,-1.0,-142697,-9.3,0,0.0,0,0.0,-65,-5.6
"05063","1","10","71","0","2019","2","","Independence County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,100,98,102,1462972,0,0,1125,"",3.33,0.32,0.32,0.33,0.32,0.00,0.00,0.98,"",0,0.0,-2,-2.0,-4,-3.9,-3,-2.9,-64739,-4.2,0,0.0,0,0.0,-16,-1.4
"05063","1","102","72","0","2019","1","","Independence County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,94,98,98,1387703,0,0,1104,"",3.33,0.31,0.32,0.32,0.37,0.00,0.00,1.18,"",0,0.0,-7,-6.9,-4,-3.9,-1,-1.0,-142697,-9.3,0,0.0,0,0.0,-65,-5.6
"05063","1","102","72","0","2019","2","","Independence County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,100,98,102,1462972,0,0,1125,"",3.34,0.33,0.32,0.34,0.32,0.00,0.00,0.98,"",0,0.0,-2,-2.0,-4,-3.9,-3,-2.9,-64739,-4.2,0,0.0,0,0.0,-16,-1.4
"05063","1","1021","73","0","2019","1","","Independence County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,54,57,56,603417,0,0,834,"",4.40,0.73,0.77,0.75,0.90,0.00,0.00,1.20,"",0,0.0,-2,-3.6,0,0.0,2,3.7,-3241,-0.5,0,0.0,0,0.0,-4,-0.5
"05063","1","1021","73","0","2019","2","","Independence County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,56,56,59,718991,0,0,970,"",4.40,0.75,0.76,0.80,0.84,0.00,0.00,1.09,"",0,0.0,0,0.0,0,0.0,2,3.5,24311,3.5,0,0.0,0,0.0,21,2.2
"05063","1","1023","73","0","2019","1","","Independence County, Arkansas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,12996,0,0,1000,"",13.97,0.75,0.75,0.74,0.57,0.00,0.00,0.76,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-18534,-58.8,0,0.0,0,0.0,-213,-17.6
"05063","1","1023","73","0","2019","2","","Independence County, Arkansas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,13585,0,0,1045,"",14.14,0.74,0.76,0.75,0.51,0.00,0.00,0.68,"",0,0.0,-1,-50.0,-1,-50.0,-1,-50.0,-13569,-50.0,0,0.0,0,0.0,1,0.1
"05063","1","1028","73","0","2019","1","","Independence County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,39,40,41,771290,0,0,1483,"",2.29,0.23,0.24,0.24,0.34,0.00,0.00,1.40,"",0,0.0,-4,-9.3,-3,-7.0,-2,-4.7,-120922,-13.6,0,0.0,0,0.0,-113,-7.1
"05063","1","1028","73","0","2019","2","","Independence County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,43,41,42,730396,0,0,1338,"",2.30,0.25,0.25,0.25,0.26,0.00,0.00,1.05,"",0,0.0,-1,-2.3,-3,-6.8,-4,-8.7,-75481,-9.4,0,0.0,0,0.0,-50,-3.6
