"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05069","0","10","70","0","2019","1","","Jefferson County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2055,26927,27234,27158,284743992,119883940,1574637,808,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-70,-3.3,-459,-1.7,-437,-1.6,-529,-1.9,-107366,0.0,-1937823,-1.6,-186580,-10.6,14,1.8
"05069","0","10","70","0","2019","2","","Jefferson County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2044,27170,27191,26782,285141568,41697944,574378,811,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-44,-2.1,-476,-1.7,-559,-2.0,-506,-1.9,4694251,1.7,-628599,-1.5,-37404,-6.1,28,3.6
"05069","1","10","71","0","2019","1","","Jefferson County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",33,1334,1336,1337,25107142,0,0,1446,"",2.73,2.59,2.56,2.58,3.57,0.00,0.00,1.39,"",0,0.0,-28,-2.1,-11,-0.8,-35,-2.6,1042143,4.3,0,0.0,0,0.0,85,6.2
"05069","1","10","71","0","2019","2","","Jefferson County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",34,1334,1367,1383,26254896,0,0,1484,"",2.85,2.59,2.65,2.72,3.25,0.00,0.00,1.23,"",1,3.0,-23,-1.7,13,1.0,18,1.3,303723,1.2,0,0.0,0,0.0,15,1.0
"05069","1","102","72","0","2019","1","","Jefferson County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",33,1334,1336,1337,25107142,0,0,1446,"",2.73,2.64,2.61,2.63,3.64,0.00,0.00,1.39,"",0,0.0,-28,-2.1,-11,-0.8,-35,-2.6,1042143,4.3,0,0.0,0,0.0,85,6.2
"05069","1","102","72","0","2019","2","","Jefferson County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",34,1334,1367,1383,26254896,0,0,1484,"",2.86,2.64,2.71,2.78,3.32,0.00,0.00,1.23,"",1,3.0,-23,-1.7,13,1.0,18,1.3,303723,1.2,0,0.0,0,0.0,15,1.0
"05069","1","1021","73","0","2019","1","","Jefferson County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,103,110,112,1534121,0,0,1089,"",1.80,0.83,0.87,0.90,1.22,0.00,0.00,1.41,"",0,0.0,-1,-1.0,14,14.6,-12,-9.7,4106,0.3,0,0.0,0,0.0,-1,-0.1
"05069","1","1021","73","0","2019","2","","Jefferson County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,106,109,109,1716264,0,0,1222,"",1.83,0.86,0.88,0.90,1.15,0.00,0.00,1.31,"",0,0.0,5,5.0,10,10.1,3,2.8,-47679,-2.7,0,0.0,0,0.0,-108,-8.1
"05069","1","1023","73","0","2019","1","","Jefferson County, Arkansas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,3,3,45974,0,0,1326,"",6.26,0.89,1.34,1.34,1.07,0.00,0.00,0.90,"",0,0.0,-1,-33.3,0,0.0,0,0.0,-6975,-13.2,0,0.0,0,0.0,-32,-2.4
"05069","1","1023","73","0","2019","2","","Jefferson County, Arkansas","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,47568,0,0,1220,"",6.41,1.35,1.36,1.37,1.03,0.00,0.00,0.75,"",0,0.0,0,0.0,0,0.0,0,0.0,1852,4.1,0,0.0,0,0.0,48,4.1
