"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05071","0","10","70","0","2019","1","","Johnson County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",497,8521,8577,8610,67637196,37315161,393298,607,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.2,-134,-1.5,-75,-0.9,-32,-0.4,-1919491,-2.8,-1370474,-3.5,-33754,-7.9,-12,-1.9
"05071","0","10","70","0","2019","2","","Johnson County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",497,8520,8543,8463,72720893,15869589,188555,657,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,-133,-1.5,-138,-1.6,-188,-2.2,-250868,-0.3,-210875,-1.3,-6175,-3.2,9,1.4
"05071","1","10","71","0","2019","1","","Johnson County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,80,80,78,1009811,0,0,979,"",4.44,0.49,0.49,0.47,0.60,0.00,0.00,1.25,"",-1,-7.1,1,1.3,1,1.3,-1,-1.3,-90661,-8.2,0,0.0,0,0.0,-93,-8.7
"05071","1","10","71","0","2019","2","","Johnson County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,79,78,81,1137615,0,0,1103,"",4.48,0.49,0.48,0.50,0.55,0.00,0.00,1.13,"",-1,-7.1,2,2.6,-3,-3.7,5,6.6,24019,2.2,0,0.0,0,0.0,5,0.5
"05071","1","102","72","0","2019","1","","Johnson County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,80,80,78,1009811,0,0,979,"",4.45,0.50,0.50,0.48,0.62,0.00,0.00,1.25,"",-1,-7.1,1,1.3,1,1.3,-1,-1.3,-90661,-8.2,0,0.0,0,0.0,-93,-8.7
"05071","1","102","72","0","2019","2","","Johnson County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,79,78,81,1137615,0,0,1103,"",4.49,0.50,0.49,0.51,0.56,0.00,0.00,1.13,"",-1,-7.1,2,2.6,-3,-3.7,5,6.6,24019,2.2,0,0.0,0,0.0,5,0.5
"05071","1","1021","73","0","2019","1","","Johnson County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,40,38,38,414811,0,0,825,"",5.42,1.01,0.96,0.96,1.39,0.00,0.00,1.42,"",0,0.0,0,0.0,-4,-9.5,-2,-5.0,3811,0.9,0,0.0,0,0.0,48,6.2
"05071","1","1021","73","0","2019","2","","Johnson County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,39,39,39,496563,0,0,979,"",5.47,1.00,1.00,1.02,1.31,0.00,0.00,1.30,"",0,0.0,0,0.0,-1,-2.5,1,2.6,13028,2.7,0,0.0,0,0.0,25,2.6
"05071","1","1028","73","0","2019","1","","Johnson County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,40,42,40,595000,0,0,1125,"",4.23,0.45,0.47,0.45,0.59,0.00,0.00,1.28,"",-1,-16.7,1,2.6,5,13.5,1,2.6,-94472,-13.7,0,0.0,0,0.0,-259,-18.7
"05071","1","1028","73","0","2019","2","","Johnson County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,40,39,42,641052,0,0,1223,"",4.28,0.46,0.45,0.48,0.52,0.00,0.00,1.13,"",-1,-16.7,2,5.3,-2,-4.9,4,10.5,10991,1.7,0,0.0,0,0.0,-20,-1.6
