"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05073","0","10","70","0","2019","1","","Lafayette County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",170,1189,1202,1201,8993052,5021863,72175,578,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.6,-27,-2.2,18,1.5,1,0.1,347796,4.0,235291,4.9,-1261,-1.7,24,4.3
"05073","0","10","70","0","2019","2","","Lafayette County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",169,1204,1232,1199,10158549,2622255,42599,645,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.6,-17,-1.4,6,0.5,-17,-1.4,399145,4.1,122501,4.9,3123,7.9,30,4.9
"05073","1","10","71","0","2019","1","","Lafayette County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,26,26,27,272737,0,0,797,"",6.99,1.14,1.13,1.18,1.23,0.00,0.00,1.07,"",0,0.0,-1,-3.7,1,4.0,2,8.0,-124,0.0,0,0.0,0,0.0,-21,-2.6
"05073","1","10","71","0","2019","2","","Lafayette County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,28,28,27,320356,0,0,891,"",7.10,1.23,1.20,1.19,1.11,0.00,0.00,0.93,"",0,0.0,4,16.7,2,7.7,0,0.0,-1345,-0.4,0,0.0,0,0.0,-73,-7.6
"05073","1","102","72","0","2019","1","","Lafayette County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,26,26,27,272737,0,0,797,"",7.01,1.16,1.15,1.20,1.25,0.00,0.00,1.07,"",0,0.0,-1,-3.7,1,4.0,2,8.0,-124,0.0,0,0.0,0,0.0,-21,-2.6
"05073","1","102","72","0","2019","2","","Lafayette County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,28,28,27,320356,0,0,891,"",7.11,1.25,1.22,1.21,1.14,0.00,0.00,0.93,"",0,0.0,4,16.7,2,7.7,0,0.0,-1345,-0.4,0,0.0,0,0.0,-73,-7.6
"05073","1","1021","73","0","2019","1","","Lafayette County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,21,21,22,219641,0,0,792,"",7.93,3.82,3.78,3.98,5.54,0.00,0.00,1.44,"",0,0.0,-2,-8.7,0,0.0,1,4.8,5940,2.8,0,0.0,0,0.0,33,4.3
"05073","1","1021","73","0","2019","2","","Lafayette County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,20,20,23,263303,0,0,964,"",8.04,3.64,3.57,4.24,4.97,0.00,0.00,1.30,"",0,0.0,0,0.0,-2,-9.1,2,9.5,-1288,-0.5,0,0.0,0,0.0,-5,-0.5
"05073","1","1028","73","0","2019","1","","Lafayette County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,5,5,5,53096,0,0,817,"",7.43,0.41,0.40,0.40,0.39,0.00,0.00,0.97,"",0,0.0,1,25.0,1,25.0,1,25.0,-6064,-10.3,0,0.0,0,0.0,-321,-28.2
"05073","1","1028","73","0","2019","2","","Lafayette County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,8,4,57053,0,0,658,"",7.55,0.65,0.63,0.32,0.33,0.00,0.00,0.62,"",0,0.0,4,100.0,4,100.0,-2,-33.3,-57,-0.1,0,0.0,0,0.0,-283,-30.1
"05073","1","48-49","74","0","2019","1","","Lafayette County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,21,21,22,219641,0,0,792,"",8.15,4.17,4.13,4.34,5.95,0.00,0.00,1.41,"",0,0.0,-2,-8.7,0,0.0,1,4.8,5940,2.8,0,0.0,0,0.0,33,4.3
