"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05075","0","10","70","0","2019","1","","Lawrence County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",419,3915,3896,3916,31411561,19913584,450626,618,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.2,-45,-1.1,-73,-1.8,-91,-2.3,-1091476,-3.4,592930,3.1,-35935,-7.4,-10,-1.6
"05075","0","10","70","0","2019","2","","Lawrence County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",416,3992,3990,3933,34492716,7988326,154643,668,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1,-0.2,-54,-1.3,7,0.2,-56,-1.4,-128259,-0.4,531604,7.1,-3875,-2.4,3,0.5
"05075","1","10","71","0","2019","1","","Lawrence County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,44,50,51,498073,0,0,793,"",6.08,0.59,0.67,0.68,0.64,0.00,0.00,0.99,"",-1,-6.2,-4,-8.3,2,4.2,3,6.2,3739,0.8,0,0.0,0,0.0,1,0.1
"05075","1","10","71","0","2019","2","","Lawrence County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,51,49,50,543800,0,0,837,"",6.18,0.67,0.65,0.67,0.56,0.00,0.00,0.84,"",-1,-6.2,3,6.2,3,6.5,4,8.7,16570,3.1,0,0.0,0,0.0,-32,-3.7
"05075","1","102","72","0","2019","1","","Lawrence County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,44,50,51,498073,0,0,793,"",6.09,0.60,0.68,0.70,0.65,0.00,0.00,0.99,"",-1,-6.2,-4,-8.3,2,4.2,3,6.2,3739,0.8,0,0.0,0,0.0,1,0.1
"05075","1","102","72","0","2019","2","","Lawrence County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,51,49,50,543800,0,0,837,"",6.19,0.69,0.66,0.68,0.57,0.00,0.00,0.84,"",-1,-6.2,3,6.2,3,6.5,4,8.7,16570,3.1,0,0.0,0,0.0,-32,-3.7
"05075","1","1021","73","0","2019","1","","Lawrence County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,36,37,39,400410,0,0,825,"",9.65,1.99,2.06,2.16,2.89,0.00,0.00,1.40,"",0,0.0,-2,-5.3,0,0.0,1,2.6,30961,8.4,0,0.0,0,0.0,71,9.4
"05075","1","1021","73","0","2019","2","","Lawrence County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,39,37,38,438939,0,0,889,"",9.80,2.14,2.04,2.13,2.44,0.00,0.00,1.16,"",0,0.0,1,2.6,-1,-2.6,2,5.6,912,0.2,0,0.0,0,0.0,-14,-1.6
"05075","1","1028","73","0","2019","1","","Lawrence County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,13,12,97663,0,0,683,"",3.01,0.20,0.32,0.30,0.21,0.00,0.00,0.76,"",-1,-25.0,-2,-20.0,2,18.2,2,20.0,-27222,-21.8,0,0.0,0,0.0,-247,-26.6
"05075","1","1028","73","0","2019","2","","Lawrence County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,12,12,12,104861,0,0,672,"",3.07,0.29,0.29,0.30,0.18,0.00,0.00,0.61,"",-1,-25.0,2,20.0,4,50.0,2,20.0,15658,17.6,0,0.0,0,0.0,-63,-8.6
