"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05085","0","10","70","0","2019","1","","Lonoke County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1316,13893,14006,14066,119845047,72233714,1252122,659,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,1.1,370,2.7,395,2.9,299,2.2,5071166,4.4,2997971,4.3,431747,52.6,11,1.7
"05085","0","10","70","0","2019","2","","Lonoke County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1326,14217,14193,14318,128538237,27918415,356527,694,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",31,2.4,272,2.0,124,0.9,176,1.2,4622556,3.7,-284390,-1.0,3765,1.1,16,2.4
"05085","1","10","71","0","2019","1","","Lonoke County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,130,133,128,1549258,0,0,914,"",1.94,0.49,0.50,0.48,0.52,0.00,0.00,1.08,"",0,0.0,2,1.6,4,3.1,-2,-1.5,-154934,-9.1,0,0.0,0,0.0,-102,-10.0
"05085","1","10","71","0","2019","2","","Lonoke County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,137,136,130,1729507,0,0,990,"",1.94,0.51,0.51,0.48,0.48,0.00,0.00,0.96,"",0,0.0,7,5.4,7,5.4,-6,-4.4,-79792,-4.4,0,0.0,0,0.0,-67,-6.3
"05085","1","102","72","0","2019","1","","Lonoke County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,130,133,128,1549258,0,0,914,"",1.94,0.50,0.50,0.49,0.53,0.00,0.00,1.07,"",0,0.0,2,1.6,4,3.1,-2,-1.5,-154934,-9.1,0,0.0,0,0.0,-102,-10.0
"05085","1","102","72","0","2019","2","","Lonoke County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,137,136,130,1729507,0,0,990,"",1.94,0.52,0.52,0.49,0.49,0.00,0.00,0.96,"",0,0.0,7,5.4,7,5.4,-6,-4.4,-79792,-4.4,0,0.0,0,0.0,-67,-6.3
"05085","1","1021","73","0","2019","1","","Lonoke County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,105,104,104,1191268,0,0,878,"",2.30,1.63,1.61,1.61,2.26,0.00,0.00,1.40,"",0,0.0,8,8.2,5,5.1,3,3.0,13569,1.2,0,0.0,0,0.0,-37,-4.0
"05085","1","1021","73","0","2019","2","","Lonoke County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,108,107,107,1376064,0,0,986,"",2.31,1.66,1.66,1.65,2.05,0.00,0.00,1.24,"",0,0.0,8,8.0,7,7.0,7,7.0,10655,0.8,0,0.0,0,0.0,-64,-6.1
"05085","1","1028","73","0","2019","1","","Lonoke County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,25,29,24,357990,0,0,1059,"",1.92,0.17,0.20,0.17,0.20,0.00,0.00,1.11,"",0,0.0,-6,-19.4,-1,-3.3,-5,-17.2,-168503,-32.0,0,0.0,0,0.0,-291,-21.6
"05085","1","1028","73","0","2019","2","","Lonoke County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,29,29,23,353443,0,0,1007,"",1.92,0.20,0.20,0.16,0.16,0.00,0.00,0.88,"",0,0.0,-1,-3.3,0,0.0,-13,-36.1,-90447,-20.4,0,0.0,0,0.0,-71,-6.6
"05085","1","48-49","74","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,105,104,104,1191268,0,0,878,"",2.37,1.78,1.75,1.75,2.42,0.00,0.00,1.37,"",0,0.0,8,8.2,5,5.1,3,3.0,13569,1.2,0,0.0,0,0.0,-37,-4.0
"05085","1","48-49","74","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,108,107,107,1376064,0,0,986,"",2.37,1.81,1.81,1.80,2.20,0.00,0.00,1.22,"",0,0.0,8,8.0,7,7.0,7,7.0,10655,0.8,0,0.0,0,0.0,-64,-6.1
"05085","1","491","75","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,105,104,104,1191268,0,0,878,"",2.38,1.82,1.79,1.79,2.54,0.00,0.00,1.41,"",0,0.0,8,8.2,5,5.1,3,3.0,13569,1.2,0,0.0,0,0.0,-37,-4.0
"05085","1","491","75","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,108,107,107,1376064,0,0,986,"",2.39,1.85,1.85,1.84,2.29,0.00,0.00,1.24,"",0,0.0,8,8.0,7,7.0,7,7.0,10655,0.8,0,0.0,0,0.0,-64,-6.1
"05085","1","4911","76","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,105,104,104,1191268,0,0,878,"",2.38,1.82,1.79,1.79,2.54,0.00,0.00,1.41,"",0,0.0,8,8.2,5,5.1,3,3.0,13569,1.2,0,0.0,0,0.0,-37,-4.0
"05085","1","4911","76","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,108,107,107,1376064,0,0,986,"",2.39,1.85,1.85,1.84,2.29,0.00,0.00,1.24,"",0,0.0,8,8.0,7,7.0,7,7.0,10655,0.8,0,0.0,0,0.0,-64,-6.1
"05085","1","49111","77","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,105,104,104,1191268,0,0,878,"",2.38,1.82,1.79,1.79,2.54,0.00,0.00,1.41,"",0,0.0,8,8.2,5,5.1,3,3.0,13569,1.2,0,0.0,0,0.0,-37,-4.0
"05085","1","49111","77","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,108,107,107,1376064,0,0,986,"",2.39,1.85,1.85,1.84,2.29,0.00,0.00,1.24,"",0,0.0,8,8.0,7,7.0,7,7.0,10655,0.8,0,0.0,0,0.0,-64,-6.1
"05085","1","491110","78","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,105,104,104,1191268,0,0,878,"",2.38,1.82,1.79,1.79,2.54,0.00,0.00,1.41,"",0,0.0,8,8.2,5,5.1,3,3.0,13569,1.2,0,0.0,0,0.0,-37,-4.0
"05085","1","491110","78","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,108,107,107,1376064,0,0,986,"",2.39,1.85,1.85,1.84,2.29,0.00,0.00,1.24,"",0,0.0,8,8.0,7,7.0,7,7.0,10655,0.8,0,0.0,0,0.0,-64,-6.1
"05085","1","92","74","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,25,29,24,357990,0,0,1059,"",1.92,0.17,0.20,0.17,0.20,0.00,0.00,1.11,"",0,0.0,-6,-19.4,-1,-3.3,-5,-17.2,-168503,-32.0,0,0.0,0,0.0,-291,-21.6
"05085","1","92","74","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 92 Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,29,29,23,353443,0,0,1007,"",1.92,0.20,0.20,0.16,0.16,0.00,0.00,0.88,"",0,0.0,-1,-3.3,0,0.0,-13,-36.1,-90447,-20.4,0,0.0,0,0.0,-71,-6.6
"05085","1","924","75","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,20,24,19,261707,0,0,959,"",2.89,2.45,2.84,2.28,2.66,0.00,0.00,1.06,"",0,0.0,-6,-23.1,-1,-4.0,-5,-20.8,-150767,-36.6,0,0.0,0,0.0,-310,-24.4
"05085","1","924","75","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,24,25,19,283848,0,0,963,"",2.90,2.76,2.72,1.98,2.57,0.00,0.00,1.04,"",0,0.0,-1,-4.0,1,4.2,-12,-38.7,-69289,-19.6,0,0.0,0,0.0,-56,-5.5
"05085","1","9241","76","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,20,24,19,261707,0,0,959,"",2.89,2.45,2.84,2.28,2.66,0.00,0.00,1.06,"",0,0.0,-6,-23.1,-1,-4.0,-5,-20.8,-150767,-36.6,0,0.0,0,0.0,-310,-24.4
"05085","1","9241","76","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,24,25,19,283848,0,0,963,"",2.90,2.76,2.72,1.98,2.57,0.00,0.00,1.04,"",0,0.0,-1,-4.0,1,4.2,-12,-38.7,-69289,-19.6,0,0.0,0,0.0,-56,-5.5
"05085","1","92412","77","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,20,24,19,261707,0,0,959,"",3.04,3.02,3.47,2.80,3.62,0.00,0.00,1.17,"",0,0.0,-6,-23.1,-1,-4.0,-5,-20.8,-150767,-36.6,0,0.0,0,0.0,-310,-24.4
"05085","1","92412","77","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,24,25,19,283848,0,0,963,"",3.05,3.36,3.26,2.36,3.41,0.00,0.00,1.15,"",0,0.0,-1,-4.0,1,4.2,-12,-38.7,-69289,-19.6,0,0.0,0,0.0,-56,-5.5
"05085","1","924120","78","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,20,24,19,261707,0,0,959,"",3.04,3.02,3.47,2.80,3.62,0.00,0.00,1.17,"",0,0.0,-6,-23.1,-1,-4.0,-5,-20.8,-150767,-36.6,0,0.0,0,0.0,-310,-24.4
"05085","1","924120","78","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,24,25,19,283848,0,0,963,"",3.05,3.36,3.26,2.36,3.41,0.00,0.00,1.15,"",0,0.0,-1,-4.0,1,4.2,-12,-38.7,-69289,-19.6,0,0.0,0,0.0,-56,-5.5
"05085","1","926","75","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,5,5,5,96283,0,0,1481,"",3.71,0.22,0.22,0.22,0.33,0.00,0.00,1.49,"",0,0.0,0,0.0,0,0.0,0,0.0,-17736,-15.6,0,0.0,0,0.0,-273,-15.6
"05085","1","926","75","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,5,4,4,69595,0,0,1235,"",3.66,0.22,0.18,0.17,0.22,0.00,0.00,1.15,"",0,0.0,0,0.0,-1,-20.0,-1,-20.0,-21158,-23.3,0,0.0,0,0.0,-161,-11.5
"05085","1","9261","76","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,5,5,5,96283,0,0,1481,"",3.71,0.22,0.22,0.22,0.33,0.00,0.00,1.49,"",0,0.0,0,0.0,0,0.0,0,0.0,-17736,-15.6,0,0.0,0,0.0,-273,-15.6
"05085","1","9261","76","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,5,4,4,69595,0,0,1235,"",3.66,0.22,0.18,0.17,0.22,0.00,0.00,1.15,"",0,0.0,0,0.0,-1,-20.0,-1,-20.0,-21158,-23.3,0,0.0,0,0.0,-161,-11.5
"05085","1","92611","77","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,1,1,1,3805,0,0,293,"",5.78,0.25,0.25,0.25,0.07,0.00,0.00,0.30,"",0,0.0,0,0.0,0,0.0,0,0.0,184,5.1,0,0.0,0,0.0,14,5.0
"05085","1","92611","77","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 92611 Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,1,1,1,3929,0,0,302,"",5.46,0.24,0.24,0.24,0.07,0.00,0.00,0.28,"",0,0.0,0,0.0,0,0.0,0,0.0,657,20.1,0,0.0,0,0.0,50,19.8
"05085","1","926110","78","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,1,1,1,3805,0,0,293,"",5.78,0.25,0.25,0.25,0.07,0.00,0.00,0.30,"",0,0.0,0,0.0,0,0.0,0,0.0,184,5.1,0,0.0,0,0.0,14,5.0
"05085","1","926110","78","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 926110 Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,1,1,1,3929,0,0,302,"",5.46,0.24,0.24,0.24,0.07,0.00,0.00,0.28,"",0,0.0,0,0.0,0,0.0,0,0.0,657,20.1,0,0.0,0,0.0,50,19.8
"05085","1","92613","77","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 92613 Utility regulation and administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,35358,0,0,2720,"",39.17,1.14,1.13,1.13,2.07,0.00,0.00,1.83,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05085","1","92613","77","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 92613 Utility regulation and administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,30307,0,0,2331,"",39.45,1.13,1.14,1.13,1.70,0.00,0.00,1.50,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05085","1","926130","78","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 926130 Utility regulation and administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,35358,0,0,2720,"",39.17,1.14,1.13,1.13,2.07,0.00,0.00,1.83,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05085","1","926130","78","0","2019","2","","Lonoke County, Arkansas","Federal Government","NAICS 926130 Utility regulation and administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,30307,0,0,2331,"",39.45,1.13,1.14,1.13,1.70,0.00,0.00,1.50,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05085","1","92614","77","0","2019","1","","Lonoke County, Arkansas","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,3,3,57120,0,0,1465,"",2.37,0.75,0.70,0.73,1.30,0.00,0.00,1.80,"",0,0.0,0,0.0,0,0.0,0,0.0,-17920,-23.9,0,0.0,0,0.0,-459,-23.9
