"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05089","0","10","70","0","2019","1","","Marion County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",292,3869,3883,3886,30161103,20819469,417070,598,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.1,165,4.5,130,3.5,68,1.8,1338129,4.6,1113754,5.7,194941,87.8,8,1.4
"05089","0","10","70","0","2019","2","","Marion County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",291,3949,3982,3994,31803514,8677706,179780,615,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,168,4.4,180,4.7,159,4.1,3026893,10.5,-229605,-2.6,52346,41.1,33,5.7
"05089","1","10","71","0","2019","1","","Marion County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,31,31,32,363279,0,0,892,"",5.23,0.42,0.42,0.43,0.49,0.00,0.00,1.16,"",0,0.0,2,6.9,0,0.0,2,6.7,11056,3.1,0,0.0,0,0.0,-11,-1.2
"05089","1","10","71","0","2019","2","","Marion County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,32,39,40,440097,0,0,915,"",5.30,0.43,0.52,0.53,0.49,0.00,0.00,1.00,"",0,0.0,-2,-5.9,4,11.4,2,5.3,85113,24.0,0,0.0,0,0.0,149,19.5
"05089","1","102","72","0","2019","1","","Marion County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,31,31,32,363279,0,0,892,"",5.24,0.43,0.42,0.44,0.50,0.00,0.00,1.16,"",0,0.0,2,6.9,0,0.0,2,6.7,11056,3.1,0,0.0,0,0.0,-11,-1.2
"05089","1","102","72","0","2019","2","","Marion County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,32,39,40,440097,0,0,915,"",5.31,0.44,0.53,0.54,0.50,0.00,0.00,1.00,"",0,0.0,-2,-5.9,4,11.4,2,5.3,85113,24.0,0,0.0,0,0.0,149,19.5
"05089","1","1021","73","0","2019","1","","Marion County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,20,20,20,196086,0,0,754,"",8.08,1.12,1.12,1.12,1.48,0.00,0.00,1.32,"",0,0.0,1,5.3,0,0.0,1,5.3,-8106,-4.0,0,0.0,0,0.0,-58,-7.1
"05089","1","1021","73","0","2019","2","","Marion County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,20,20,19,238828,0,0,934,"",8.17,1.11,1.10,1.05,1.44,0.00,0.00,1.33,"",0,0.0,-1,-4.8,0,0.0,1,5.6,12572,5.6,0,0.0,0,0.0,49,5.5
"05089","1","1026","73","0","2019","1","","Marion County, Arkansas","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,11,11,12,167193,0,0,1135,"",22.86,9.27,9.16,9.96,22.68,0.00,0.00,2.40,"",0,0.0,1,10.0,0,0.0,1,9.1,19162,12.9,0,0.0,0,0.0,67,6.3
"05089","1","1026","73","0","2019","2","","Marion County, Arkansas","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,12,19,21,201269,0,0,893,"",23.25,9.73,14.09,14.97,23.64,0.00,0.00,1.81,"",0,0.0,-1,-7.7,4,26.7,1,5.0,72541,56.4,0,0.0,0,0.0,274,44.3
"05089","1","1028","73","0","2019","1","","Marion County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05089","1","1028","73","0","2019","2","","Marion County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05089","1","48-49","74","0","2019","1","","Marion County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,20,20,20,196086,0,0,754,"",8.30,1.22,1.22,1.22,1.58,0.00,0.00,1.30,"",0,0.0,1,5.3,0,0.0,1,5.3,-8106,-4.0,0,0.0,0,0.0,-58,-7.1
"05089","1","48-49","74","0","2019","2","","Marion County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,20,20,19,238828,0,0,934,"",8.40,1.21,1.20,1.14,1.54,0.00,0.00,1.30,"",0,0.0,-1,-4.8,0,0.0,1,5.6,12572,5.6,0,0.0,0,0.0,49,5.5
"05089","1","491","75","0","2019","1","","Marion County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,20,20,20,196086,0,0,754,"",8.36,1.25,1.24,1.25,1.66,0.00,0.00,1.34,"",0,0.0,1,5.3,0,0.0,1,5.3,-8106,-4.0,0,0.0,0,0.0,-58,-7.1
"05089","1","491","75","0","2019","2","","Marion County, Arkansas","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,20,20,19,238828,0,0,934,"",8.46,1.24,1.23,1.17,1.61,0.00,0.00,1.33,"",0,0.0,-1,-4.8,0,0.0,1,5.6,12572,5.6,0,0.0,0,0.0,49,5.5
"05089","1","4911","76","0","2019","1","","Marion County, Arkansas","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,20,20,20,196086,0,0,754,"",8.36,1.25,1.24,1.25,1.66,0.00,0.00,1.34,"",0,0.0,1,5.3,0,0.0,1,5.3,-8106,-4.0,0,0.0,0,0.0,-58,-7.1
