"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05099","0","10","70","0","2019","1","","Nevada County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",208,2506,2533,2494,25510924,15890928,170944,782,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,3.5,130,5.5,113,4.7,56,2.3,853403,3.5,797200,5.3,-56427,-24.8,-5,-0.6
"05099","0","10","70","0","2019","2","","Nevada County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",210,2520,2521,2506,24514653,4434822,56462,750,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,5.0,45,1.8,8,0.3,16,0.6,927446,3.9,-285417,-6.0,-5019,-8.2,22,3.0
"05099","1","10","71","0","2019","1","","Nevada County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,28,26,24,197938,0,0,586,"",6.53,0.58,0.54,0.50,0.31,0.00,0.00,0.58,"",0,0.0,6,27.3,2,8.3,-1,-4.0,-5328,-2.6,0,0.0,0,0.0,-75,-11.3
"05099","1","10","71","0","2019","2","","Nevada County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,25,24,25,233057,0,0,727,"",6.53,0.52,0.50,0.53,0.34,0.00,0.00,0.65,"",0,0.0,1,4.2,0,0.0,-2,-7.4,-12188,-5.0,0,0.0,0,0.0,-28,-3.7
"05099","1","102","72","0","2019","1","","Nevada County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,28,26,24,197938,0,0,586,"",6.54,0.59,0.55,0.51,0.32,0.00,0.00,0.58,"",0,0.0,6,27.3,2,8.3,-1,-4.0,-5328,-2.6,0,0.0,0,0.0,-75,-11.3
"05099","1","102","72","0","2019","2","","Nevada County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,25,24,25,233057,0,0,727,"",6.54,0.53,0.51,0.54,0.34,0.00,0.00,0.65,"",0,0.0,1,4.2,0,0.0,-2,-7.4,-12188,-5.0,0,0.0,0,0.0,-28,-3.7
"05099","1","1021","73","0","2019","1","","Nevada County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,28,26,24,197938,0,0,586,"",11.34,2.42,2.22,2.09,1.76,0.00,0.00,0.79,"",0,0.0,6,27.3,2,8.3,-1,-4.0,-5328,-2.6,0,0.0,0,0.0,-75,-11.3
"05099","1","1021","73","0","2019","2","","Nevada County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,25,24,25,233057,0,0,727,"",11.33,2.17,2.09,2.20,1.82,0.00,0.00,0.85,"",0,0.0,1,4.2,0,0.0,-2,-7.4,-12188,-5.0,0,0.0,0,0.0,-28,-3.7
"05099","1","1028","73","0","2019","1","","Nevada County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"05099","1","1028","73","0","2019","2","","Nevada County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
