"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05121","0","10","70","0","2019","1","","Randolph County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",397,5688,5761,5780,45484090,28556362,529357,609,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-11,-2.7,203,3.7,189,3.4,167,3.0,1657647,3.8,1291543,4.7,145437,37.9,2,0.3
"05121","0","10","70","0","2019","2","","Randolph County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",400,5801,5842,5867,48306479,12666389,242716,637,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-1.0,141,2.5,36,0.6,113,2.0,1452021,3.1,-154107,-1.2,38393,18.8,9,1.4
"05121","1","10","71","0","2019","1","","Randolph County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,45,50,48,513806,0,0,829,"",3.42,0.41,0.45,0.44,0.46,0.00,0.00,1.06,"",0,0.0,-5,-10.0,-1,-2.0,2,4.3,-51184,-9.1,0,0.0,0,0.0,-58,-6.5
"05121","1","10","71","0","2019","2","","Randolph County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,50,46,50,596392,0,0,943,"",3.43,0.45,0.42,0.45,0.44,0.00,0.00,0.99,"",0,0.0,5,11.1,0,0.0,6,13.6,19385,3.4,0,0.0,0,0.0,-43,-4.4
"05121","1","102","72","0","2019","1","","Randolph County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,45,50,48,513806,0,0,829,"",3.43,0.42,0.46,0.44,0.47,0.00,0.00,1.05,"",0,0.0,-5,-10.0,-1,-2.0,2,4.3,-51184,-9.1,0,0.0,0,0.0,-58,-6.5
"05121","1","102","72","0","2019","2","","Randolph County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,50,46,50,596392,0,0,943,"",3.43,0.46,0.42,0.46,0.45,0.00,0.00,0.99,"",0,0.0,5,11.1,0,0.0,6,13.6,19385,3.4,0,0.0,0,0.0,-43,-4.4
"05121","1","1021","73","0","2019","1","","Randolph County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,32,33,31,292214,0,0,702,"",5.09,1.22,1.24,1.17,1.46,0.00,0.00,1.21,"",0,0.0,1,3.2,1,3.1,0,0.0,20050,7.4,0,0.0,0,0.0,34,5.1
"05121","1","1021","73","0","2019","2","","Randolph County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,31,28,29,327531,0,0,859,"",5.10,1.17,1.05,1.09,1.30,0.00,0.00,1.18,"",0,0.0,0,0.0,0,0.0,3,11.5,14841,4.7,0,0.0,0,0.0,10,1.2
"05121","1","1028","73","0","2019","1","","Randolph County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,13,17,17,221592,0,0,1088,"",2.12,0.22,0.28,0.29,0.32,0.00,0.00,1.23,"",0,0.0,-6,-31.6,-2,-10.5,2,13.3,-71234,-24.3,0,0.0,0,0.0,-187,-14.7
"05121","1","1028","73","0","2019","2","","Randolph County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,19,18,21,268861,0,0,1070,"",2.13,0.32,0.30,0.35,0.33,0.00,0.00,1.02,"",0,0.0,5,35.7,0,0.0,3,16.7,4544,1.7,0,0.0,0,0.0,-150,-12.3
