"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05125","0","10","70","0","2019","1","","Saline County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2077,24510,24449,24559,220178210,131587158,1959270,691,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",34,1.7,84,0.3,-101,-0.4,-198,-0.8,7809976,3.7,2969785,2.3,118948,6.5,26,3.9
"05125","0","10","70","0","2019","2","","Saline County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",2109,24807,24963,25080,233361072,50685440,723593,719,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",83,4.1,155,0.6,86,0.3,-104,-0.4,6341252,2.8,124710,0.2,27343,3.9,18,2.6
"05125","1","10","71","0","2019","1","","Saline County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,89,99,97,1200948,0,0,972,"",0.74,0.19,0.21,0.21,0.22,0.00,0.00,1.09,"",1,12.5,1,1.1,4,4.2,1,1.0,33743,2.9,0,0.0,0,0.0,7,0.7
"05125","1","10","71","0","2019","2","","Saline County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,97,95,94,1369195,0,0,1105,"",0.73,0.21,0.20,0.20,0.21,0.00,0.00,1.03,"",1,12.5,1,1.0,1,1.1,-4,-4.1,-62084,-4.3,0,0.0,0,0.0,-42,-3.7
"05125","1","102","72","0","2019","1","","Saline County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,89,99,97,1200948,0,0,972,"",0.74,0.19,0.22,0.21,0.23,0.00,0.00,1.09,"",1,12.5,1,1.1,4,4.2,1,1.0,33743,2.9,0,0.0,0,0.0,7,0.7
"05125","1","102","72","0","2019","2","","Saline County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,97,95,94,1369195,0,0,1105,"",0.73,0.21,0.20,0.20,0.21,0.00,0.00,1.03,"",1,12.5,1,1.0,1,1.1,-4,-4.1,-62084,-4.3,0,0.0,0,0.0,-42,-3.7
"05125","1","1021","73","0","2019","1","","Saline County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,85,95,94,1164824,0,0,981,"",0.81,0.75,0.84,0.83,1.20,0.00,0.00,1.49,"",0,0.0,-2,-2.3,2,2.2,1,1.1,14072,1.2,0,0.0,0,0.0,8,0.8
"05125","1","1021","73","0","2019","2","","Saline County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,93,93,91,1345846,0,0,1121,"",0.81,0.82,0.82,0.80,1.11,0.00,0.00,1.36,"",0,0.0,0,0.0,3,3.3,-4,-4.2,-43994,-3.2,0,0.0,0,0.0,-33,-2.9
"05125","1","1028","73","0","2019","1","","Saline County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,4,4,3,36124,0,0,758,"",0.81,0.02,0.02,0.01,0.01,0.00,0.00,0.76,"",1,33.3,3,300.0,2,100.0,0,0.0,19671,119.6,0,0.0,0,0.0,125,19.7
"05125","1","1028","73","0","2019","2","","Saline County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,4,2,3,23349,0,0,599,"",0.81,0.02,0.01,0.01,0.01,0.00,0.00,0.51,"",1,33.3,1,33.3,-2,-50.0,0,0.0,-18090,-43.7,0,0.0,0,0.0,-357,-37.3
