"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05139","0","10","70","0","2019","1","","Union County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1300,17409,17313,17387,246108409,112275821,1915812,1090,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-0.9,23,0.1,-88,-0.5,10,0.1,26529653,12.1,1739882,1.6,-61413,-3.1,119,12.3
"05139","0","10","70","0","2019","2","","Union County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1302,17488,17390,17310,208697723,29954618,532022,923,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.5,132,0.8,-163,-0.9,-236,-1.3,-430966,-0.2,-766779,-2.5,12968,2.5,3,0.3
"05139","1","10","71","0","2019","1","","Union County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,144,151,150,2356551,0,0,1222,"",2.48,0.43,0.46,0.45,0.39,0.00,0.00,0.87,"",0,0.0,3,2.1,10,7.1,7,4.9,112932,5.0,0,0.0,0,0.0,4,0.3
"05139","1","10","71","0","2019","2","","Union County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,151,146,148,2586561,0,0,1341,"",2.50,0.45,0.44,0.45,0.44,0.00,0.00,0.97,"",0,0.0,8,5.6,4,2.8,6,4.2,189269,7.9,0,0.0,0,0.0,45,3.5
"05139","1","102","72","0","2019","1","","Union County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,144,151,150,2356551,0,0,1222,"",2.49,0.44,0.46,0.46,0.40,0.00,0.00,0.87,"",0,0.0,3,2.1,10,7.1,7,4.9,112932,5.0,0,0.0,0,0.0,4,0.3
"05139","1","102","72","0","2019","2","","Union County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,151,146,148,2586561,0,0,1341,"",2.51,0.46,0.45,0.46,0.45,0.00,0.00,0.97,"",0,0.0,8,5.6,4,2.8,6,4.2,189269,7.9,0,0.0,0,0.0,45,3.5
"05139","1","1021","73","0","2019","1","","Union County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,79,83,83,1021661,0,0,962,"",2.33,0.98,1.04,1.04,0.94,0.00,0.00,0.92,"",0,0.0,-1,-1.2,4,5.1,2,2.5,46087,4.7,0,0.0,0,0.0,24,2.6
"05139","1","1021","73","0","2019","2","","Union County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,83,79,78,1117949,0,0,1075,"",2.35,1.04,1.00,0.99,1.03,0.00,0.00,1.02,"",0,0.0,1,1.2,-2,-2.5,0,0.0,4857,0.4,0,0.0,0,0.0,9,0.8
"05139","1","1024","73","0","2019","1","","Union County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,7,7,7,124403,0,0,1367,"",10.71,0.88,0.89,0.89,0.76,0.00,0.00,0.85,"",0,0.0,0,0.0,0,0.0,0,0.0,16242,15.0,0,0.0,0,0.0,178,15.0
"05139","1","1024","73","0","2019","2","","Union County, Arkansas","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,7,7,7,106585,0,0,1171,"",10.76,0.89,0.89,0.89,0.72,0.00,0.00,0.81,"",0,0.0,0,0.0,0,0.0,0,0.0,-986,-0.9,0,0.0,0,0.0,-11,-0.9
