"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05145","0","10","70","0","2019","1","","White County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1819,23699,23800,23946,217600067,105493445,1513648,703,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,0.6,25,0.1,-53,-0.2,-110,-0.5,2025998,0.9,2110047,2.0,-289643,-16.1,8,1.2
"05145","0","10","70","0","2019","2","","White County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1825,24036,24050,23804,230469888,40322786,565529,740,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,1.0,-99,-0.4,-112,-0.5,-87,-0.4,2398502,1.1,-2661822,-6.2,-73103,-11.4,11,1.5
"05145","1","10","71","0","2019","1","","White County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,166,164,166,2015023,0,0,938,"",2.71,0.37,0.36,0.36,0.38,0.00,0.00,1.03,"",1,3.6,-2,-1.2,7,4.5,0,0.0,-29352,-1.4,0,0.0,0,0.0,-23,-2.4
"05145","1","10","71","0","2019","2","","White County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",28,162,165,170,2247937,0,0,1044,"",2.63,0.36,0.36,0.38,0.34,0.00,0.00,0.95,"",0,0.0,4,2.5,3,1.9,16,10.4,83591,3.9,0,0.0,0,0.0,-10,-0.9
"05145","1","102","72","0","2019","1","","White County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,166,164,166,2015023,0,0,938,"",2.71,0.37,0.37,0.37,0.38,0.00,0.00,1.03,"",1,3.6,-2,-1.2,7,4.5,0,0.0,-29352,-1.4,0,0.0,0,0.0,-23,-2.4
"05145","1","102","72","0","2019","2","","White County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,162,165,170,2247937,0,0,1044,"",2.63,0.36,0.37,0.38,0.35,0.00,0.00,0.95,"",0,0.0,4,2.5,3,1.9,16,10.4,83591,3.9,0,0.0,0,0.0,-10,-0.9
"05145","1","1021","73","0","2019","1","","White County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,122,120,123,1323379,0,0,837,"",3.33,1.11,1.09,1.12,1.38,0.00,0.00,1.25,"",0,0.0,0,0.0,4,3.4,4,3.4,-3870,-0.3,0,0.0,0,0.0,-21,-2.4
"05145","1","1021","73","0","2019","2","","White County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,119,122,124,1574286,0,0,995,"",3.35,1.09,1.12,1.15,1.31,0.00,0.00,1.17,"",0,0.0,2,1.7,6,5.2,11,9.7,37504,2.4,0,0.0,0,0.0,-30,-2.9
"05145","1","1028","73","0","2019","1","","White County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,44,44,43,691644,0,0,1218,"",2.55,0.18,0.18,0.17,0.21,0.00,0.00,1.19,"",1,10.0,-2,-4.3,3,7.3,-4,-8.5,-25482,-3.6,0,0.0,0,0.0,-17,-1.4
"05145","1","1028","73","0","2019","2","","White County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,43,43,46,673651,0,0,1178,"",2.33,0.17,0.17,0.19,0.17,0.00,0.00,0.97,"",0,0.0,2,4.9,-3,-6.5,5,12.2,46087,7.3,0,0.0,0,0.0,47,4.2
