"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"05147","0","10","70","0","2019","1","","Woodruff County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",207,1690,1682,1693,15051344,7333452,124590,686,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.0,-29,-1.7,-21,-1.2,-25,-1.5,353758,2.4,-10466,-0.1,-12116,-8.9,26,3.9
"05147","0","10","70","0","2019","2","","Woodruff County, Arkansas","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",205,1700,1742,1748,15079418,3147659,72909,670,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-1.0,-14,-0.8,26,1.5,15,0.9,73693,0.5,26589,0.9,-5706,-7.3,-1,-0.1
"05147","1","10","71","0","2019","1","","Woodruff County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,32,34,36,482110,0,0,1091,"",9.02,0.99,1.05,1.11,1.30,0.00,0.00,1.23,"",0,0.0,-8,-20.0,-3,-8.1,-4,-10.0,-12441,-2.5,0,0.0,0,0.0,116,11.9
"05147","1","10","71","0","2019","2","","Woodruff County, Arkansas","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,36,40,37,518686,0,0,1059,"",9.20,1.12,1.21,1.12,1.22,0.00,0.00,1.06,"",0,0.0,1,2.9,5,14.3,0,0.0,32317,6.6,0,0.0,0,0.0,10,1.0
"05147","1","102","72","0","2019","1","","Woodruff County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,32,34,36,482110,0,0,1091,"",9.04,1.01,1.07,1.14,1.32,0.00,0.00,1.23,"",0,0.0,-8,-20.0,-3,-8.1,-4,-10.0,-12441,-2.5,0,0.0,0,0.0,116,11.9
"05147","1","102","72","0","2019","2","","Woodruff County, Arkansas","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,36,40,37,518686,0,0,1059,"",9.22,1.14,1.24,1.14,1.24,0.00,0.00,1.06,"",0,0.0,1,2.9,5,14.3,0,0.0,32317,6.6,0,0.0,0,0.0,10,1.0
"05147","1","1021","73","0","2019","1","","Woodruff County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,15,16,19,171353,0,0,791,"",9.77,1.92,2.06,2.44,2.58,0.00,0.00,1.21,"",0,0.0,-4,-21.1,-3,-15.8,0,0.0,6729,4.1,0,0.0,0,0.0,125,18.8
"05147","1","1021","73","0","2019","2","","Woodruff County, Arkansas","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,16,18,18,212266,0,0,942,"",9.95,2.06,2.27,2.27,2.70,0.00,0.00,1.23,"",0,0.0,-2,-11.1,0,0.0,-2,-10.0,13811,7.0,0,0.0,0,0.0,124,15.2
"05147","1","1028","73","0","2019","1","","Woodruff County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,17,18,17,310757,0,0,1379,"",10.17,0.97,1.03,0.97,1.37,0.00,0.00,1.38,"",0,0.0,-4,-19.0,0,0.0,-4,-19.0,-19170,-5.8,0,0.0,0,0.0,110,8.7
"05147","1","1028","73","0","2019","2","","Woodruff County, Arkansas","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,20,22,19,306420,0,0,1159,"",10.37,1.14,1.23,1.06,1.20,0.00,0.00,1.05,"",0,0.0,3,17.6,5,29.4,2,11.8,18506,6.4,0,0.0,0,0.0,-144,-11.1
"05147","1","48-49","74","0","2019","1","","Woodruff County, Arkansas","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,15,16,19,171353,0,0,791,"",10.04,2.09,2.25,2.66,2.77,0.00,0.00,1.19,"",0,0.0,-4,-21.1,-3,-15.8,0,0.0,6729,4.1,0,0.0,0,0.0,125,18.8
