"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06001","0","10","70","0","2019","1","","Alameda County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",64991,781566,785493,788719,15870866609,4060648460,168765485,1555,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1791,2.8,10816,1.4,8041,1.0,8743,1.1,601035767,3.9,90556997,2.3,-2976275,-1.7,41,2.7
"06001","0","10","70","0","2019","2","","Alameda County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",65729,789854,792341,797900,15415776824,799607755,30840716,1495,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1685,2.6,6132,0.8,4710,0.6,4244,0.5,888769758,6.1,-15852378,-1.9,-2354035,-7.1,78,5.5
"06001","1","10","71","0","2019","1","","Alameda County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",107,8717,8671,8666,192665515,0,0,1707,"",0.28,0.58,0.58,0.58,0.49,0.00,0.00,0.85,"",0,0.0,-264,-2.9,-172,-1.9,-199,-2.2,-10837989,-5.3,0,0.0,0,0.0,-53,-3.0
"06001","1","10","71","0","2019","2","","Alameda County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",104,8713,8683,8667,203662627,0,0,1803,"",0.27,0.58,0.58,0.57,0.47,0.00,0.00,0.81,"",-4,-3.7,-212,-2.4,-146,-1.7,-82,-0.9,6654827,3.4,0,0.0,0,0.0,88,5.1
"06001","1","102","72","0","2019","1","","Alameda County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",107,8717,8671,8666,192665515,0,0,1707,"",0.28,0.59,0.59,0.59,0.50,0.00,0.00,0.85,"",0,0.0,-264,-2.9,-172,-1.9,-199,-2.2,-10837989,-5.3,0,0.0,0,0.0,-53,-3.0
"06001","1","102","72","0","2019","2","","Alameda County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",104,8713,8683,8667,203662627,0,0,1803,"",0.27,0.59,0.59,0.58,0.48,0.00,0.00,0.81,"",-4,-3.7,-212,-2.4,-146,-1.7,-82,-0.9,6654827,3.4,0,0.0,0,0.0,88,5.1
"06001","1","1021","73","0","2019","1","","Alameda County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,3234,3193,3200,55443610,0,0,1329,"",0.15,0.89,0.88,0.88,0.79,0.00,0.00,0.90,"",0,0.0,-266,-7.6,-201,-5.9,-170,-5.0,2091425,3.9,0,0.0,0,0.0,129,10.8
"06001","1","1021","73","0","2019","2","","Alameda County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,3190,3201,3188,62410471,0,0,1504,"",0.14,0.89,0.89,0.88,0.78,0.00,0.00,0.88,"",0,0.0,-248,-7.2,-143,-4.3,-129,-3.9,599566,1.0,0,0.0,0,0.0,92,6.5
"06001","1","1023","73","0","2019","1","","Alameda County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,10,10,10,349280,0,0,2687,"",0.20,0.15,0.15,0.15,0.15,0.00,0.00,0.95,"",0,0.0,-1,-9.1,-1,-9.1,0,0.0,-24713,-6.6,0,0.0,0,0.0,-10,-0.4
"06001","1","1023","73","0","2019","2","","Alameda County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,11,12,12,373543,0,0,2463,"",0.20,0.17,0.19,0.18,0.15,0.00,0.00,0.83,"",0,0.0,1,10.0,2,20.0,2,20.0,25267,7.3,0,0.0,0,0.0,-216,-8.1
"06001","1","1024","73","0","2019","1","","Alameda County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,16,16,16,454916,0,0,2187,"",0.21,0.04,0.04,0.04,0.04,0.00,0.00,0.96,"",0,0.0,-3,-15.8,-4,-20.0,-3,-15.8,-110674,-19.6,0,0.0,0,0.0,-63,-2.8
"06001","1","1024","73","0","2019","2","","Alameda County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,14,14,14,405823,0,0,2230,"",0.21,0.04,0.04,0.04,0.04,0.00,0.00,0.95,"",0,0.0,-5,-26.3,-5,-26.3,-4,-22.2,-99850,-19.7,0,0.0,0,0.0,146,7.0
"06001","1","1025","73","0","2019","1","","Alameda County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,364,369,383,8130070,0,0,1681,"",0.11,0.16,0.16,0.17,0.14,0.00,0.00,0.85,"",0,0.0,1,0.3,9,2.5,26,7.3,241340,3.1,0,0.0,0,0.0,-5,-0.3
"06001","1","1025","73","0","2019","2","","Alameda County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,382,377,369,9449242,0,0,1933,"",0.11,0.17,0.17,0.16,0.14,0.00,0.00,0.84,"",0,0.0,24,6.7,9,2.4,8,2.2,408218,4.5,0,0.0,0,0.0,14,0.7
"06001","1","1026","73","0","2019","1","","Alameda County, California","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,36,39,38,447128,0,0,913,"",0.41,0.15,0.16,0.16,0.12,0.00,0.00,0.74,"",0,0.0,-7,-16.3,-4,-9.3,-5,-11.6,-152727,-25.5,0,0.0,0,0.0,-160,-14.9
"06001","1","1026","73","0","2019","2","","Alameda County, California","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,37,38,36,419723,0,0,873,"",0.41,0.15,0.14,0.13,0.10,0.00,0.00,0.73,"",0,0.0,-5,-11.9,-5,-11.6,-8,-18.2,-163569,-28.0,0,0.0,0,0.0,-170,-16.3
"06001","1","1027","73","0","2019","1","","Alameda County, California","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
