"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06007","0","10","70","0","2019","1","","Butte County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8581,79488,80985,81174,891594201,308923110,13321056,851,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",67,0.8,-1003,-1.2,-1263,-1.5,-2015,-2.4,40498088,4.8,4812642,1.6,-215444,-1.6,52,6.5
"06007","0","10","70","0","2019","2","","Butte County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",8617,82343,83166,81222,901124794,91068014,3784652,843,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,0.2,-2111,-2.5,-2104,-2.5,-2963,-3.5,24019095,2.7,-1222272,-1.3,-114904,-2.9,46,5.8
"06007","1","10","71","0","2019","1","","Butte County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,516,522,535,8067801,0,0,1184,"",0.61,0.34,0.34,0.35,0.37,0.00,0.00,1.08,"",-1,-3.1,-13,-2.5,-16,-3.0,-11,-2.0,4929,0.1,0,0.0,0,0.0,30,2.6
"06007","1","10","71","0","2019","2","","Butte County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",32,541,569,580,8923839,0,0,1219,"",0.64,0.35,0.36,0.38,0.35,0.00,0.00,0.97,"",0,0.0,-4,-0.7,7,1.2,-3,-0.5,199761,2.3,0,0.0,0,0.0,28,2.4
"06007","1","102","72","0","2019","1","","Butte County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",31,516,522,535,8067801,0,0,1184,"",0.61,0.35,0.34,0.35,0.37,0.00,0.00,1.08,"",-1,-3.1,-13,-2.5,-16,-3.0,-11,-2.0,4929,0.1,0,0.0,0,0.0,30,2.6
"06007","1","102","72","0","2019","2","","Butte County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",32,541,569,580,8923839,0,0,1219,"",0.64,0.35,0.37,0.38,0.36,0.00,0.00,0.97,"",0,0.0,-4,-0.7,7,1.2,-3,-0.5,199761,2.3,0,0.0,0,0.0,28,2.4
"06007","1","1021","73","0","2019","1","","Butte County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,274,281,285,4087908,0,0,1123,"",0.63,0.75,0.75,0.76,1.04,0.00,0.00,1.38,"",0,0.0,-10,-3.5,-10,-3.4,-7,-2.4,429201,11.7,0,0.0,0,0.0,149,15.3
"06007","1","1021","73","0","2019","2","","Butte County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,270,273,269,4117183,0,0,1170,"",0.63,0.72,0.72,0.73,0.88,0.00,0.00,1.21,"",0,0.0,-24,-8.2,-16,-5.5,-20,-6.9,-123182,-2.9,0,0.0,0,0.0,48,4.3
"06007","1","1023","73","0","2019","1","","Butte County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,75275,0,0,1158,"",1.50,0.76,0.75,0.75,0.56,0.00,0.00,0.75,"",0,0.0,1,25.0,1,25.0,1,25.0,-3808,-4.8,0,0.0,0,0.0,-363,-23.9
"06007","1","1023","73","0","2019","2","","Butte County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,5,5,79833,0,0,1228,"",1.52,0.74,0.74,0.75,0.55,0.00,0.00,0.73,"",0,0.0,1,25.0,1,25.0,0,0.0,11567,16.9,0,0.0,0,0.0,16,1.3
"06007","1","1025","73","0","2019","1","","Butte County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,90,88,92,1678707,0,0,1435,"",0.87,0.39,0.38,0.39,0.52,0.00,0.00,1.33,"",0,0.0,-8,-8.2,-9,-9.3,-6,-6.1,-192530,-10.3,0,0.0,0,0.0,-39,-2.6
"06007","1","1025","73","0","2019","2","","Butte County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,95,93,96,2110323,0,0,1715,"",0.87,0.40,0.39,0.42,0.53,0.00,0.00,1.32,"",0,0.0,-1,-1.0,-3,-3.1,3,3.2,102017,5.1,0,0.0,0,0.0,89,5.5
"06007","1","1028","73","0","2019","1","","Butte County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,147,148,153,2225911,0,0,1147,"",0.64,0.18,0.18,0.18,0.17,0.00,0.00,0.93,"",-1,-7.1,4,2.8,2,1.4,1,0.7,-227934,-9.3,0,0.0,0,0.0,-137,-10.7
"06007","1","1028","73","0","2019","2","","Butte County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,171,198,210,2616500,0,0,1043,"",0.69,0.20,0.23,0.25,0.17,0.00,0.00,0.75,"",0,0.0,20,13.2,25,14.5,14,7.1,209359,8.7,0,0.0,0,0.0,-25,-2.3
"06007","1","48-49","74","0","2019","1","","Butte County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,274,281,285,4087908,0,0,1123,"",0.65,0.81,0.82,0.83,1.12,0.00,0.00,1.36,"",0,0.0,-10,-3.5,-10,-3.4,-7,-2.4,429201,11.7,0,0.0,0,0.0,149,15.3
"06007","1","48-49","74","0","2019","2","","Butte County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,270,273,269,4117183,0,0,1170,"",0.65,0.78,0.79,0.80,0.94,0.00,0.00,1.19,"",0,0.0,-24,-8.2,-16,-5.5,-20,-6.9,-123182,-2.9,0,0.0,0,0.0,48,4.3
"06007","1","491","75","0","2019","1","","Butte County, California","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,274,281,285,4087908,0,0,1123,"",0.65,0.83,0.84,0.85,1.17,0.00,0.00,1.40,"",0,0.0,-10,-3.5,-10,-3.4,-7,-2.4,429201,11.7,0,0.0,0,0.0,149,15.3
"06007","1","491","75","0","2019","2","","Butte County, California","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,270,273,269,4117183,0,0,1170,"",0.65,0.80,0.80,0.81,0.98,0.00,0.00,1.21,"",0,0.0,-24,-8.2,-16,-5.5,-20,-6.9,-123182,-2.9,0,0.0,0,0.0,48,4.3
"06007","1","4911","76","0","2019","1","","Butte County, California","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,274,281,285,4087908,0,0,1123,"",0.65,0.83,0.84,0.85,1.17,0.00,0.00,1.40,"",0,0.0,-10,-3.5,-10,-3.4,-7,-2.4,429201,11.7,0,0.0,0,0.0,149,15.3
"06007","1","4911","76","0","2019","2","","Butte County, California","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,270,273,269,4117183,0,0,1170,"",0.65,0.80,0.80,0.81,0.98,0.00,0.00,1.21,"",0,0.0,-24,-8.2,-16,-5.5,-20,-6.9,-123182,-2.9,0,0.0,0,0.0,48,4.3
"06007","1","49111","77","0","2019","1","","Butte County, California","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,274,281,285,4087908,0,0,1123,"",0.65,0.83,0.84,0.85,1.17,0.00,0.00,1.40,"",0,0.0,-10,-3.5,-10,-3.4,-7,-2.4,429201,11.7,0,0.0,0,0.0,149,15.3
"06007","1","49111","77","0","2019","2","","Butte County, California","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,270,273,269,4117183,0,0,1170,"",0.65,0.80,0.80,0.81,0.98,0.00,0.00,1.21,"",0,0.0,-24,-8.2,-16,-5.5,-20,-6.9,-123182,-2.9,0,0.0,0,0.0,48,4.3
"06007","1","491110","78","0","2019","1","","Butte County, California","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,274,281,285,4087908,0,0,1123,"",0.65,0.83,0.84,0.85,1.17,0.00,0.00,1.40,"",0,0.0,-10,-3.5,-10,-3.4,-7,-2.4,429201,11.7,0,0.0,0,0.0,149,15.3
"06007","1","491110","78","0","2019","2","","Butte County, California","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,270,273,269,4117183,0,0,1170,"",0.65,0.80,0.80,0.81,0.98,0.00,0.00,1.21,"",0,0.0,-24,-8.2,-16,-5.5,-20,-6.9,-123182,-2.9,0,0.0,0,0.0,48,4.3
"06007","1","52","74","0","2019","1","","Butte County, California","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,5,5,75275,0,0,1158,"",1.51,0.76,0.75,0.75,0.56,0.00,0.00,0.75,"",0,0.0,1,25.0,1,25.0,1,25.0,-3808,-4.8,0,0.0,0,0.0,-363,-23.9
"06007","1","52","74","0","2019","2","","Butte County, California","Federal Government","NAICS 52 Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,5,5,79833,0,0,1228,"",1.53,0.74,0.74,0.76,0.55,0.00,0.00,0.73,"",0,0.0,1,25.0,1,25.0,0,0.0,11567,16.9,0,0.0,0,0.0,16,1.3
"06007","1","522","75","0","2019","1","","Butte County, California","Federal Government","NAICS 522 Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,5,5,75275,0,0,1158,"",1.82,1.64,1.61,1.62,1.53,0.00,0.00,0.95,"",0,0.0,1,25.0,1,25.0,1,25.0,-3808,-4.8,0,0.0,0,0.0,-363,-23.9
