"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06009","0","10","70","0","2019","1","","Calaveras County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1354,9219,9285,9401,91362877,34035782,1473037,756,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",44,3.4,31,0.3,-173,-1.8,-20,-0.2,273765,0.3,-293176,-0.9,-85259,-5.5,7,0.9
"06009","0","10","70","0","2019","2","","Calaveras County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",1365,9612,9827,9994,101719696,12601741,536375,798,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",29,2.2,-67,-0.7,40,0.4,91,0.9,4652939,4.8,718498,6.0,29123,5.7,35,4.6
"06009","1","10","71","0","2019","1","","Calaveras County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,114,114,114,1344274,0,0,907,"",2.51,0.65,0.64,0.64,0.60,0.00,0.00,0.93,"",-1,-4.8,-9,-7.3,-4,-3.4,1,0.9,-157362,-10.5,0,0.0,0,0.0,-72,-7.4
"06009","1","10","71","0","2019","2","","Calaveras County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,115,124,139,1579716,0,0,964,"",2.39,0.63,0.67,0.73,0.55,0.00,0.00,0.81,"",-2,-9.5,-5,-4.2,-9,-6.8,-5,-3.5,-47094,-2.9,0,0.0,0,0.0,18,1.9
"06009","1","102","72","0","2019","1","","Calaveras County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,114,114,114,1344274,0,0,907,"",2.51,0.66,0.65,0.65,0.61,0.00,0.00,0.93,"",-1,-4.8,-9,-7.3,-4,-3.4,1,0.9,-157362,-10.5,0,0.0,0,0.0,-72,-7.4
"06009","1","102","72","0","2019","2","","Calaveras County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,115,124,139,1579716,0,0,964,"",2.39,0.64,0.68,0.75,0.56,0.00,0.00,0.81,"",-2,-9.5,-5,-4.2,-9,-6.8,-5,-3.5,-47094,-2.9,0,0.0,0,0.0,18,1.9
"06009","1","1021","73","0","2019","1","","Calaveras County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,65,65,67,720399,0,0,844,"",3.98,1.52,1.52,1.55,1.79,0.00,0.00,1.17,"",-1,-5.9,-6,-8.5,-3,-4.4,1,1.5,-29393,-3.9,0,0.0,0,0.0,0,0.0
"06009","1","1021","73","0","2019","2","","Calaveras County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,64,65,66,855451,0,0,1012,"",3.73,1.46,1.45,1.46,1.61,0.00,0.00,1.11,"",-2,-11.8,-4,-5.9,-1,-1.5,1,1.5,-40552,-4.5,0,0.0,0,0.0,-27,-2.6
"06009","1","1024","73","0","2019","1","","Calaveras County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,18,19,18,258234,0,0,1083,"",5.14,4.27,4.50,4.22,4.23,0.00,0.00,0.98,"",0,0.0,-1,-5.3,0,0.0,-1,-5.3,2288,0.9,0,0.0,0,0.0,47,4.5
"06009","1","1024","73","0","2019","2","","Calaveras County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,19,19,19,247830,0,0,1003,"",5.13,4.41,4.28,4.18,3.44,0.00,0.00,0.80,"",0,0.0,0,0.0,0,0.0,0,0.0,-5143,-2.0,0,0.0,0,0.0,-21,-2.1
"06009","1","1028","73","0","2019","1","","Calaveras County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,31,30,29,365641,0,0,938,"",0.93,0.32,0.31,0.30,0.27,0.00,0.00,0.85,"",0,0.0,-2,-6.1,-1,-3.2,1,3.6,-130257,-26.3,0,0.0,0,0.0,-306,-24.6
"06009","1","1028","73","0","2019","2","","Calaveras County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,32,40,54,476435,0,0,873,"",0.93,0.32,0.40,0.53,0.28,0.00,0.00,0.67,"",0,0.0,-1,-3.0,-8,-16.7,-6,-10.0,-1399,-0.3,0,0.0,0,0.0,91,11.6
"06009","1","48-49","74","0","2019","1","","Calaveras County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,65,65,67,720399,0,0,844,"",4.09,1.66,1.65,1.69,1.92,0.00,0.00,1.15,"",-1,-5.9,-6,-8.5,-3,-4.4,1,1.5,-29393,-3.9,0,0.0,0,0.0,0,0.0
"06009","1","48-49","74","0","2019","2","","Calaveras County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,64,65,66,855451,0,0,1012,"",3.84,1.59,1.58,1.59,1.73,0.00,0.00,1.09,"",-2,-11.8,-4,-5.9,-1,-1.5,1,1.5,-40552,-4.5,0,0.0,0,0.0,-27,-2.6
"06009","1","491","75","0","2019","1","","Calaveras County, California","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,65,65,67,720399,0,0,844,"",4.12,1.70,1.69,1.72,2.02,0.00,0.00,1.18,"",-1,-5.9,-6,-8.5,-3,-4.4,1,1.5,-29393,-3.9,0,0.0,0,0.0,0,0.0
"06009","1","491","75","0","2019","2","","Calaveras County, California","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,64,65,66,855451,0,0,1012,"",3.86,1.63,1.62,1.62,1.80,0.00,0.00,1.11,"",-2,-11.8,-4,-5.9,-1,-1.5,1,1.5,-40552,-4.5,0,0.0,0,0.0,-27,-2.6
"06009","1","4911","76","0","2019","1","","Calaveras County, California","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,65,65,67,720399,0,0,844,"",4.12,1.70,1.69,1.72,2.02,0.00,0.00,1.18,"",-1,-5.9,-6,-8.5,-3,-4.4,1,1.5,-29393,-3.9,0,0.0,0,0.0,0,0.0
"06009","1","4911","76","0","2019","2","","Calaveras County, California","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,64,65,66,855451,0,0,1012,"",3.86,1.63,1.62,1.62,1.80,0.00,0.00,1.11,"",-2,-11.8,-4,-5.9,-1,-1.5,1,1.5,-40552,-4.5,0,0.0,0,0.0,-27,-2.6
"06009","1","49111","77","0","2019","1","","Calaveras County, California","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,65,65,67,720399,0,0,844,"",4.12,1.70,1.69,1.72,2.02,0.00,0.00,1.18,"",-1,-5.9,-6,-8.5,-3,-4.4,1,1.5,-29393,-3.9,0,0.0,0,0.0,0,0.0
"06009","1","49111","77","0","2019","2","","Calaveras County, California","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,64,65,66,855451,0,0,1012,"",3.86,1.63,1.62,1.62,1.80,0.00,0.00,1.11,"",-2,-11.8,-4,-5.9,-1,-1.5,1,1.5,-40552,-4.5,0,0.0,0,0.0,-27,-2.6
"06009","1","491110","78","0","2019","1","","Calaveras County, California","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,65,65,67,720399,0,0,844,"",4.12,1.70,1.69,1.72,2.02,0.00,0.00,1.18,"",-1,-5.9,-6,-8.5,-3,-4.4,1,1.5,-29393,-3.9,0,0.0,0,0.0,0,0.0
"06009","1","491110","78","0","2019","2","","Calaveras County, California","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,64,65,66,855451,0,0,1012,"",3.86,1.63,1.62,1.62,1.80,0.00,0.00,1.11,"",-2,-11.8,-4,-5.9,-1,-1.5,1,1.5,-40552,-4.5,0,0.0,0,0.0,-27,-2.6
"06009","1","54","74","0","2019","1","","Calaveras County, California","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,18,19,18,258234,0,0,1083,"",5.75,4.39,4.63,4.34,4.28,0.00,0.00,0.96,"",0,0.0,-1,-5.3,0,0.0,-1,-5.3,2288,0.9,0,0.0,0,0.0,47,4.5
"06009","1","54","74","0","2019","2","","Calaveras County, California","Federal Government","NAICS 54 Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,19,19,19,247830,0,0,1003,"",5.74,4.54,4.40,4.30,3.49,0.00,0.00,0.79,"",0,0.0,0,0.0,0,0.0,0,0.0,-5143,-2.0,0,0.0,0,0.0,-21,-2.1
"06009","1","541","75","0","2019","1","","Calaveras County, California","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,18,19,18,258234,0,0,1083,"",5.75,4.39,4.63,4.34,4.28,0.00,0.00,0.96,"",0,0.0,-1,-5.3,0,0.0,-1,-5.3,2288,0.9,0,0.0,0,0.0,47,4.5
"06009","1","541","75","0","2019","2","","Calaveras County, California","Federal Government","NAICS 541 Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,19,19,19,247830,0,0,1003,"",5.74,4.54,4.40,4.30,3.49,0.00,0.00,0.79,"",0,0.0,0,0.0,0,0.0,0,0.0,-5143,-2.0,0,0.0,0,0.0,-21,-2.1
"06009","1","5413","76","0","2019","1","","Calaveras County, California","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,18,19,18,258234,0,0,1083,"",9.42,5.67,5.98,5.60,5.64,0.00,0.00,0.98,"",0,0.0,-1,-5.3,0,0.0,-1,-5.3,2288,0.9,0,0.0,0,0.0,47,4.5
"06009","1","5413","76","0","2019","2","","Calaveras County, California","Federal Government","NAICS 5413 Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,19,19,19,247830,0,0,1003,"",9.40,5.86,5.66,5.53,4.61,0.00,0.00,0.81,"",0,0.0,0,0.0,0,0.0,0,0.0,-5143,-2.0,0,0.0,0,0.0,-21,-2.1
