"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06015","0","10","70","0","2019","1","","Del Norte County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",816,7999,8017,8136,83531622,22830152,1035796,798,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,1.1,16,0.2,-104,-1.3,-57,-0.7,1972102,2.4,599211,2.7,-10028,-1.0,23,3.0
"06015","0","10","70","0","2019","2","","Del Norte County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",820,8172,8290,8466,81509214,7198477,313384,755,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.5,-28,-0.3,-59,-0.7,-13,-0.2,2509134,3.2,74138,1.0,-12241,-3.8,27,3.7
"06015","1","10","71","0","2019","1","","Del Norte County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,120,115,115,1584885,0,0,1045,"",1.66,0.78,0.75,0.74,0.77,0.00,0.00,1.02,"",0,0.0,-1,-0.8,-9,-7.3,-5,-4.2,-205735,-11.5,0,0.0,0,0.0,-87,-7.7
"06015","1","10","71","0","2019","2","","Del Norte County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,121,167,176,1818653,0,0,905,"",1.67,0.78,1.06,1.10,0.79,0.00,0.00,0.80,"",0,0.0,-2,-1.6,21,14.4,11,6.7,10260,0.6,0,0.0,0,0.0,-57,-5.9
"06015","1","102","72","0","2019","1","","Del Norte County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,120,115,115,1584885,0,0,1045,"",1.67,0.80,0.76,0.76,0.78,0.00,0.00,1.01,"",0,0.0,-1,-0.8,-9,-7.3,-5,-4.2,-205735,-11.5,0,0.0,0,0.0,-87,-7.7
"06015","1","102","72","0","2019","2","","Del Norte County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,121,167,176,1818653,0,0,905,"",1.68,0.79,1.08,1.12,0.80,0.00,0.00,0.80,"",0,0.0,-2,-1.6,21,14.4,11,6.7,10260,0.6,0,0.0,0,0.0,-57,-5.9
"06015","1","1021","73","0","2019","1","","Del Norte County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,37,33,33,395025,0,0,885,"",1.65,1.00,0.89,0.88,1.07,0.00,0.00,1.16,"",0,0.0,3,8.8,1,3.1,1,3.1,16733,4.4,0,0.0,0,0.0,-6,-0.7
"06015","1","1021","73","0","2019","2","","Del Norte County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,34,33,34,449259,0,0,1026,"",1.66,0.91,0.88,0.89,1.06,0.00,0.00,1.19,"",0,0.0,2,6.2,-1,-2.9,0,0.0,-15853,-3.4,0,0.0,0,0.0,-47,-4.4
"06015","1","1026","73","0","2019","1","","Del Norte County, California","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,41,41,41,683210,0,0,1282,"",8.18,16.71,16.53,16.25,33.46,0.00,0.00,2.03,"",0,0.0,-3,-6.8,-3,-6.8,-3,-6.8,-26168,-3.7,0,0.0,0,0.0,42,3.4
"06015","1","1026","73","0","2019","2","","Del Norte County, California","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,44,71,75,771036,0,0,936,"",8.25,17.23,25.30,25.22,35.33,0.00,0.00,1.55,"",0,0.0,-1,-2.2,19,36.5,12,19.0,90499,13.3,0,0.0,0,0.0,-46,-4.7
"06015","1","1028","73","0","2019","1","","Del Norte County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,42,41,41,506650,0,0,943,"",1.55,0.51,0.49,0.49,0.40,0.00,0.00,0.81,"",0,0.0,-1,-2.3,-7,-14.6,-3,-6.8,-196300,-27.9,0,0.0,0,0.0,-259,-21.5
"06015","1","1028","73","0","2019","2","","Del Norte County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,43,63,67,598358,0,0,798,"",1.56,0.51,0.74,0.77,0.43,0.00,0.00,0.64,"",0,0.0,-3,-6.5,3,5.0,-1,-1.5,-64386,-9.7,0,0.0,0,0.0,-81,-9.2
"06015","1","48-49","74","0","2019","1","","Del Norte County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,37,33,33,395025,0,0,885,"",1.70,1.09,0.97,0.96,1.15,0.00,0.00,1.14,"",0,0.0,3,8.8,1,3.1,1,3.1,16733,4.4,0,0.0,0,0.0,-6,-0.7
"06015","1","48-49","74","0","2019","2","","Del Norte County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,34,33,34,449259,0,0,1026,"",1.70,0.99,0.95,0.97,1.13,0.00,0.00,1.17,"",0,0.0,2,6.2,-1,-2.9,0,0.0,-15853,-3.4,0,0.0,0,0.0,-47,-4.4
"06015","1","491","75","0","2019","1","","Del Norte County, California","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,37,33,33,395025,0,0,885,"",1.71,1.12,0.99,0.98,1.21,0.00,0.00,1.17,"",0,0.0,3,8.8,1,3.1,1,3.1,16733,4.4,0,0.0,0,0.0,-6,-0.7
"06015","1","491","75","0","2019","2","","Del Norte County, California","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,34,33,34,449259,0,0,1026,"",1.71,1.02,0.97,0.99,1.18,0.00,0.00,1.19,"",0,0.0,2,6.2,-1,-2.9,0,0.0,-15853,-3.4,0,0.0,0,0.0,-47,-4.4
"06015","1","4911","76","0","2019","1","","Del Norte County, California","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,37,33,33,395025,0,0,885,"",1.71,1.12,0.99,0.98,1.21,0.00,0.00,1.17,"",0,0.0,3,8.8,1,3.1,1,3.1,16733,4.4,0,0.0,0,0.0,-6,-0.7
"06015","1","4911","76","0","2019","2","","Del Norte County, California","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,34,33,34,449259,0,0,1026,"",1.71,1.02,0.97,0.99,1.18,0.00,0.00,1.19,"",0,0.0,2,6.2,-1,-2.9,0,0.0,-15853,-3.4,0,0.0,0,0.0,-47,-4.4
"06015","1","49111","77","0","2019","1","","Del Norte County, California","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,37,33,33,395025,0,0,885,"",1.71,1.12,0.99,0.98,1.21,0.00,0.00,1.17,"",0,0.0,3,8.8,1,3.1,1,3.1,16733,4.4,0,0.0,0,0.0,-6,-0.7
"06015","1","49111","77","0","2019","2","","Del Norte County, California","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,34,33,34,449259,0,0,1026,"",1.71,1.02,0.97,0.99,1.18,0.00,0.00,1.19,"",0,0.0,2,6.2,-1,-2.9,0,0.0,-15853,-3.4,0,0.0,0,0.0,-47,-4.4
"06015","1","491110","78","0","2019","1","","Del Norte County, California","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,37,33,33,395025,0,0,885,"",1.71,1.12,0.99,0.98,1.21,0.00,0.00,1.17,"",0,0.0,3,8.8,1,3.1,1,3.1,16733,4.4,0,0.0,0,0.0,-6,-0.7
"06015","1","491110","78","0","2019","2","","Del Norte County, California","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,34,33,34,449259,0,0,1026,"",1.71,1.02,0.97,0.99,1.18,0.00,0.00,1.19,"",0,0.0,2,6.2,-1,-2.9,0,0.0,-15853,-3.4,0,0.0,0,0.0,-47,-4.4
"06015","1","71","74","0","2019","1","","Del Norte County, California","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,41,41,41,683210,0,0,1282,"",11.12,21.14,20.90,20.48,37.65,0.00,0.00,1.81,"",0,0.0,-3,-6.8,-3,-6.8,-3,-6.8,-26168,-3.7,0,0.0,0,0.0,42,3.4
"06015","1","71","74","0","2019","2","","Del Norte County, California","Federal Government","NAICS 71 Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,44,71,75,771036,0,0,936,"",11.20,21.70,31.23,30.89,39.74,0.00,0.00,1.41,"",0,0.0,-1,-2.2,19,36.5,12,19.0,90499,13.3,0,0.0,0,0.0,-46,-4.7
"06015","1","712","75","0","2019","1","","Del Norte County, California","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,41,41,41,683210,0,0,1282,"",22.59,38.27,38.13,37.23,49.91,0.00,0.00,1.32,"",0,0.0,-3,-6.8,-3,-6.8,-3,-6.8,-26168,-3.7,0,0.0,0,0.0,42,3.4
"06015","1","712","75","0","2019","2","","Del Norte County, California","Federal Government","NAICS 712 Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,44,71,75,771036,0,0,936,"",22.73,39.35,52.66,52.24,53.60,0.00,0.00,1.10,"",0,0.0,-1,-2.2,19,36.5,12,19.0,90499,13.3,0,0.0,0,0.0,-46,-4.7
"06015","1","7121","76","0","2019","1","","Del Norte County, California","Federal Government","NAICS 7121 Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,41,41,41,683210,0,0,1282,"",22.59,38.27,38.13,37.23,49.91,0.00,0.00,1.32,"",0,0.0,-3,-6.8,-3,-6.8,-3,-6.8,-26168,-3.7,0,0.0,0,0.0,42,3.4
"06015","1","7121","76","0","2019","2","","Del Norte County, California","Federal Government","NAICS 7121 Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,44,71,75,771036,0,0,936,"",22.73,39.35,52.66,52.24,53.60,0.00,0.00,1.10,"",0,0.0,-1,-2.2,19,36.5,12,19.0,90499,13.3,0,0.0,0,0.0,-46,-4.7
