"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06029","0","10","70","0","2019","1","","Kern County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",20393,323507,321368,313241,3870664042,1357429246,63409149,932,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1274,6.7,12980,4.2,9321,3.0,10382,3.4,208874401,5.7,68724352,5.3,2343495,3.8,19,2.1
"06029","0","10","70","0","2019","2","","Kern County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",20907,324799,331134,334372,3914387495,467679624,22150758,912,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1450,7.5,6750,2.1,4436,1.4,7359,2.3,250046280,6.8,19022726,4.2,871772,4.1,42,4.8
"06029","1","10","71","0","2019","1","","Kern County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",104,10671,10684,10671,225519947,0,0,1625,"",0.87,1.72,1.73,1.79,2.36,0.00,0.00,1.35,"",2,2.0,264,2.5,313,3.0,304,2.9,3018392,1.4,0,0.0,0,0.0,-24,-1.5
"06029","1","10","71","0","2019","2","","Kern County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",102,10680,10861,10986,254790790,0,0,1808,"",0.84,1.73,1.73,1.73,2.30,0.00,0.00,1.33,"",-1,-1.0,452,4.4,598,5.8,523,5.0,12702710,5.2,0,0.0,0,0.0,3,0.2
"06029","1","102","72","0","2019","1","","Kern County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",104,10671,10684,10671,225519947,0,0,1625,"",0.87,1.76,1.77,1.82,2.40,0.00,0.00,1.35,"",2,2.0,264,2.5,313,3.0,304,2.9,3018392,1.4,0,0.0,0,0.0,-24,-1.5
"06029","1","102","72","0","2019","2","","Kern County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",102,10680,10861,10986,254790790,0,0,1808,"",0.84,1.77,1.77,1.77,2.35,0.00,0.00,1.33,"",-1,-1.0,452,4.4,598,5.8,523,5.0,12702710,5.2,0,0.0,0,0.0,3,0.2
"06029","1","1021","73","0","2019","1","","Kern County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",51,1254,1267,1264,15541022,0,0,948,"",0.84,0.84,0.85,0.88,0.91,0.00,0.00,1.07,"",0,0.0,15,1.2,20,1.6,23,1.9,346502,2.3,0,0.0,0,0.0,7,0.7
"06029","1","1021","73","0","2019","2","","Kern County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",51,1261,1263,1261,17430227,0,0,1063,"",0.83,0.85,0.84,0.83,0.85,0.00,0.00,1.02,"",0,0.0,3,0.2,23,1.9,17,1.4,2432,0.0,0,0.0,0,0.0,-12,-1.1
"06029","1","1022","73","0","2019","1","","Kern County, California","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,7,7,6,53586,0,0,618,"",7.97,0.48,0.49,0.43,0.25,0.00,0.00,0.54,"",1,100.0,3,75.0,2,40.0,1,20.0,3924,7.9,0,0.0,0,0.0,-201,-24.5
"06029","1","1022","73","0","2019","2","","Kern County, California","Federal Government","1022 Information","County, by Supersector -- by ownership sector","All establishment sizes",2,6,5,6,33919,0,0,460,"",7.78,0.41,0.35,0.41,0.15,0.00,0.00,0.38,"",0,0.0,1,20.0,-1,-16.7,-1,-14.3,-10927,-24.4,0,0.0,0,0.0,-115,-20.0
