"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06031","0","10","70","0","2019","1","","Kings County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4190,47573,47949,47620,529680025,176390657,7919721,854,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",216,5.4,1164,2.5,650,1.4,1362,2.9,28558517,5.7,9463859,5.7,179894,2.3,28,3.4
"06031","0","10","70","0","2019","2","","Kings County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",4256,48565,50344,49255,544239365,55323588,2599726,848,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",234,5.8,853,1.8,1325,2.7,1307,2.7,38668926,7.6,3149820,6.0,169538,7.0,42,5.2
"06031","1","10","71","0","2019","1","","Kings County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,1171,1168,1159,15240197,0,0,1005,"",0.73,1.29,1.27,1.28,1.17,0.00,0.00,0.91,"",0,0.0,13,1.1,2,0.2,-10,-0.9,-114066,-0.7,0,0.0,0,0.0,-9,-0.9
"06031","1","10","71","0","2019","2","","Kings County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,1159,1157,1155,17677587,0,0,1175,"",0.72,1.26,1.21,1.24,1.15,0.00,0.00,0.93,"",0,0.0,-5,-0.4,-7,-0.6,-5,-0.4,466059,2.7,0,0.0,0,0.0,36,3.2
"06031","1","102","72","0","2019","1","","Kings County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,1171,1168,1159,15240197,0,0,1005,"",0.73,1.31,1.30,1.30,1.19,0.00,0.00,0.91,"",0,0.0,13,1.1,2,0.2,-10,-0.9,-114066,-0.7,0,0.0,0,0.0,-9,-0.9
"06031","1","102","72","0","2019","2","","Kings County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,1159,1157,1155,17677587,0,0,1175,"",0.73,1.28,1.24,1.26,1.17,0.00,0.00,0.93,"",0,0.0,-5,-0.4,-7,-0.6,-5,-0.4,466059,2.7,0,0.0,0,0.0,36,3.2
"06031","1","1021","73","0","2019","1","","Kings County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,352,352,348,2819839,0,0,619,"",0.80,1.60,1.59,1.59,1.21,0.00,0.00,0.76,"",0,0.0,6,1.7,6,1.7,0,0.0,-184297,-6.1,0,0.0,0,0.0,-48,-7.2
"06031","1","1021","73","0","2019","2","","Kings County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,351,345,337,3092527,0,0,691,"",0.80,1.58,1.51,1.51,1.09,0.00,0.00,0.71,"",0,0.0,4,1.2,1,0.3,-9,-2.6,-56412,-1.8,0,0.0,0,0.0,-10,-1.4
"06031","1","1024","73","0","2019","1","","Kings County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,204,203,204,3086635,0,0,1166,"",3.32,9.39,9.32,9.44,8.72,0.00,0.00,0.93,"",0,0.0,8,4.1,2,1.0,6,3.0,20039,0.7,0,0.0,0,0.0,-23,-1.9
"06031","1","1024","73","0","2019","2","","Kings County, California","Federal Government","1024 Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,204,206,208,3736690,0,0,1395,"",3.29,9.37,9.05,9.28,9.70,0.00,0.00,1.05,"",0,0.0,7,3.6,11,5.6,11,5.6,358758,10.6,0,0.0,0,0.0,72,5.4
"06031","1","1025","73","0","2019","1","","Kings County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,113,111,110,1478991,0,0,1022,"",1.78,0.82,0.80,0.80,0.77,0.00,0.00,0.95,"",0,0.0,-1,-0.9,-2,-1.8,-2,-1.8,32292,2.2,0,0.0,0,0.0,37,3.8
"06031","1","1025","73","0","2019","2","","Kings County, California","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,110,108,110,1740068,0,0,1224,"",1.77,0.79,0.76,0.79,0.73,0.00,0.00,0.93,"",0,0.0,0,0.0,-6,-5.3,-5,-4.3,19258,1.1,0,0.0,0,0.0,53,4.5
"06031","1","1028","73","0","2019","1","","Kings County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,502,502,497,7854732,0,0,1208,"",0.50,1.02,1.01,1.01,0.99,0.00,0.00,0.97,"",0,0.0,0,0.0,-4,-0.8,-14,-2.7,17900,0.2,0,0.0,0,0.0,17,1.4
"06031","1","1028","73","0","2019","2","","Kings County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,494,498,500,9108302,0,0,1409,"",0.50,0.99,0.96,0.99,0.99,0.00,0.00,1.01,"",0,0.0,-16,-3.1,-13,-2.5,-2,-0.4,144455,1.6,0,0.0,0,0.0,51,3.8
"06031","1","44-45","74","0","2019","1","","Kings County, California","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",3,231,225,220,1357471,0,0,463,"",10.95,15.81,15.40,15.35,16.35,0.00,0.00,1.05,"",0,0.0,-1,-0.4,-3,-1.3,-10,-4.3,-170624,-11.2,0,0.0,0,0.0,-48,-9.4
