"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06037","0","10","70","0","2019","1","","Los Angeles County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",502561,4440030,4500845,4484223,74508958421,22301622338,891583086,1281,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15628,3.2,56475,1.3,63365,1.4,62440,1.4,2813819776,3.9,785431322,3.7,-5902443,-0.7,32,2.6
"06037","0","10","70","0","2019","2","","Los Angeles County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",508508,4474324,4501278,4495131,71480920778,5164052287,196788849,1225,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15404,3.1,54395,1.2,69698,1.6,53664,1.2,3653562967,5.4,30943040,0.6,-4097143,-2.0,48,4.1
"06037","1","10","71","0","2019","1","","Los Angeles County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",453,46919,46922,46812,947016148,0,0,1554,"",0.15,0.55,0.54,0.55,0.51,0.00,0.00,0.94,"",21,4.9,-567,-1.2,-348,-0.7,-189,-0.4,-27296449,-2.8,0,0.0,0,0.0,-32,-2.0
"06037","1","10","71","0","2019","2","","Los Angeles County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",453,47117,47021,47114,1033405437,0,0,1688,"",0.15,0.55,0.55,0.55,0.51,0.00,0.00,0.92,"",24,5.6,-97,-0.2,88,0.2,4,0.0,39508295,4.0,0,0.0,0,0.0,64,3.9
"06037","1","102","72","0","2019","1","","Los Angeles County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",453,46919,46922,46812,947016148,0,0,1554,"",0.15,0.56,0.55,0.56,0.52,0.00,0.00,0.94,"",21,4.9,-567,-1.2,-348,-0.7,-189,-0.4,-27296449,-2.8,0,0.0,0,0.0,-32,-2.0
"06037","1","102","72","0","2019","2","","Los Angeles County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",453,47117,47021,47114,1033405437,0,0,1688,"",0.15,0.57,0.56,0.56,0.52,0.00,0.00,0.92,"",24,5.6,-97,-0.2,88,0.2,4,0.0,39508295,4.0,0,0.0,0,0.0,64,3.9
"06037","1","1021","73","0","2019","1","","Los Angeles County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",233,18069,17953,17930,277413666,0,0,1187,"",0.16,0.88,0.86,0.87,0.85,0.00,0.00,0.97,"",28,13.7,-567,-3.0,-490,-2.7,-363,-2.0,7873686,2.9,0,0.0,0,0.0,64,5.7
"06037","1","1021","73","0","2019","2","","Los Angeles County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",234,17941,17897,17796,309803361,0,0,1333,"",0.16,0.88,0.87,0.87,0.83,0.00,0.00,0.95,"",29,14.1,-509,-2.8,-236,-1.3,-293,-1.6,1087743,0.4,0,0.0,0,0.0,30,2.3
"06037","1","1023","73","0","2019","1","","Los Angeles County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,90,90,88,2804484,0,0,2415,"",0.05,0.24,0.24,0.24,0.25,0.00,0.00,1.04,"",0,0.0,-2,-2.2,-2,-2.2,-5,-5.4,-355091,-11.2,0,0.0,0,0.0,-217,-8.2
"06037","1","1023","73","0","2019","2","","Los Angeles County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,90,91,92,2931834,0,0,2478,"",0.05,0.25,0.25,0.25,0.25,0.00,0.00,1.01,"",0,0.0,-3,-3.2,0,0.0,0,0.0,52177,1.8,0,0.0,0,0.0,70,2.9
