"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06043","0","10","70","0","2019","1","","Mariposa County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",539,4959,5144,5232,51494669,16393766,842241,775,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,4.1,-197,-3.8,-6,-0.1,-24,-0.5,913725,1.8,205699,1.3,5495,0.7,25,3.3
"06043","0","10","70","0","2019","2","","Mariposa County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",546,5425,5762,5898,57250745,7445936,390120,773,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",24,4.6,-43,-0.8,-19,-0.3,-183,-3.0,2079142,3.8,265375,3.7,17859,4.8,38,5.2
"06043","1","10","71","0","2019","1","","Mariposa County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,451,455,455,7456967,0,0,1264,"",5.35,4.75,4.62,4.56,5.87,0.00,0.00,1.26,"",-1,-5.6,-36,-7.4,-30,-6.2,-48,-9.5,-620274,-7.7,0,0.0,0,0.0,0,0.0
"06043","1","10","71","0","2019","2","","Mariposa County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,477,693,777,8380438,0,0,993,"",4.71,4.63,6.35,6.95,5.17,0.00,0.00,0.86,"",-2,-11.8,-72,-13.1,-9,-1.3,-90,-10.4,-520232,-5.8,0,0.0,0,0.0,23,2.4
"06043","1","102","72","0","2019","1","","Mariposa County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,451,455,455,7456967,0,0,1264,"",5.37,4.84,4.70,4.65,5.98,0.00,0.00,1.26,"",-1,-5.6,-36,-7.4,-30,-6.2,-48,-9.5,-620274,-7.7,0,0.0,0,0.0,0,0.0
"06043","1","102","72","0","2019","2","","Mariposa County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,477,693,777,8380438,0,0,993,"",4.72,4.72,6.47,7.08,5.28,0.00,0.00,0.86,"",-2,-11.8,-72,-13.1,-9,-1.3,-90,-10.4,-520232,-5.8,0,0.0,0,0.0,23,2.4
"06043","1","1021","73","0","2019","1","","Mariposa County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,17,15,15,215249,0,0,1057,"",4.38,0.74,0.63,0.62,0.95,0.00,0.00,1.43,"",-1,-12.5,-2,-10.5,-5,-25.0,-5,-25.0,-15289,-6.6,0,0.0,0,0.0,155,17.2
"06043","1","1021","73","0","2019","2","","Mariposa County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,17,15,16,247924,0,0,1192,"",4.36,0.69,0.57,0.60,0.83,0.00,0.00,1.35,"",-1,-12.5,-2,-10.5,-4,-21.1,-3,-15.8,-13006,-5.0,0,0.0,0,0.0,136,12.9
"06043","1","1026","73","0","2019","1","","Mariposa County, California","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,418,418,423,7003165,0,0,1284,"",24.77,274.85,262.69,260.68,556.38,0.00,0.00,2.09,"",0,0.0,-30,-6.7,-32,-7.1,-46,-9.8,-576291,-7.6,0,0.0,0,0.0,4,0.3
"06043","1","1026","73","0","2019","2","","Mariposa County, California","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,443,654,733,7848558,0,0,990,"",24.79,261.34,335.25,353.84,512.00,0.00,0.00,1.60,"",0,0.0,-74,-14.3,-12,-1.8,-85,-10.4,-555192,-6.6,0,0.0,0,0.0,21,2.2
"06043","1","1027","73","0","2019","1","","Mariposa County, California","Federal Government","1027 Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"",114.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
