"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06049","0","10","70","0","2019","1","","Modoc County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",378,2293,2318,2354,22017532,7112660,337700,730,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",15,4.1,6,0.3,32,1.4,44,1.9,685055,3.2,399976,6.0,12080,3.7,15,2.1
"06049","0","10","70","0","2019","2","","Modoc County, California","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",384,2484,2711,2848,24929165,3506143,181943,715,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,4.9,48,2.0,113,4.3,99,3.6,1110658,4.7,96038,2.8,2614,1.5,9,1.3
"06049","1","10","71","0","2019","1","","Modoc County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,162,180,169,2377468,0,0,1074,"",8.98,3.69,4.05,3.76,4.38,0.00,0.00,1.14,"",-1,-4.8,-8,-4.7,13,7.8,-4,-2.3,-385937,-14.0,0,0.0,0,0.0,-176,-14.1
"06049","1","10","71","0","2019","2","","Modoc County, California","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,183,208,242,2658079,0,0,969,"",8.93,3.88,4.05,4.48,3.77,0.00,0.00,0.91,"",-1,-4.8,-1,-0.5,13,6.7,-15,-5.8,-95242,-3.5,0,0.0,0,0.0,-30,-3.0
"06049","1","102","72","0","2019","1","","Modoc County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,162,180,169,2377468,0,0,1074,"",9.00,3.76,4.13,3.84,4.46,0.00,0.00,1.14,"",-1,-4.8,-8,-4.7,13,7.8,-4,-2.3,-385937,-14.0,0,0.0,0,0.0,-176,-14.1
"06049","1","102","72","0","2019","2","","Modoc County, California","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,183,208,242,2658079,0,0,969,"",8.94,3.96,4.13,4.57,3.84,0.00,0.00,0.91,"",-1,-4.8,-1,-0.5,13,6.7,-15,-5.8,-95242,-3.5,0,0.0,0,0.0,-30,-3.0
"06049","1","1021","73","0","2019","1","","Modoc County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,19,23,21,172923,0,0,633,"",8.91,1.79,2.15,1.94,1.78,0.00,0.00,0.91,"",0,0.0,0,0.0,5,27.8,2,10.5,15153,9.6,0,0.0,0,0.0,-17,-2.6
"06049","1","1021","73","0","2019","2","","Modoc County, California","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,25,22,23,197555,0,0,651,"",8.85,2.21,1.78,1.78,1.52,0.00,0.00,0.79,"",0,0.0,7,38.9,3,15.8,3,15.0,12906,7.0,0,0.0,0,0.0,-97,-13.0
"06049","1","1023","73","0","2019","1","","Modoc County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,2,2,43315,0,0,1666,"",34.01,10.47,10.46,10.32,13.10,0.00,0.00,1.26,"",0,0.0,-1,-33.3,-1,-33.3,-1,-33.3,-25509,-37.1,0,0.0,0,0.0,-99,-5.6
"06049","1","1023","73","0","2019","2","","Modoc County, California","Federal Government","1023 Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,3,3,56572,0,0,1451,"",34.10,14.76,13.68,12.91,13.97,0.00,0.00,1.02,"",0,0.0,0,0.0,0,0.0,0,0.0,-2698,-4.6,0,0.0,0,0.0,-69,-4.5
"06049","1","1028","73","0","2019","1","","Modoc County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,141,155,146,2161230,0,0,1128,"",10.02,5.94,6.44,6.01,6.53,0.00,0.00,1.06,"",-1,-10.0,-7,-4.7,9,6.2,-5,-3.3,-375581,-14.8,0,0.0,0,0.0,-188,-14.3
"06049","1","1028","73","0","2019","2","","Modoc County, California","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,155,183,216,2403952,0,0,1001,"",9.96,6.06,6.58,7.37,5.70,0.00,0.00,0.85,"",-1,-10.0,-8,-4.9,10,5.8,-18,-7.7,-105450,-4.2,0,0.0,0,0.0,-15,-1.5
"06049","1","48-49","74","0","2019","1","","Modoc County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,19,23,21,172923,0,0,633,"",9.16,1.95,2.34,2.11,1.91,0.00,0.00,0.89,"",0,0.0,0,0.0,5,27.8,2,10.5,15153,9.6,0,0.0,0,0.0,-17,-2.6
"06049","1","48-49","74","0","2019","2","","Modoc County, California","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,25,22,23,197555,0,0,651,"",9.10,2.40,1.94,1.94,1.63,0.00,0.00,0.78,"",0,0.0,7,38.9,3,15.8,3,15.0,12906,7.0,0,0.0,0,0.0,-97,-13.0
